TERM,CATEGORY
oblikovanost,D. Entity/Element/Property
voda,D.1 Abiotic
rebra,D.1 Abiotic
žlebove,D.1 Abiotic
kontinentalna zemeljska skorja,D.1 Abiotic
čisti kras,C. Geome
zemeljska skorja,C. Geome
popolnega krasa,C. Geome
kraških kamnin,A.4 Other
diferencialni element speleogena,D. Entity/Element/Property
faznih meja,D.3 Property
tokovnice,D.3 Property
Kalcijevomagnezijev karbonat,D.1 Abiotic
Kristali,B. Process
romboeder,D.1 Abiotic
skalenoedrično,D.3 Property
dolomit,D.1 Abiotic
karbonat,D.1 Abiotic
ditrigonalno,D.3 Property
sedimentacij o,B.3 Addition
Zogovicevemu efektu,E. Instrument or method
nekraška kamnina,D.1 Abiotic
Primarni dolomit,D.1 Abiotic
Karbonatna kamnina,D.1 Abiotic
kraška,D.1 Abiotic
kamnina,D.1 Abiotic
dolomitov,D.1 Abiotic
diageneze,B. Process
dolomitizacijo,B. Process
sekundarnih,D.1 Abiotic
dolomit,D.1 Abiotic
sedimentacij,B.3 Addition
kalcit,D.1 Abiotic
dolomit,D.1 Abiotic
freatični rov,A.2 Underground landform
eforacijski rov,A.2 Underground landform
eforacija,B. Process
kraško kamnin o,D.1 Abiotic
kraških oblik,D.1 Abiotic
površinski kras,C. Geome
eksokras,C. Geome
ozračjem,D.1 Abiotic
stiku,D.3 Property
kraških oblik,A.4 Other
prežeti coni,C. Geome
podzemski kras,C. Geome
neprežeti,C. Geome
endokras,C. Geome
podpovršinskemu krasu,C. Geome
kraških oblik,D.1 Abiotic
kraško kamnino,D.1 Abiotic
tajno odejo,D.1 Abiotic
epikras,C. Geome
eksokras,C. Geome
površinskemu,C. Geome
stiku,D.3 Property
Vodno telo,D.1 Abiotic
Padavinska voda,D.1 Abiotic
epikraška voda,D.1 Abiotic
neprežete cone,C. Geome
neprežeto cono,C. Geome
zakraselo kamnino,D.1 Abiotic
Sloveniji,D.3.1 Geolocation
padavinah,D.1 Abiotic
jame,A.2 Underground landform
invazijske,A.2 Underground landform
curkov,D.1 Abiotic
tleh,D.1 Abiotic
trdnih snovi,D.1 Abiotic
kalcijevim karbonatom,D.1 Abiotic
kalcijevim karbonatom,D.1 Abiotic
rastlinskih ostankih,D.2 Biotic
živalskih,D.2 Biotic
kalcifikacija,B.4 Transformation
kalcitno rebro,A.2 Underground landform
kalcitna pola,A.2 Underground landform
kalcitna žila,A.2 Underground landform
jamske stene,A.2 Underground landform
rekristaliziranega apnenca,D.1 Abiotic
plast,D.1 Abiotic
stropa,A.2 Underground landform
jamskem stropu,A.2 Underground landform
kamin,A.2 Underground landform
Odprtina,D.1 Abiotic
jamski rov,A.2 Underground landform
freatični coni,C. Geome
kanal,A.2 Underground landform
kapelica,A.2 Underground landform
votlinica,D.1 Abiotic
niša,A.2 Underground landform
ogljikove kisline,D.1 Abiotic
Dinarskem krasu,C. Geome
karbonatni kras,C. Geome
karbonatna kamnina,D.1 Abiotic
Dinarskem krasu,D.3.1 Geolocation
Usedlina,D.1 Abiotic
dolomit,D.1 Abiotic
apnenec,D.1 Abiotic
kaverna,A.2 Underground landform
votlina,D.1 Abiotic
kevderc,A.2 Underground landform
jamo,A.2 Underground landform
klastičnih kamninah,D.1 Abiotic
peščenjaku,D.1 Abiotic
pesku,D.1 Abiotic
Kras,C. Geome
konglomeratu,D.1 Abiotic
Klastokras,C. Geome
udornega postanka,B.1 Movement
kotanja,D.1 Abiotic
koleševka,A.1 Surface landform
koliševka,A.1 Surface landform
fosilnega krasa,C. Geome
terciarni dobi,D.3 Property
kolks,A.1 Surface landform
vzpetina,D.1 Abiotic
kovk,A.1 Surface landform
jamskih stenah,A.2 Underground landform
kondenzacijska voda,A.3 Hydrological form
Voda,D.1 Abiotic
kondenzacije,B.4 Transformation
stropu,A.2 Underground landform
Uvala,A.1 Surface landform
konta,A.1 Surface landform
konvakuacijska votlina,A.2 Underground landform
Širjenje votline,B.4 Transformation
Konvakuacija,B.4 Transformation
ogljikovo kislino,D.1 Abiotic
korozija,B.2 Loss
raztapljanje,B.2 Loss
odnašanje,B.2 Loss
vode,D.1 Abiotic
jamskega sistema,A.2 Underground landform
glavni rov,A.2 Underground landform
Rov,A.2 Underground landform
slepi rov,A.2 Underground landform
Rov,A.2 Underground landform
glavnega rova,A.2 Underground landform
stranski rov,A.2 Underground landform
Rov,A.2 Underground landform
dvorane,A.2 Underground landform
zvezni rov,A.2 Underground landform
Rov,A.2 Underground landform
votlin,A.2 Underground landform
pretokom vode,B.1 Movement
eforacijski rov,A.2 Underground landform
Jamski rov,A.2 Underground landform
pretokom vode,B.1 Movement
gravitacijski rov,A.2 Underground landform
gravitacijskim tokom,B.1 Movement
Jamski rov,A.2 Underground landform
požiralnike,A.3 Hydrological form
brezvodni kalcijev sulfat - anhidrit,D.1 Abiotic
gipsni kras,C. Geome
kalcijev hidrosulfat,D.1 Abiotic
sadreni,C. Geome
sadra,D.1 Abiotic
kraškem površju,C. Geome
jami,A.2 Underground landform
samotar,A.1 Surface landform
skala,D.1 Abiotic
pritočni sifon,A.3 Hydrological form
kolenast sifon,A.3 Hydrological form
obdobni sifon,A.3 Hydrological form
odtočni,A.3 Hydrological form
trajni,A.3 Hydrological form
sifon,A.3 Hydrological form
vodo,D.1 Abiotic
sifonsko jezero,A.3 Hydrological form
kotanja,D.1 Abiotic
sifonski zapirac,A.2 Underground landform
sifon,A.3 Hydrological form
kalcijevega karbonata,D.1 Abiotic
Odkladnina,B.3 Addition
siga,D.1 Abiotic
vode,D.1 Abiotic
sigova tvorba,A.2 Underground landform
Jamski sediment,D.1 Abiotic
sige,D.1 Abiotic
kalcitni mehur,A.2 Underground landform
vodi,D.1 Abiotic
podiranjem,B.1 Movement
Udornice,A.1 Surface landform
jamah,A.2 Underground landform
kraške globeli,A.1 Surface landform
votlinami,D.1 Abiotic
Udornice,A.1 Surface landform
udori,B.1 Movement
kraške globeli,A.1 Surface landform
Udornice,A.1 Surface landform
udori,B.1 Movement
kraške kotanje,A.1 Surface landform
Udornice,A.1 Surface landform
rušenja,B.1 Movement
spelogenetskimi procesi,B. Process
Udornice,A.1 Surface landform
podzemnem dogajanju,B. Process
Udornice,A.1 Surface landform
jamskimi rovi,D.1 Abiotic
jamskimi prostori,D.1 Abiotic
kraške globeli,A.1 Surface landform
odnašanjem,B.1 Movement
Udornice,A.1 Surface landform
odnašanjem,B.1 Movement
udori,B.1 Movement
podzemlje,C. Geome
globeli,D.1 Abiotic
Udornice,A.1 Surface landform
kraška hidrologija,D.3 Property
kraško polje,A.1 Surface landform
kraška polja,A.1 Surface landform
obod,D.1 Abiotic
uravnava,D.1 Abiotic
razpoka,D.1 Abiotic
Jama,A.2 Underground landform
tekoča voda,D.1 Abiotic
kanali,D.1 Abiotic
procesom korozije,B. Process
Jame,A.2 Underground landform
tekoča voda,D.1 Abiotic
kanali,D.1 Abiotic
kras,C. Geome
Jame,A.2 Underground landform
razvoja jame,B. Process
brezstropa jama,A.1 Surface landform
kemična denudacija,B.2 Loss
vodonosnik,C. Geome
kraška,B.2 Loss
Odnašanje,B.2 Loss
karbonatov,D.1 Abiotic
Jame brez stropa,A.2 Underground landform
razčlenjevanja,B.4 Transformation
presekane,D.3 Property
jame,A.2 Underground landform
znižanja,B.2 Loss
razkrite,D.3 Property
Jama brez stropa,A.2 Underground landform
kraška jama,A.2 Underground landform
denudacijsko spuščanje,B. Process
avtohtone sedimente,D.1 Abiotic
alohtone,D.1 Abiotic
plitva kotanja,D.1 Abiotic
kraških tleh,D.1 Abiotic
Kal,A.3 Hydrological form
deževnica,D.1 Abiotic
izvora,B. Process
Speleogeneza,E.2 Method
razlaga,E.2 Method
jam,A.2 Underground landform
nastanka,B. Process
globel,D.1 Abiotic
vrtača,A.1 Surface landform
tekoče vode,D.1 Abiotic
spiranja gradiva,B.2 Loss
ruše,D.1 Abiotic
Sufozija,B. Process
"kraško , pretakanje vode",B.1 Movement
podzemeljske oblike,A.2 Underground landform
podzemeljsko,B.1 Movement
prepustnosti,D.3 Property
Kras,C. Geome
raztapljanje,B. Process
ozemlje,C. Geome
površinske,A.1 Surface landform
glacialni kras,C. Geome
gozdno mejo,D.3 Property
Viskogorski kras,C. Geome
površje,C. Geome
kras,C. Geome
nivalni,C. Geome
fluvialnega geomorfnega sistema,C. Geome
delovanja površja,B. Process
Kontaktni kras,C. Geome
kraškega,C. Geome
vode,D.1 Abiotic
oblikovanosti,D.3 Property
vodnih tokov,D.1 Abiotic
flišne naplavine,D.1 Abiotic
prekinitve dotoka,B.2 Loss
reliktnih vršajev,A.1 Surface landform
Morfogeneza,B.4 Transformation
vršajev,A.1 Surface landform
nanašanja,B.3 Addition
aktivnega procesa sedimentacije,B.3 Addition
rečnih nanosov,D.1 Abiotic
krasu,C. Geome
Vršaje,A.1 Surface landform
psevdovršaji,A.1 Surface landform
strop rova,D.1 Abiotic
korozijskega procesa,B.4 Transformation
toka,D.1 Abiotic
sedimenti,D.1 Abiotic
zasipavanje,B.3 Addition
iztiskanje,B.1 Movement
parageneze,B. Process
kraških globeli,A.1 Surface landform
kraških globeli,A.1 Surface landform
kraškim poljem,A.1 Surface landform
vrtač,A.1 Surface landform
dolaste,A.1 Surface landform
uvale,A.1 Surface landform
vrtačaste,A.1 Surface landform
fluvialnega geomorfnega sistema,C. Geome
delovanja površja,B. Process
Kontaktni kras,C. Geome
tip oblikovanosti,D.3 Property
vode,D.1 Abiotic
kraškega,C. Geome
sedimentacije,B.3 Addition
Vršaje,A.1 Surface landform
krasu,C. Geome
psevdovršaji,A.1 Surface landform
depresijska oblika,D.1 Abiotic
Vrtača,A.1 Surface landform
Kemično preperevanje,B.4 Transformation
kraških kamnin,D.1 Abiotic
raztapljanje,B.4 Transformation
korozija,B.4 Transformation
topnih kamnin,D.1 Abiotic
površinske oblike,D.1 Abiotic
jamami,A.2 Underground landform
podzemlja,C. Geome
prevotljenost,D.3 Property
površju,C. Geome
razpokanost,D.3 Property
korozije,B.4 Transformation
rečne erozije,B.4 Transformation
bočne korozije,B.4 Transformation
korozijsko uravnavanje,B.4 Transformation
korozije,B.4 Transformation
uravnav,D.1 Abiotic
raztapljanja,B.4 Transformation
kontaktnega krasa,C. Geome
flišne naplavine,D.1 Abiotic
kemično denudacijo,B.4 Transformation
karbonatne podlage,D.1 Abiotic
Reliktni vršaji,A.1 Surface landform
vršajev,A.1 Surface landform
denudacijo,B.4 Transformation
kraškem površju,C. Geome
ravnovesja,D.3 Property
udornice,A.1 Surface landform
rezultat,B. Process
udornici,A.1 Surface landform
udornic,A.1 Surface landform
reliefne oblika,D.1 Abiotic
vrtače,A.1 Surface landform
Ledeniške krnice,A.1 Surface landform
kraške krnice,A.1 Surface landform
zakrasevanja,B.4 Transformation
Kraška krnica,A.1 Surface landform
Južne Alpe,D.3.1 Geolocation
Dinarsko gorstvo,D.3.1 Geolocation
reliefna oblika,D.1 Abiotic
konta,A.1 Surface landform
do,A.1 Surface landform
hidrološke procese,B. Process
podzemskih tokov,A.3 Hydrological form
piezometričnega nivoja,D.1 Abiotic
vodnih tokov,D.1 Abiotic
globeli,A.1 Surface landform
agresivnost,D.3 Property
podzemlju,C. Geome
udornice,A.1 Surface landform
erozivnost,D.1 Abiotic
geomorfnih procesov,B. Process
Preoblikovanje,B.4 Transformation
udornic,A.1 Surface landform
praznega prostora,D.1 Abiotic
kamnine,D.1 Abiotic
poroznost,D.3 Property
Delež,D.3 Property
porušena cona,C. Geome
zdrobljene cone,A.2 Underground landform
prelomoma,D.1 Abiotic
Območje,C. Geome
kamnin,D.1 Abiotic
podzemske reliefue oblike,D.1 Abiotic
pospešena korozija,B.2 Loss
korozija,B.2 Loss
površinske,D.1 Abiotic
laminarni tok,D.1 Abiotic
preboj,B.4 Transformation
izvira,A.3 Hydrological form
turbulentnega,A.3 Hydrological form
Trenutek,D.3 Property
ponora,A.3 Hydrological form
prebojni čas,D.3 Property
začetjem,D.3 Property
Čas,D.3 Property
prebojem,D.3 Property
paragenetski prag,D.3 Property
speleogenetska faza,D.3 Property
prevajanje,D.3 Property
gladino podtalnice,D.1 Abiotic
padavinske vode,D.1 Abiotic
neprežeto cono,C. Geome
freatično vodo,D.1 Abiotic
prežeta cona,C. Geome
speleogenetskega prostora,C. Geome
dotoke,B.3 Addition
Speleogenetska faza,D.3 Property
paragenetskim pragom,D.3 Property
prebojem,D.3 Property
rast,D.3 Property
razpoka,D.1 Abiotic
premikov,B.1 Movement
kamnini,D.1 Abiotic
ploskev,D.1 Abiotic
praznega prostora,D.1 Abiotic
razpoklinska poroznost,D.3 Property
kamnine,D.1 Abiotic
razpoke,D.1 Abiotic
lezike,D.1 Abiotic
prostomini,D.3 Property
razpoklinska cona,A.1 Surface landform
sistem razpok,D.1 Abiotic
Premiki,B.1 Movement
razpokah,D.1 Abiotic
Jamski kanal,A.2 Underground landform
kanal,A.2 Underground landform
rov,A.2 Underground landform
prehoden,D.3 Property
jamskega dna,A.2 Underground landform
podzemska reka,A.3 Hydrological form
sifon,A.2 Underground landform
gladini,D.1 Abiotic
poglobitev,B. Process
Speleogenetska faza,D.3 Property
kanal,A.2 Underground landform
laminaren,D.3 Property
snovanje,B. Process
tok,B.1 Movement
jamo,A.2 Underground landform
votlino,D.1 Abiotic
votlina,D.1 Abiotic
votlino,D.1 Abiotic
jama,A.2 Underground landform
jamo,A.2 Underground landform
jama,A.2 Underground landform
votlina,D.1 Abiotic
kraški pojav,A. Landform
Jame,A.2 Underground landform
votlina,D.1 Abiotic
jama,A.2 Underground landform
brezna,A.2 Underground landform
podpobočno jamo,A.2 Underground landform
Jama,A.2 Underground landform
fosilno,A.2 Underground landform
kamnini,D.1 Abiotic
votlina,D.1 Abiotic
korozijsko,A.2 Underground landform
tektonsko,A.2 Underground landform
brezstropo,A.2 Underground landform
obpobočno,A.2 Underground landform
alohtonimi sedimenti,D.1 Abiotic
brezstropa jama,A.2 Underground landform
avtohtonimi,D.1 Abiotic
denudacija,B.2 Loss
Brezstropa jama,A.2 Underground landform
denudacije,B.2 Loss
votlino,D.1 Abiotic
Kraška polja,A.1 Surface landform
kraška oblika,A.1 Surface landform
Kraška polja,A.1 Surface landform
kotanje,D.1 Abiotic
kraškega polja,A.1 Surface landform
dno,D.1 Abiotic
obod,D.1 Abiotic
kraška polja,A.1 Surface landform
kraška hidrologija,D.3 Property
dnom,D.1 Abiotic
obod,D.1 Abiotic
kraškega polja,A.1 Surface landform
površinske vode,D.1 Abiotic
živoskalni podlagi,D.1 Abiotic
kraški odtok,A.3 Hydrological form
polju,A.1 Surface landform
dno,D.1 Abiotic
depresija,D.1 Abiotic
obodom,D.1 Abiotic
naplavinah,D.1 Abiotic
kraška polja,A.1 Surface landform
krasu,C. Geome
depresije,D.1 Abiotic
otoke,D.1 Abiotic
Geološke strukture,D.1 Abiotic
narivne strukture,D.1 Abiotic
kraške votline,A.2 Underground landform
medplastovnih zdrsov,B.1 Movement
inicialne strukture,D.1 Abiotic
speleogene strukture,A.2 Underground landform
Inicialne strukture,D.1 Abiotic
sedimentne teksture,D.1 Abiotic
razpoke,D.1 Abiotic
lezike,A.2 Underground landform
zakrasevanja,B. Process
špranje,D.1 Abiotic
prelomnice,D.1 Abiotic
krajevne deževnice,D.1 Abiotic
invazijska jama,A.2 Underground landform
profil ključavnice,D.3 Property
neprežete cone,C. Geome
požiralnika,A.3 Hydrological form
podtalnice,A. Landform
gladino,D.3 Property
Jama,A.2 Underground landform
kaminu,A.2 Underground landform
vodotok,D.1 Abiotic
kraško votlino,A.2 Underground landform
JAMA,A.2 Underground landform
prehodna,D.3 Property
krasu,C. Geome
votlina,D.1 Abiotic
minerali netopnega ostanka,D.1 Abiotic
kraške minerale,D.1 Abiotic
jamski minerali,D.1 Abiotic
matične kamnine,D.1 Abiotic
kraških votlinah,A.2 Underground landform
krasom,C. Geome
avtohtone,D.1 Abiotic
alohtone,D.3 Property
Minerali,D.1 Abiotic
paravtohtone,D.1 Abiotic
jamski splet,A.2 Underground landform
podzemskega krasa,C. Geome
jamski sistem,A.2 Underground landform
Kalcijev karbonat,D.1 Abiotic
aragonitnih ogrodij,D.1 Abiotic
kristalnimi ploskvami,D.1 Abiotic
sige,D.1 Abiotic
Kristali,B. Process
kalcit,D.1 Abiotic
kalcitizacijo,B. Process
skalenoedrično,D.3 Property
apnenca,D.1 Abiotic
vode,D.1 Abiotic
organizmov,D.2 Biotic
marmorja,D.1 Abiotic
apnencu,D.1 Abiotic
romboeder,D.1 Abiotic
karbonatitov,D.1 Abiotic
mineral,D.1 Abiotic
kalcit,D.1 Abiotic
ditrigonalno,D. Entity/Element/Property
neprežeto cono,C. Geome
kraška votlina,A.2 Underground landform
inicialnih strukturah,D.1 Abiotic
manjših kaminov,A.2 Underground landform
elipsast presek,D.3 Property
neprežete cone,C. Geome
kamin,A.2 Underground landform
kamin,A.2 Underground landform
vode,D.1 Abiotic
denudacija,B.2 Loss
površja,D.1 Abiotic
kamina,A.2 Underground landform
brezno,A.2 Underground landform
kanalu,A.2 Underground landform
rov,A.2 Underground landform
KANAL,A.2 Underground landform
tok,D.1 Abiotic
svežnja,A.2 Underground landform
speleogenetskega prostora,C. Geome
kraške kamnine,D.1 Abiotic
kontrolni volumen,D. Entity/Element/Property
zemeljske skorje,D.1 Abiotic
podzemskih kanalov,A.2 Underground landform
matična kamnina,D.1 Abiotic
kraške kamnine,D.1 Abiotic
padavinskih voda,D.1 Abiotic
akumulacija,B.3 Addition
odtok,B.2 Loss
globeli,A.1 Surface landform
materializacij,B. Process
KRAS,C. Geome
odnašanje,B.2 Loss
snovi,D.1 Abiotic
krasa,C. Geome
preoblikovanja,B. Process
raztopini,D.1 Abiotic
padavine,D.1 Abiotic
poroznosti,D.3 Property
votline,A.2 Underground landform
KRAS,C. Geome
Zemlji,D.3.1 Geolocation
kraška faza,D. Entity/Element/Property
hidrogeoloških razmerah,D. Entity/Element/Property
kraške votline,A.2 Underground landform
voda,D.1 Abiotic
zakrasevanja,B. Process
sveženj,A.2 Underground landform
kraški poroznosti,D.3 Property
kraška poroznost,D.3 Property
kraške votline,A.2 Underground landform
razpoklinsko poroznostjo,D.3 Property
kraška poroznost,D.1 Abiotic
praznega prostora,D.1 Abiotic
prostornini,D.3 Property
kamnine,D.1 Abiotic
vode,D.1 Abiotic
kamnini,D.1 Abiotic
zakrasela,B. Process
kamnina,D.1 Abiotic
kanali,A.2 Underground landform
kraško jamo,A.2 Underground landform
kraška votlina,A.2 Underground landform
speleogen,A.2 Underground landform
procesi,B. Process
votlina,A.2 Underground landform
Metamorfne kraške kamnine,A.4 Other
sedimentne kraške kamnine,D.1 Abiotic
kraške kamnine,D.1 Abiotic
kraške kamnine,D.1 Abiotic
tektonskima dogodkoma,B. Process
kremenovi peščenjaki,D.1 Abiotic
Zogovicevega efekta,D.3 Property
peščenjaki,D.1 Abiotic
karbonati,D.1 Abiotic
kvarciti,D.1 Abiotic
kras,C. Geome
sulfati,D.1 Abiotic
Kamnine,D.1 Abiotic
topne,B.2 Loss
haloidi,D.1 Abiotic
marmorji,D.1 Abiotic
sekundarno trdno fazo,D.3 Property
trdne faze,D.3 Property
struktura,D.1 Abiotic
nadomeščanja,B.4 Transformation
tekočo,D.3 Property
tekočo,D.3 Property
speleofakt,A.2 Underground landform
speleotemi,A.2 Underground landform
speleogeni,A.2 Underground landform
Kraška votlina,A.2 Underground landform
matične kamnine,D.1 Abiotic
Speleofakt,A.2 Underground landform
odnašanjem,B.2 Loss
speleogen,A.2 Underground landform
procesov,B. Process
hidrodinamske razmere,D.3 Property
speleogenetska faza,D.3 Property
kanalih,A.2 Underground landform
svežnju,A.2 Underground landform
oblikovanje,B.4 Transformation
kraške votline,A.2 Underground landform
speleogenetski prostor,C. Geome
masiva,D.1 Abiotic
kraško votlino,A.2 Underground landform
speleološki objekt,A.2 Underground landform
speleološki objekt,A.2 Underground landform
jamo,A.2 Underground landform
predmet,D.1 Abiotic
speleologije,D.3 Property
trdno fazo,D.3 Property
kraško votlino,A.2 Underground landform
speleogen,A.2 Underground landform
Produkt,D.1 Abiotic
siga,D.1 Abiotic
speleotem,A.2 Underground landform
dovaja,B.3 Addition
tunelski rov,A.2 Underground landform
avtigenem okolju,D.1 Abiotic
epifreatični coni,C. Geome
alogenih tokov,D.1 Abiotic
ponori,A.3 Hydrological form
Rov,A.2 Underground landform
efekta,D.1 Abiotic
predor,D.1 Abiotic
paragenetskega praga,D.1 Abiotic
turbulentni tok,D.3 Property
pretakanja,B.1 Movement
hitrostih,D.1 Abiotic
tekočine,D.1 Abiotic
tokovnice,D.1 Abiotic
preboja,D.1 Abiotic
kanalih,D.1 Abiotic
laminaren tok,D.3 Property
organske snovi,D.1 Abiotic
diageneze,B.4 Transformation
pelitov,D.1 Abiotic
leziki,D.1 Abiotic
faza,D.3 Property
pirita,D.1 Abiotic
skladoma,D.1 Abiotic
kanala,D.1 Abiotic
začetje,D.3 Property
začetni horizont,D.1 Abiotic
oblične ploskve,D.1 Abiotic
Friar's Hole,D.3.1 Geolocation
lezike,D.1 Abiotic
Najdena,D.3.1 Geolocation
jamah,A.2 Underground landform
Škocjanske,D.3.1 Geolocation
Ploskev,D.1 Abiotic
skladovnici,D.1 Abiotic
jamskih kanalov,A.2 Underground landform
zajeda,D.1 Abiotic
steni,D.1 Abiotic
polvotlina,A.2 Underground landform
zbirni kanali,D.1 Abiotic
neprežete cone,C. Geome
oblikujejo,B.4 Transformation
vodo,D.1 Abiotic
kamine,D.1 Abiotic
Kanali,A.2 Underground landform
anastomozni,D.3 Property
spužvasti,D.3 Property
curke,D.1 Abiotic
epikrasom,C. Geome
sparitni kalcit,D.1 Abiotic
glineni material,D.1 Abiotic
Zgodnjediagenetski kras,C. Geome
morskih grebenih,D.1 Abiotic
zgodnjediagenetski kras,C. Geome
porušenjem,B.1 Movement
grebenih,D.1 Abiotic
leče,D.1 Abiotic
raztapljanjem,B.4 Transformation
breče,D.1 Abiotic
blato,D.1 Abiotic
atolih,D.1 Abiotic
Votline,A.2 Underground landform
haloklinale,D.1 Abiotic
diageneze,B.4 Transformation
material,D.1 Abiotic
Kras,C. Geome
jam,A.2 Underground landform
apnenca,D.1 Abiotic
korozijo,B.4 Transformation
Zogovičev efekt,D.3 Property
apnenca,D.1 Abiotic
kamnine,D.1 Abiotic
dolomitizacije,B.4 Transformation
neodpornosti,D.3 Property
raztaplja,B.2 Loss
dolomita,D.1 Abiotic
gobasti balvani,A.1 Surface landform
kraške mize,A.1 Surface landform
ledeni dobi,D.3 Property
apneniško podlago,D.1 Abiotic
dežjem,D.1 Abiotic
korozijo,B.4 Transformation
zaščitili,D.3 Property
Jame,A.2 Underground landform
bivališča,D.1 Abiotic
votline,A.2 Underground landform
frlinka,A.2 Underground landform
brlog,A.2 Underground landform
rupa,A.2 Underground landform
kamra,A.2 Underground landform
skedenj,A.2 Underground landform
jazbina,A.2 Underground landform
polšna,A.2 Underground landform
luknja,A.2 Underground landform
lisičina,A.2 Underground landform
kevderc,A.2 Underground landform
votlino,A.2 Underground landform
jama,A.2 Underground landform
lijakastemu breznu,A.2 Underground landform
zvonasto brezno,A.2 Underground landform
lijakasto kotanjo,D.1 Abiotic
apnencu,D.1 Abiotic
kotlasto,D.1 Abiotic
širine,D.3 Property
vrtačo,A.1 Surface landform
globino,D.3 Property
Umetno mlako,D.1 Abiotic
lokev,D.1 Abiotic
lokva,D.1 Abiotic
kal,D.1 Abiotic
epifreatične cone,C. Geome
piezometrična gladina,D.3 Property
gladina vode,D.3 Property
vode,D.1 Abiotic
epifreatična cona,C. Geome
kraškim geomorfnim sistemom,C. Geome
Kontaktni kras,C. Geome
fluvialnim,C. Geome
vodoravne jame,A.2 Underground landform
parageneze,B. Process
jame,A.2 Underground landform
Siga,A.2 Underground landform
usedlina,D.1 Abiotic
kalcijevega karbonata,D.1 Abiotic
Ponvice,A.2 Underground landform
pregrade,D.1 Abiotic
radioaktivni žlahtni plin,D.1 Abiotic
žlahtni plin,D.1 Abiotic
vonja,D.3 Property
Radon,D.1 Abiotic
barve,D.3 Property
jam,A.2 Underground landform
izginjanja,B.2 Loss
Speleogeneza,B. Process
razvoja,B.4 Transformation
nastajanja,B.3 Addition
Skalni previs,D.1 Abiotic
človek,D.2 Biotic
abri,A.1 Surface landform
Poljama,A.1 Surface landform
spodmol,A.1 Surface landform
previs,D.1 Abiotic
agresivna voda,D.1 Abiotic
korodirati,B.2 Loss
kamnino,D.1 Abiotic
raztapljati,B.2 Loss
Voda,D.1 Abiotic
kraško površje,C. Geome
alogena voda,D.1 Abiotic
podzemlje,C. Geome
Voda,D.1 Abiotic
apneniški dolomit,D.1 Abiotic
kalcijevega karbonata,D.1 Abiotic
dolomitizirani apnenec,D.1 Abiotic
Sedimentna kamnina,D.1 Abiotic
magnezijevega karbonata,D.1 Abiotic
zrnavosti,D.3 Property
debelozrnati,D.1 Abiotic
mikriti,D.1 Abiotic
kamnina,D.1 Abiotic
spariti,D.1 Abiotic
apnenec,D.1 Abiotic
apnenec,D.1 Abiotic
drobnozrnati,D.1 Abiotic
veda,E.2 Method
jamo,A.2 Underground landform
antropospeleologija,E.2 Method
pračloveku,D.2 Biotic
Veda,E.2 Method
človekom,D.2 Biotic
Kalcijev karbonat,D.1 Abiotic
kristalov,D.1 Abiotic
kristalizira,B.4 Transformation
jamah,A.2 Underground landform
aragonit,D.1 Abiotic
kalcit,D.1 Abiotic
stroncija,D.1 Abiotic
kamna,D.1 Abiotic
artefakt,D.1 Abiotic
kosti,D.1 Abiotic
orodja,D.1 Abiotic
"kemičnimi , biološkimi in fizikalnimi sredstvi",E.1 Instrument
barvanje kraške vode,E.2 Method
sledenje,E.2 Method
določevanje,E.2 Method
obarvanje,E.2 Method
vode,D.1 Abiotic
Določevanje,E.2 Method
iztok,D.1 Abiotic
živih bitjih,D.2 Biotic
podzemlju,C. Geome
biospeleologija,E.2 Method
Znanost,E.2 Method
jamah,A.2 Underground landform
aluminijevih hidroksidov,D.1 Abiotic
Usedlina,D.1 Abiotic
apnenca,D.1 Abiotic
klimi,D.3 Property
boksit,D.1 Abiotic
tropski,D.1 Abiotic
ruda,D.1 Abiotic
preperevanja,B.2 Loss
votlina,D.1 Abiotic
jama,A.2 Underground landform
brezno,A.2 Underground landform
Slovenije,D.3.1 Geolocation
ponorno brezno,A.2 Underground landform
požiralno brezno,A.2 Underground landform
Brezno,A.2 Underground landform
voda,D.1 Abiotic
izvirno brezno,A.3 Hydrological form
voda,D.1 Abiotic
kraške vode,D.1 Abiotic
vodokazno brezno,A.2 Underground landform
vodna gladina,D.3 Property
Brezno,A.2 Underground landform
gladina,D.3 Property
vode,D.1 Abiotic
lijakasto brezno,A.2 Underground landform
lijaku,D.1 Abiotic
Vodni tok,D.1 Abiotic
kraško podzemlje,C. Geome
ponikalnica,A.3 Hydrological form
ponornica,A.3 Hydrological form
ponikne,B.1 Movement
vodnega toka,D.1 Abiotic
ponikev,A.3 Hydrological form
Temenice,D.3.1 Geolocation
ponikanje,B.2 Loss
odprtino,D.1 Abiotic
voda,D.1 Abiotic
ponikva,A.3 Hydrological form
naplavino,D.1 Abiotic
ponor,A.3 Hydrological form
požiralnik,A.3 Hydrological form
Odprtina,D.1 Abiotic
Ponikve,D.3.1 Geolocation
Postojnsko jamo,D.3.1 Geolocation
ponika,B.2 Loss
teče,B.1 Movement
Pivke,D.3.1 Geolocation
luknja,D.1 Abiotic
ponor,A.3 Hydrological form
odprtina,D.1 Abiotic
potok,D.1 Abiotic
reka,D.1 Abiotic
voda,D.1 Abiotic
jama,A.2 Underground landform
jezerski kotanji,D.1 Abiotic
", kotanji",D.1 Abiotic
jezerski ponor,A.3 Hydrological form
obali,D.1 Abiotic
