DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
Jama,D.1 Abiotic|A.2 Underground landform,razpoka|Jama,"Jama je korozijska razpoka s premerom večjim od 5 – 15 milimetrov (Williams, 1989; cv: Hribernik, 2005).",,,,,,je,korozijska razpoka,,korozijska,,,,,,s premerom večjim od 5 – 15 milimetrov,,,,,,,,,,,,,,,,,s premerom,,
Jame,D.1 Abiotic|D.1 Abiotic|B. Process|A.2 Underground landform,tekoča voda|kanali|procesom korozije|Jame,"Jame so podzemni kanali, ki jih je izoblikovala tekoča voda s procesom korozije.",,,,,,so,podzemni kanali,,jih je izoblikovala tekoča voda s procesom korozije,,,podzemni,,,,,,,,,jih je izoblikovala,,,,,,,,,,,,,
so,D.1 Abiotic|D.1 Abiotic|C. Geome|A.2 Underground landform,tekoča voda|kanali|kras|Jame,"Jame so podzemni kanali, ki jih je naredila skozi kras tekoča voda.",,,,,,,podzemni kanali,,jih je naredila skozi kras tekoča voda,,,podzemni,,,,,,,,,jih je naredila,,,,,,,,,,,,,
Jame,D.1 Abiotic|D.1 Abiotic|C. Geome|A.2 Underground landform,tekoča voda|kanali|kras|Jame,"Jame so podzemni kanali, ki jih je naredila skozi kras tekoča voda.",,,,,,,podzemni kanali,,jih je naredila skozi kras tekoča voda,,,podzemni,,,,,,,,,jih je naredila,,,,,,,,,,,,,
brezstropa jama,B. Process|A.1 Surface landform,razvoja jame|brezstropa jama,Zaključni stadij razvoja jame imenujemo brezstropa jama.,,,,,,imenujemo,jame,,,,,,,,,,,,,,,,,,,,,,,,,,,
kemična denudacija,B.2 Loss|C. Geome|B.2 Loss|B.2 Loss|D.1 Abiotic,kemična denudacija|vodonosnik|kraška|Odnašanje|karbonatov,Odnašanje raztopljenih karbonatov globlje v vodonosnik imenujemo kraška ali kemična denudacija.,,,,,,imenujemo,Odnašanje raztopljenih karbonatov,,,,,globlje v vodonosnik,,,,,,,,,,,,,,,globlje v,,,,,,,
kraška,B.2 Loss|C. Geome|B.2 Loss|B.2 Loss|D.1 Abiotic,kemična denudacija|vodonosnik|kraška|Odnašanje|karbonatov,Odnašanje raztopljenih karbonatov globlje v vodonosnik imenujemo kraška ali kemična denudacija.,,,,,,imenujemo,Odnašanje raztopljenih karbonatov,,,,,globlje v vodonosnik,,,,,,,,,,,,,,,globlje v,,,,,,,
Jame brez stropa,A.2 Underground landform|B.4 Transformation|D.3 Property|A.2 Underground landform|B.2 Loss|D.3 Property,Jame brez stropa|razčlenjevanja|presekane|jame|znižanja|razkrite,"Jame brez stropa so stare jame, ki so zaradi znižanja in razčlenjevanja kraškega površja razkrite ali presekane. zaradi znižanja in razčlenjevanja kraškega površja",,,,,,so,jame,,zaradi znižanja in razčlenjevanja kraškega površja,ki so zaradi znižanja in razčlenjevanja kraškega površja razkrite ali presekane,,,,,,,,,,,,,,,,,,,,,,,,
Jama brez stropa,A.2 Underground landform|A.2 Underground landform|B. Process|D.1 Abiotic|D.1 Abiotic,Jama brez stropa|kraška jama|denudacijsko spuščanje|avtohtone sedimente|alohtone,"Jama brez stropa je stara kraška jama, ki jo je denudacijsko spuščanje površja razgalilo na površje in lahko vsebuje alohtone ter / ali avtohtone sedimente.",,,,lahko vsebuje alohtone ter / ali avtohtone sedimente,,je,kraška jama,,ki jo je denudacijsko spuščanje površja razgalilo na površje,,,,,,,,,,,,,,lahko vsebuje,,,,,,,,,,,
Kal,D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic,plitva kotanja|kraških tleh|Kal|deževnica,"Kal je plitva kotanja na kraških tleh, kjer se zaradi nepropustnega dna in pobočij zbira deževnica. zaradi nepropustnega dna in pobočij",,,,,,je,kotanja,,zaradi nepropustnega dna in pobočij,plitva,kjer se zaradi nepropustnega dna in pobočij zbira deževnica,na kraških tleh,,,,,,,,,,,,,,kjer se,na,,,,,,,
Speleogeneza,B. Process|E.2 Method|E.2 Method|A.2 Underground landform|B. Process,izvora|Speleogeneza|razlaga|jam|nastanka,Speleogeneza je razlaga izvora in nastanka jam.,,,,,,je,,,,,,,,,,,,,razlaga izvora in nastanka jam,,,,,,,,,,,,,,,
vrtača,D.1 Abiotic|A.1 Surface landform,globel|vrtača,"Beseda vrtača je bila nekdaj domnevno živa slovenska ljudska beseda, ki je pomenila manjšo globel.",,,,,,je pomenila,manjšo globel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sufozija,D.1 Abiotic|B.2 Loss|D.1 Abiotic|B. Process,tekoče vode|spiranja gradiva|ruše|Sufozija,Sufozija je proces spiranja gradiva izpod ruše ali krovnih usedlin s pomočjo tekoče vode.,,,,,,je,proces,,,,je proces spiranja gradiva izpod ruše ali krovnih usedlin s pomočjo tekoče vode,,,,,,,,,,,,,,,,,,,,,,,
Kras,B.1 Movement|A.2 Underground landform|B.1 Movement|D.3 Property|C. Geome|B. Process|C. Geome|A.1 Surface landform,"kraško , pretakanje vode|podzemeljske oblike|podzemeljsko|prepustnosti|Kras|raztapljanje|ozemlje|površinske","Kras je ozemlje, kjer vlada zaradi poklinske prepustnosti kamnine podzemeljsko, kraško, pretakanje vode, učinkovito kemično raztapljanje kamnin in kjer so lahko razvite tudi značilne površinske in podzemeljske oblike.",,,,kjer so lahko razvite tudi značilne površinske in podzemeljske oblike,,je,ozemlje,,,,"kjer vlada zaradi poklinske prepustnosti kamnine podzemeljsko , kraško , pretakanje vode , učinkovito kemično raztapljanje kamnin",,,,,,,podzemeljske oblike|površinske,,,,,so lahko razvite,,,zaradi,,,,,,,,
Viskogorski kras,C. Geome|D.3 Property|C. Geome|C. Geome|C. Geome|C. Geome,glacialni kras|gozdno mejo|Viskogorski kras|površje|kras|nivalni,"Viskogorski kras imenuje kras nad gozdno mejo, ki je širši kot izraza nivalni ali glacialni kras, ki pomenita samo kraško površje, ki ga je izoblikoval sneg oziroma ledenik.",,,,ki je širši kot izraza nivalni ali glacialni kras,,imenuje,kras,,,,,nad gozdno mejo,,,,,,,,,,,,,,,nad,,,,,,,
Kontaktni kras,C. Geome|B. Process|C. Geome|C. Geome|D.1 Abiotic|D.3 Property,fluvialnega geomorfnega sistema|delovanja površja|Kontaktni kras|kraškega|vode|oblikovanosti,"Kontaktni kras je poseben tip oblikovanosti in delovanja površja, ki je na območjih, kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno.",,,,,,je,tip oblikovanosti in delovanja površja,,,,,"ki je na območjih , kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno",,,,,,,,,,,,,,,kjer,,,,,,,
Morfogeneza reliktnih vršajev,D.1 Abiotic|D.1 Abiotic|B.2 Loss|A.1 Surface landform|B.4 Transformation|A.1 Surface landform|B.3 Addition,vodnih tokov|flišne naplavine|prekinitve dotoka|reliktnih vršajev|Morfogeneza|vršajev|nanašanja,Morfogeneza reliktnih vršajev je posledica popolne ali delne prekinitve dotoka vodnih tokov in nanašanja flišne naplavine na območje vršajev.,,,,,,,,,je posledica popolne ali delne prekinitve dotoka vodnih tokov in nanašanja flišne naplavine na območje vršajev,,,,,,,,,,,,je posledica,,,,,,,,,,,,,
psevdovršaji,B.3 Addition|D.1 Abiotic|C. Geome|A.1 Surface landform|A.1 Surface landform,aktivnega procesa sedimentacije|rečnih nanosov|krasu|Vršaje|psevdovršaji,"Vršaje na krasu, ki nimajo aktivnega procesa sedimentacije rečnih nanosov, imenuje psevdovršaji.",,,,,,imenuje,Vršaje,ki nimajo aktivnega procesa sedimentacije rečnih nanosov,,,,,,,,,,,,ki nimajo,,,,,,,,,,,,,,
parageneze,D.1 Abiotic|B.4 Transformation|D.1 Abiotic|D.1 Abiotic|B.3 Addition|B.1 Movement|B. Process,strop rova|korozijskega procesa|toka|sedimenti|zasipavanje|iztiskanje|parageneze,Vzrok parageneze je zasipavanje dna rova s sedimenti in iztiskanje toka ter s tem tudi korozijskega procesa pod strop rova.,,,,,,,,,je zasipavanje dna rova s sedimenti in iztiskanje toka ter s tem tudi korozijskega procesa pod strop rova,,,,,,,,,,,,Vzrok,,,,,,,,,,,,,
uvale,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,kraških globeli|kraških globeli|kraškim poljem|vrtač|dolaste|uvale|vrtačaste,"Naslednja večja skupina kraških globeli so uvale, bodisi dolaste ali vrtačaste, ki po stari Cvijićevi (1918) opredelitvi tvorijo v genetskem pogledu prehod od vrtač h kraškim poljem kot najvišjo obliko razvoja kraških globeli.",,,,,,so,kraških globeli,,ki po stari Cvijićevi ( 1918 ) opredelitvi tvorijo v genetskem pogledu prehod od vrtač h kraškim poljem kot najvišjo obliko razvoja kraških globeli,bodisi dolaste ali vrtačaste,,,,,,,,,,,,,,,,,,,,,,,,
Kontaktni kras,C. Geome|B. Process|C. Geome|D.3 Property|D.1 Abiotic|C. Geome,fluvialnega geomorfnega sistema|delovanja površja|Kontaktni kras|tip oblikovanosti|vode|kraškega,"Kontaktni kras je poseben tip oblikovanosti in delovanja površja, ki je na območjih, kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno.",,,,,,je,tip oblikovanosti in delovanja površja,,,,,"ki je na območjih , kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno",,,,,,,,,,,,,,,,,,,,,,
psevdovršaji,B.3 Addition|A.1 Surface landform|C. Geome|A.1 Surface landform,sedimentacije|Vršaje|krasu|psevdovršaji,"Vršaje na krasu, ki nimajo aktivnega procesa sedimentacije rečnih nanosov, imenuje psevdovršaji.",,,,,,imenuje,Vršaje,,,,ki nimajo aktivnega procesa sedimentacije rečnih nanosov,na krasu,,,,,,,,,,,,,,,na,,,,,,,
Vrtača,D.1 Abiotic|A.1 Surface landform,depresijska oblika|Vrtača,"Vrtača je depresijska oblika, navadno globoka več metrov in je bolj široka kot globoka.",,,,,,je,depresijska oblika,,,je bolj široka kot globoka,,,,,navadno globoka več metrov,,,,,,globoka,,,,,,,,,,,,,
korozija,B.4 Transformation|D.1 Abiotic|B.4 Transformation|B.4 Transformation,Kemično preperevanje|kraških kamnin|raztapljanje|korozija,Kemično preperevanje oziroma raztapljanje kraških kamnin imenujemo korozija.,,,,,,imenujemo,Kemično preperevanje,,Kemično preperevanje oziroma raztapljanje kraških kamnin imenujemo,,,,,,,,,,,,,,,,,,,,,,,,,
korozije,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|C. Geome|D.3 Property|C. Geome|D.3 Property|B.4 Transformation,topnih kamnin|površinske oblike|jamami|podzemlja|prevotljenost|površju|razpokanost|korozije,"Posledica korozije je prevotljenost podzemlja z jamami, na površju pa se oblikujejo različne površinske oblike, za katere je pomembna kombinacija dobro topnih kamnin, njihova razpokanost in zadostna količina meteorne vode.",,,,,,,,,,,,,,"na površju pa se oblikujejo različne površinske oblike , za katere je pomembna kombinacija dobro topnih kamnin , njihova razpokanost in zadostna količina meteorne vode|Posledica korozije je prevotljenost podzemlja z jamami",,,,,,,,,,,,,,,,,se oblikujejo|Posledica|je,,,
korozijsko uravnavanje,B.4 Transformation|B.4 Transformation|B.4 Transformation|B.4 Transformation|D.1 Abiotic|B.4 Transformation,rečne erozije|bočne korozije|korozijsko uravnavanje|korozije|uravnav|raztapljanja,"Proces, ki povzroča nastanek uravnav, imenujemo korozijsko uravnavanje (ang. corrosional planation) ter vključuje kombinacijo vertikalnega raztapljanja s padavinami, bočne korozije morfološko vzpetih delov, korozije pod naplavino ter zadenjske rečne erozije.",,,,vključuje kombinacijo vertikalnega raztapljanja s padavinami|bočne korozije morfološko vzpetih delov|zadenjske rečne erozije|korozije pod naplavino,,imenujemo,Proces,,,,,,,ki povzroča nastanek uravnav,,,,,,,,,vključuje,,,,,,,,ki povzroča,,,
Reliktni vršaji,C. Geome|D.1 Abiotic|B.4 Transformation|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|B.4 Transformation,kontaktnega krasa|flišne naplavine|kemično denudacijo|karbonatne podlage|Reliktni vršaji|vršajev|denudacijo,"Reliktni vršaji so značilne oblike kontaktnega krasa, ki nastanejo s postopno denudacijo flišne naplavine in kemično denudacijo karbonatne podlage na območjih vršajev.",,,,,,so,oblike kontaktnega krasa,,ki nastanejo s postopno denudacijo flišne naplavine|kemično denudacijo karbonatne podlage,,,na območjih vršajev,,,,,,,,,ki nastanejo s,,,,,,,,,,,,,
Oblika udornic,C. Geome|D.3 Property|A.1 Surface landform|B. Process|A.1 Surface landform|A.1 Surface landform,kraškem površju|ravnovesja|udornice|rezultat|udornici|udornic,"Oblika udornic je rezultat ravnovesja med različnimi procesi v udornici, ki oblikujejo udornice v dinamičnem kraškem površju.",,,ki oblikujejo udornice v dinamičnem kraškem površju,,,,,,je rezultat ravnovesja med različnimi procesi v udornici,,,,,,,,,,,,je rezultat,v,,,,,,,,,,,,
vrtače,D.1 Abiotic|A.1 Surface landform,reliefne oblika|vrtače,Najpogostejše reliefne oblika na območju so vrtače.,,,,,,so,reliefne oblika,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraške krnice,A.1 Surface landform|A.1 Surface landform|B.4 Transformation,Ledeniške krnice|kraške krnice|zakrasevanja,"Ledeniške krnice, ki so dodatno poglobljene zaradi zakrasevanja, imenujemo kraške krnice.",,,,,,imenujemo,Ledeniške krnice,,,ki so dodatno poglobljene zaradi zakrasevanja,,,,,,,,,,,,,,,,,,,,,,,,
Kraška krnica,A.1 Surface landform|D.3.1 Geolocation|D.3.1 Geolocation|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform,Kraška krnica|Južne Alpe|Dinarsko gorstvo|reliefna oblika|konta|do,"Kraška krnica je značilna reliefna oblika za Južne Alpe in Dinarsko gorstvo, kjer jo na južnem delu Dinarskega gorstva krajevno imenujejo do, na severnem delu pa navadno konta.",,,,,"kjer jo na južnem delu Dinarskega gorstva krajevno imenujejo do , na severnem delu pa navadno konta",je,reliefna oblika,,,,,,za Južne Alpe in Dinarsko gorstvo,,,,,,,,,,,krajevno imenujejo,,,,,,,,,,
udornice,B. Process|A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|D.3 Property|C. Geome|A.1 Surface landform|D.1 Abiotic,hidrološke procese|podzemskih tokov|piezometričnega nivoja|vodnih tokov|globeli|agresivnost|podzemlju|udornice|erozivnost,"Nastanek in razporeditev večjih globeli, ki jih slovenska strokovna literatura prav tako imenuje udornice, sta vezana na specifične hidrološke procese na območjih koncentriranih podzemskih tokov, nihanja piezometričnega nivoja v podzemlju, na večjo agresivnost ali erozivnost vodnih tokov ali kombinacije teh dejavnikov.",,,,,,,,,vezana na specifične hidrološke procese na območjih koncentriranih podzemskih tokov|večjo agresivnost ali erozivnost vodnih tokov|nihanja piezometričnega nivoja v podzemlju,,,,,,,,,,,,vezana na,,,,,,,,,,,,,
Preoblikovanje udornic,B. Process|B.4 Transformation|A.1 Surface landform,geomorfnih procesov|Preoblikovanje|udornic,Preoblikovanje udornic je rezultat součinkovanja mnogih geomorfnih procesov.,,,,,,,,,je rezultat součinkovanja mnogih geomorfnih procesov,,,,,,,,,,,,je rezultat,,,,,,,,,,,,,
poroznost,D.1 Abiotic|D.1 Abiotic|D.3 Property|D.3 Property,praznega prostora|kamnine|poroznost|Delež,poroznost - Delež praznega prostora v določeni prostomini kamnine. v določeni prostomini kamnine,,,,,Delež praznega prostora v določeni prostomini kamnine,,Delež praznega prostora,,,,,v določeni prostomini kamnine,,,,,,,,,,,,,,,v,,,,,,,
porušena cona,C. Geome|A.2 Underground landform|D.1 Abiotic|C. Geome|D.1 Abiotic,porušena cona|zdrobljene cone|prelomoma|Območje|kamnin,"porušena cona - Območje tektonsko pretrtih kamnin, največkrat med dvema prelomoma ter na zunanji strani zdrobljene cone.",,,tektonsko pretrtih kamnin,,,,Območje,,,,,največkrat med dvema prelomoma ter na zunanji strani zdrobljene cone,,,,,,,,,,,,,,,največkrat med,,,,,,,
pospešena korozija,D.1 Abiotic|B.2 Loss|B.2 Loss|D.1 Abiotic,podzemske reliefue oblike|pospešena korozija|korozija|površinske,"pospešena korozija - Krajevno učinkovitejša korozija, katere učinki se pokažejo kot izrazite površinske ali podzemske reliefue oblike.",,,,,,,korozija,učinkovitejša,,,,Krajevno,,katere učinki se pokažejo kot izrazite površinske ali podzemske reliefue oblike,,,,,,,,,,,,,,,,,katere učinki,,,
preboj,D.1 Abiotic|B.4 Transformation|A.3 Hydrological form|A.3 Hydrological form|D.3 Property|A.3 Hydrological form,laminarni tok|preboj|izvira|turbulentnega|Trenutek|ponora,"preboj - Trenutek, ko vzdolž celotne sekvence od ponora do izvira laminarni tok preide v turbulentnega.",,,,,,,Trenutek,,,,,,,ko vzdolž celotne sekvence od ponora do izvira laminarni tok preide v turbulentnega,,,,,,,,,,,,,,,,,,,,
prebojni čas,D.3 Property|D.3 Property|D.3 Property|D.3 Property,prebojni čas|začetjem|Čas|prebojem,prebojni čas - Čas med začetjem in prebojem.,,,,,,,,,,,,,,,,Čas,med začetjem in prebojem,,,,,,,,,,,,,,,,,
prevajanje,D.3 Property|D.3 Property|D.3 Property,paragenetski prag|speleogenetska faza|prevajanje,prevajanje - speleogenetska faza ko je paragenetski prag prekoračen.,,,,,,,speleogenetska faza,,,,,,,,,,ko je paragenetski prag prekoračen,,,,,,,,,,,,,,,,,ko je
prežeta cona,D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic|C. Geome|C. Geome|B.3 Addition,gladino podtalnice|padavinske vode|neprežeto cono|freatično vodo|prežeta cona|speleogenetskega prostora|dotoke,prežeta cona - Območje speleogenetskega prostora pod gladino podtalnice. Prevaja s soseščine doteklo freatično vodo in zbira krajevne dotoke padavinske vode skozi neprežeto cono.,,,,,,,Območje speleogenetskega prostora,,,,zbira krajevne dotoke padavinske vode skozi neprežeto cono|Prevaja s soseščine doteklo freatično vodo,pod gladino podtalnice,,,,,,,,,,,,,,zbira|Prevaja,pod,,,,,,,
rast,D.3 Property|D.3 Property|D.3 Property|D.3 Property,Speleogenetska faza|paragenetskim pragom|prebojem|rast,rast - Speleogenetska faza med prebojem in paragenetskim pragom.,,,,,,,Speleogenetska faza,,,,,,,,,,med prebojem in paragenetskim pragom,,,,,,,,,,,,,,,,,med
razpoka,D.1 Abiotic|B.1 Movement|D.1 Abiotic|D.1 Abiotic,razpoka|premikov|kamnini|ploskev,"razpoka - Mehansko nastala ploskev nezveznosti v kamnini, ob kateri je prišlo le do neznatnih premikov. ploskev v kamnini",,,,,ploskev nezveznosti v kamnini,,ploskev nezveznosti,,Mehansko nastala,ploskev,,v kamnini,,ob kateri je prišlo le do neznatnih premikov,,,,,,,,,,,,,v,,,,,,,
razpoklinska poroznost,D.1 Abiotic|D.3 Property|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property,praznega prostora|razpoklinska poroznost|kamnine|razpoke|lezike|prostomini,"razpoklinska poroznost - Hidrogeološki izraz. Delež praznega prostora v določeni prostomini kamnine, ki ga prispevajo odprte razpoke in lezike. v določeni prostomini kamnine",,,,,Delež praznega prostora v določeni prostomini kamnine,,,,ki ga prispevajo odprte razpoke in lezike,,,v določeni prostomini kamnine,,,,,,,,,ki ga prispevajo,,,Delež,,,v,,,,,,,
razpoklinska cona,A.1 Surface landform|D.1 Abiotic|B.1 Movement|D.1 Abiotic,razpoklinska cona|sistem razpok|Premiki|razpokah,"razpoklinska cona - Bolj ali manj gost, do več 10O m širok, usmerjen sistem razpok. Premiki ob razpokah so neznatni ali zelo majhni.",,,,,,,,Premiki ob razpokah so neznatni,,Bolj ali manj gost|usmerjen sistem razpok,,,,,do več 10O m širok,,,,,,,,,,,,,,,,,širok,,
rov,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.3 Property,Jamski kanal|kanal|rov|prehoden,"rov - Jamski kanal brez izrazitih prepadnih odsekov, prehoden človeku. Izvor ni pomemben. kanal",,,,,,,Jamski kanal,,,brez izrazitih prepadnih odsekov,,,,,prehoden človeku,,,,,,,,,,brez,,,,,,,,,
sifon,A.2 Underground landform|A.3 Hydrological form|A.2 Underground landform|D.1 Abiotic|B. Process,jamskega dna|podzemska reka|sifon|gladini|poglobitev,"sifon - Kolenasta poglobitev jamskega dna, kjer naj bi na krajšo razdaljo podzemska reka tekla ob pritisnjeni gladini.",,,,,,,poglobitev,,,Kolenasta,,"jamskega dna , kjer naj bi na krajšo razdaljo podzemska reka tekla ob pritisnjeni gladini",,,,,,,,,,,,naj bi,,,kjer,,,,,,,
snovanje,D.3 Property|A.2 Underground landform|D.3 Property|B. Process|B.1 Movement,Speleogenetska faza|kanal|laminaren|snovanje|tok,snovanje - Speleogenetska faza med začetjem in prebojem. V času snovanja je tok skozi kanal laminaren.,,,,,,,Speleogenetska faza,je tok skozi kanal laminaren,,,,,,,,,med začetjem in prebojem,,,,,,,,,,,,,,,,,med
jamo,A.2 Underground landform|D.1 Abiotic,jamo|votlino,"Slovenska kraška terminologija (1973) jamo definira kot prehodno podzemeljsko votlino, ki je lahko vodoravna ali navpična.",,,,,,definira kot,podzemeljsko votlino,,,je lahko vodoravna ali navpična,prehodno,podzemeljsko,,,,,,,,,,,,,,,,,,,,,,
jamo,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,votlina|votlino|jama|jamo,"Prvi jamo opredeljujejo kot vsako naravno votlino v kamnini, ki je prehodna človeku in je vsaj 10 m dolga ali globoka, drugi pa, da je jama naravna podzemna votlina v kamnini, ki je dovolj velika, da je prehodna za človeka (cv: Stepišnik, 2011).",,,v kamnini,,,opredeljujejo kot|je,naravna podzemna votlina|naravno votlino,naravno,naravna,,je prehodna človeku,v kamnini|podzemna,,,"je dovolj velika , da je prehodna za človeka|je vsaj 10 m dolga ali globoka",,,,,,,v,,,,je prehodna,v,,,,,"je dovolj velika , da",,
jama,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,votlina|votlino|jama|jamo,"Prvi jamo opredeljujejo kot vsako naravno votlino v kamnini, ki je prehodna človeku in je vsaj 10 m dolga ali globoka, drugi pa, da je jama naravna podzemna votlina v kamnini, ki je dovolj velika, da je prehodna za človeka (cv: Stepišnik, 2011).",,,v kamnini,,,opredeljujejo kot|je,naravna podzemna votlina|naravno votlino,naravno,naravna,,je prehodna človeku,v kamnini|podzemna,,,"je dovolj velika , da je prehodna za človeka|je vsaj 10 m dolga ali globoka",,,,,,,v,,,,je prehodna,v,,,,,"je dovolj velika , da",,
jama,A.2 Underground landform|D.1 Abiotic,jama|votlina,"Po Jamarski zvezi Slovenije je jama vsaka naravna votlina v kamnini, ki je prehodna človeku in je vsaj deset metrov dolga ali globoka.",,,,,,je,naravna votlina,naravna,,,je prehodna človeku,v kamnini,,,je vsaj deset metrov dolga ali globoka,,,,,,,,,,,,v,,,,,,,
jama,A. Landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,kraški pojav|Jame|votlina|jama|brezna,"Jame so najznačilnejši kraški pojav. V ožjem smislu je jama prehodna, pretežno horizontalna podzemna votlina, ravno nasprotno od brezna, ki je navpično (Slovenska kraška terminologija, 1973, str. 8).",,,,,,V ožjem smislu je|so,podzemna votlina|kraški pojav,,,"nasprotno od brezna , ki je navpično|pretežno horizontalna",prehodna,podzemna,,,,,,,,,,,,,nasprotno od,,,,,,,,,
Jame,A. Landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,kraški pojav|Jame|votlina|jama|brezna,"Jame so najznačilnejši kraški pojav. V ožjem smislu je jama prehodna, pretežno horizontalna podzemna votlina, ravno nasprotno od brezna, ki je navpično (Slovenska kraška terminologija, 1973, str. 8).",,,,,,V ožjem smislu je|so,podzemna votlina|kraški pojav,,,"nasprotno od brezna , ki je navpično|pretežno horizontalna",prehodna,podzemna,,,,,,,,,,,,,nasprotno od,,,,,,,,,
Jama,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,podpobočno jamo|Jama|fosilno|kamnini|votlina|korozijsko|tektonsko|brezstropo|obpobočno,"Jama je za človeka prehodna votlina v kraški kamnini. Glede na nastanek ločimo brezstropo, korozijsko, tektonsko, fosilno, obpobočno in podpobočno jamo.",,,,,,je,votlina,,"Glede na nastanek ločimo brezstropo , korozijsko , tektonsko , fosilno , obpobočno in podpobočno jamo",,za človeka prehodna,v kraški kamnini,,,,,,podpobočno jamo|korozijsko|tektonsko|fosilno|brezstropo|obpobočno,,,Glede na nastanek ločimo,,,,,,v,,,,,,,
brezstropa jama,D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|B.2 Loss,alohtonimi sedimenti|brezstropa jama|avtohtonimi|denudacija,"Pojem brezstropa jama tako označuje zadnji stadij razvoja jam. Površinska denudacija razgali nekdanje jamske rove, ki so velikokrat zapolnjeni z avtohtonimi ali alohtonimi sedimenti in na površju dajejo videz plitvih in podolgovatih kotanj.",,,,so velikokrat zapolnjeni z avtohtonimi ali alohtonimi sedimenti,,označuje,,zadnji stadij razvoja jam,Površinska denudacija razgali nekdanje jamske rove,na površju dajejo videz plitvih in podolgovatih kotanj,,,,,,,,,,,razgali,,,,,,,,,,,,,
Brezstropa jama,A.2 Underground landform|B.2 Loss|D.1 Abiotic,Brezstropa jama|denudacije|votlino,"Brezstropa jama je kraški pojav, ki nastane, ko površje zaradi denudacije prereže podzemno votlino.",,,,,,je,kraški pojav,,"ki nastane , ko površje zaradi denudacije prereže podzemno votlino",,,,,,,,,,,,,,,,,,,,,,,,,
Kraška polja,A.1 Surface landform|A.1 Surface landform,Kraška polja|kraška oblika,Kraška polja so površinska kraška oblika.,,,,,,so,površinska kraška oblika,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraška polja,A.1 Surface landform|D.1 Abiotic,Kraška polja|kotanje,Kraška polja so največje kraške kotanje.,,,,,,so,kraške kotanje,,,,,,,,največje,,,,,,,,,,,,,,,,,,,
kraškega polja,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic,kraškega polja|dno|obod,"Cvijić je v svojih delih o krasu opredelil tri glavne dejavnike, ki opredeljujejo pojem kraškega polja: podolgovato, uravnano dno z jasno izraženim prehodom v višji obod (Gams, 1973; Gams, 1974).",,,,,,opredeljujejo pojem,,,,"podolgovato , uravnano dno z jasno izraženim prehodom v višji obod",,,,,,,,,,,,,,,,,,,,,,,,
kraška polja,A.1 Surface landform|D.3 Property|D.1 Abiotic|D.1 Abiotic,kraška polja|kraška hidrologija|dnom|obod,Za kraška polja sta značilna sklenjen obod nad razmeroma uravnanim obsežnim dnom in kraška hidrologija. ,,,,,,sta značilna,,kraška hidrologija,,sklenjen obod nad razmeroma uravnanim obsežnim dnom,,,,,,,,,,,,,,,,,,,,,,,,
