DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
podmorski izvor,,Izvir,,"brojnica, vrulja, podmorski izvor: Izvir sladke ali brakične vode pod morsko gladino ali gladino plime. vode"
brojnica,,Izvir,,"brojnica, vrulja, podmorski izvor: Izvir sladke ali brakične vode pod morsko gladino ali gladino plime. vode"
vrulja,,Izvir,,"brojnica, vrulja, podmorski izvor: Izvir sladke ali brakične vode pod morsko gladino ali gladino plime. vode"
kontaktni kraški izvir,,Izvir,,"kontaktni izvir, kontaktni kraški izvir: Izvir na stiku vodno prepustnih kamnin, ki so navadno v krovnini, in neprepustnih kamnin. kamnin kamnin"
kontaktni izvir,,Izvir,,"kontaktni izvir, kontaktni kraški izvir: Izvir na stiku vodno prepustnih kamnin, ki so navadno v krovnini, in neprepustnih kamnin. kamnin kamnin"
jamski izvir,,Izvir,,jamski izvir: Izvir v jami.
vaukluški izvir,,izvir,,"vaukluški izvir: Od francoskega izvira Fontaine de Vaucluse, kjer izvira reka Sorgue s pretokom, ki koleba med 4 in 150 m3 na sek. in ki ga je človek izrabil za vodni pogon. Večji izvir iz brezna."
obrh,,kraški izvir,,obrh: Močan kraški izvir v vznožju stene. izvir
kropa,,kraški izvir,,"kropa: Močan kraški izvir, katerega vode pritekajo na dan razpršeno med skalovjem na nagnjenem površju. vretje. Skupinski kraški izvir, v katerem voda ob visoki vodi vre. izvir"
škavna,,Skalna vdolbina,,"škavnica, škalba: Skalna vdolbina, globoka in široka več centimetrov ali decimetrov, izjemoma nekaj metrov. Običajno ravnega dna in strmih, celo previsnih sten. Na krasu lj. škavna za večje škavnice."
škalba,,Skalna vdolbina,,"škavnica, škalba: Skalna vdolbina, globoka in široka več centimetrov ali decimetrov, izjemoma nekaj metrov. Običajno ravnega dna in strmih, celo previsnih sten. Na krasu lj. škavna za večje škavnice."
škavnica,,Skalna vdolbina,,"škavnica, škalba: Skalna vdolbina, globoka in široka več centimetrov ali decimetrov, izjemoma nekaj metrov. Običajno ravnega dna in strmih, celo previsnih sten. Na krasu lj. škavna za večje škavnice."
obalna škavnica,,Skalna jamica,,"obalna škavnica: Skalna jamica v območju plimovanja a1i valovanja, ki jo obdobno zapolnjuje morska voda."
podtalna škavnica,,skalna kotlica,,"podtalna škavnica: Škavnici podobna skalna kotlica, ki jo prekriva zemlja (prst)."
odprta škavnica,,Škavnica,,"odprta škavnica: Škavnica, ki ji je obod prerezal odvodni žleb."
predrta škavnica,,Škavnica,,"predrta škavnica: Škavnica brez stoječe vode, s predrtim dnom."
škrapa,,izjedenina,,"škraplja, škrapa: Nekaj centimetrov do vec decimetrov in metrov razsežna izjedenina v skalnem površju, brez vzdolžnega pretakanja, ki ji smer določuje biološka linija najmanjšega odpora. V rabi tudi škraplje za skalni kompleks s škrapljami. Škraplje ločijo vmesni noži, grebeni, hrbti, poličke (z ravnim vrhom)."
škraplja,,izjedenina,,"škraplja, škrapa: Nekaj centimetrov do vec decimetrov in metrov razsežna izjedenina v skalnem površju, brez vzdolžnega pretakanja, ki ji smer določuje biološka linija najmanjšega odpora. V rabi tudi škraplje za skalni kompleks s škrapljami. Škraplje ločijo vmesni noži, grebeni, hrbti, poličke (z ravnim vrhom)."
jamska škraplja,,Škraplja,,"jamska škraplja: Škraplja v jami, ki nastane z agresivno prenikajočo vodo."
obalna škraplja,,Škraplja,,"obalna škraplja: Škraplja na morski ali jezerski obali, ki nastaja na golih skalnih tleh zaradi pršavice (abrazije valov)."
kavernozna škraplja,,škraplja,,kavernozna škraplja: V raznih smereh zluknjana in izjedena izpostavljena škraplja.
lezična škraplja,,,,lezična škraplja: Nastala ob leziki.
luknjasta škraplja,,Izjedenina,,luknjasta škraplja: Izjedenina v obliki navpicnih lukenj in raz.
škrapljasti vodnjak,,,,"škrapljasti vodnjak: Nekaj decimetrov, do nekaj metrov globoka skalna luknja z vidnim dnom."
nožasta škraplja,,Škraplje,,"nožasta škraplja: Škraplje, ki jih razdvaja priostren vmesni skalni grebenček."
poklinasta škraplja,,Škraplja,,"poklinasta škraplja, strukturna škraplja: Škraplja, ki kaže v obliki še tesno navezanost na poklino, ob kateri se je razvila. na poklino"
strukturna škraplja,,Škraplja,,"poklinasta škraplja, strukturna škraplja: Škraplja, ki kaže v obliki še tesno navezanost na poklino, ob kateri se je razvila. na poklino"
porušena škraplja,,,,porušena škraplja: Nastane s porušitvijo hrbtov med škrapljami. Podobno griža.
dolcih,,,,"Poglavitni recentni geomorfni procesi v dolcih so preperevanje (prvotni geomorfni proces, ki lahko preoblikuje površje brez stalnih površinskih vodnih tokov), denudacija (ki lahko preko trenja med preperelino in podlago pomaga oblikovati začetno obliko dolca; proces je predstavil Penck kot posebno obliko denudacije, ki jo imenuje korazija, nastalo obliko pa korazijska dolina), polzenje, erozija (pomembna tam, kjer rastje ne varuje podlage), korozija (krajevno spremenljiva glede na debelino prsti – razčlenjevanje površja je močnejše, če je debelina prsti tanka ali manj prepustna; korozija je najmočnejša v dnu dolca in ne na pobočjih, saj je dno dolca položnejše od pobočij, posledično se agresivna voda dlje časa zadržuje v dnu in ga ob tem korodira), akumulacija (gradivo se odlaga na stiku pobočja in dna dolca ter v dnu dolca) ter podzemsko spiranje prepereline in drobirja (lahko pomembno prispevajo k denudaciji)."
Dolec,je,reliefna oblika,,"Dolec je plitva dolinasta reliefna oblika brez površinskega vodnega pretakanja, in je bolj plitva kot je dolga."
Kopasti vrhovi,so,višji deli kraškega reliefa|kraške vzpetine,,Kopasti vrhovi so višji deli kraškega reliefa in predstavljajo najpogostejši tip kraške vzpetine.
Fluviokras,je,tip kraškega površja,,"Fluviokras je tip kraškega površja, ki je v veliki meri razrezano z dolinami, večina katerih ima svoje začetne dele na krasu. dolinami"
Dolec,je,reliefna oblika,,Dolec je plitva dolinasta reliefna oblika na pobočju in brez površinskega vodnega pretakanja.
Kopasti vrhovi,so,kraške vzpetine,,"Kopasti vrhovi so najpogostejši tip kraške vzpetine, ponavadi se pojavljajo med različnimi depresijskimi oblikami."
Fluviokras,je,tip kraškega površja,,"Fluviokras je tip kraškega površja, ki je razrezano z rečnimi dolinami, večina njihovih začetnih delov pa je na krasu."
Kraška polja,so,površinska kraška oblika,,Kraška polja so površinska kraška oblika.
Kontaktni kras,je,območje,,"Kontaktni kras je območje, kjer se prepletata fluvialni in kraški geomorfni sistem na stiku kraških in nekraških kamnin. se prepletata fluvialni in kraški geomorfni sistem"
paragenetske jame,pogostno imenujemo,Jame kontaktnega krasa,,Jame kontaktnega krasa pogostno imenujemo paragenetske jame ali tudi epifreatične jame.
epifreatične jame,pogostno imenujemo,Jame kontaktnega krasa,,Jame kontaktnega krasa pogostno imenujemo paragenetske jame ali tudi epifreatične jame.
Zatrepna dolina,je,površinska oblika,,"Zatrepna dolina je značilna površinska oblika izvirnega kontaktnega krasa, ki nastane na območju izvirov, kjer vode pritekajo iz kraške kamnine."
Iztek,je,del zatrepne doline,,Iztek je končni del zatrepne doline.
Kontaktni kras,je,tip reliefa,,"Kontaktni kras je tip reliefa, značilen za stik med kraškimi in nekraškimi kamninami."
Ponorna dolina,je,depresijska oblika,,"Ponorna dolina je depresijska oblika, ki jo izoblikujejo ponikalnice v krasu, vendar je dominantna vloga vrezovanje potoka, zato je vidnih le malo kraških potez (predvsem kraški ponor in dobro prevodni kanali, ki so sposobni odvajati vso alogeno vodo)."
Fluvisoli,so,obrečne prsti,,"Fluvisoli so obrečne prsti, ki so se razvile na rečnih naplavinah."
Rečna struga,je,reliefna oblika,,"Rečna struga je reliefna oblika, ki nastane z neposrednim delovanjem tekoče vode."
Kraški izvir,je,iztok,,Kraški izvir je naravni iztok kraške vode na površje.
Stropne kotlice,so,,,Stropne kotlice so posledica delovanja kondenzne vode na kamnino.
Kraški vodonosnik,je,masa apnenca,,"Kraški vodonosnik je masa apnenca, ki zadržuje vodo, ki se steka s kraškega površja v podzemlje."
jamskega skalnega reliefa,so,,žlebiči|odkruški|kotlice|odlomi|štrline|žlebovi|vdolbinice,"Glavne oblike jamskega skalnega reliefa so žlebovi in žlebiči, kotlice in vdolbinice, štrline in odlomi ter odkruški."
Burja,je,veter,,"Burja je suh, hladen, padajoč in sunkovit SV veter."
Kras,je,uravnava,,"Kras, ki ga imenujemo tudi Tržaški, Goriški, Divaško – Komenski ali Sežanski Kras je okoli 500 km2 velika apneniška uravnava v jugozahodni Sloveniji. uravnava"
Voda,je,medij|element,,"Voda je element in hkrati medij, ki omogoča kemično raztapljanje karbonatov. raztapljanje"
Škavnice,so,korozijske vdolbine,,"Škavnice so korozijske vdolbine z ravnim dnom, velike od nekaj cm2 do nekaj m2. vdolbine"
Škraplje,so,korozijske razjede,,"Škraplje so korozijske razjede, ki nastajajo s korozijo vode bodisi na površju ali subkutano."
splitkarren,imenuje,"Manjše , poklinaste škraplje",,"Manjše, poklinaste škraplje imenuje splitkarren, nastanejo pa ob manjših nezveznostih v kamnini. Manjše"
Lezične škraplje,so,,,"Lezične škraplje so lahko globlje od 50 cm in dolge nekaj metrov, večje, do 30 m globoke in 2 m široke pa imenuje bogaz."
Žlebiči,so,izjedenine,,"Žlebiči so polkrožne izjedenine, ki nastanejo po strmcu kamninskega bloka navzdol."
abrazija,,Erozija,,"abrazija - Erozija s pomočjo plavja, predvsem peska in proda. Pojavi se šele tedaj, ko so kanali dovolj veliki, da jih plavje ob upadu hitrosti vode ne zadela. V profilu "" ključavnice "" je zgornji, okrogli do elipsasti del izdolbla čista voda, spodnji, debrski paje abrazijski."
neprežeto cono,,,,aeracijska cona - Opuščen izraz za neprežeto cono. V speleologijo je prešel iz pedologije.
aeracijska cona,,,,aeracijska cona - Opuščen izraz za neprežeto cono. V speleologijo je prešel iz pedologije.
alogena voda,,Voda,,"alogena voda - Voda v krasu, ki tja priteče z nekrasa. Nasprotje avtigeni vodi. Običajno imajo alogene vode veliko korozijsko sposobnost; ker pa so že zbrane v sorazmerno večje tokove, je tudi njihova mehanska erozivnost večja. Zato nastajajo najopaznejše kraške oblike na vtokih alogene vode. Vlogo alogene vode imajo tudi tokovi, ki dolbejo invazijske jame, ne glede na to, ali res pritekajo z nekraškega obrobja, ali pa npr. s talečega se ledenika. Nasprotje avtigeni vodi."
anastomoza,,Preplet drobnih kanalov,,"anastomoza - Preplet drobnih kanalov, ki se na videz neurejeno cepijo in spajajo. Nastane ob laminarnem toku v prežeti coni. V času snovanja nastajajo anastmoze kot planarni sklopi votlin vzdolž lezik, v kamninah z veliko medzemsko poroznostjo pa so tudi trodimenzionalni. V območju anastomoze je lahko prostornina nenačete kamnine manjša od prostornine votlin. V fazi rasti se običajno izoblikuje manjše število kanalov in anastmoze omrtvi; znane pa so tudi popolnoma anastomotske jame z večjimi prostori."
avtigena voda,,Voda,,"avtigena voda - Voda v krasu, ki se napaja izključno s preniklih krajevnih padavin. Nasprotje alogeni vodi."
boeglijev efekt,,,korozijo mešanice,"boeglijev efekt - Značilna oblikovanost previsnih oz. izbočenih površin, glede na to, ali je voda, ki jih obliva, agresivna, ali sigotvorna. Agresivna voda ogladi previsne površine in vreže žlebove v izbočene. Sigotvorna voda, obratno, ogladi izbočene površine in oblikuje rebra na previsnih. Zadnje čase se boeglijev efekt pojavlja tudi kot sinonim za korozijo mešanice."
čisti kras,,popolnega krasa,,"čisti kras (model) - Teoretska idealizacija popolnega krasa, kakršen bi nastal, če bi bila vsa kontinentalna zemeljska skorja izključno iz kraških kamnin. zemeljska skorja"
diferencialni element speleogena,,Obroč faznih meja,,"diferencialni element speleogena - Obroč faznih meja, ki stoji pravokotno na tokovnice. Lete ne smejo oblikovati zank in vsaka sme teči skozi diferencialni element speleogena samo enkrat. Osnovni gradnik (strukturnega) segmenta."
dolomit,,karbonat,,"dolomit (mineral) - Kalcijevomagnezijev karbonat. Kristali ditrigonalno skalenoedrično, najbolj razširjena oblika je romboeder. karbonat"
dolomit,,Karbonatna kamnina,Primarni dolomit|sekundarnih,"dolomit (kamnina) - Karbonatna kamnina, ki jo sestavljata minerala dolomit (> 90 %) in kalcit (< 10 %). V naših razmerah je taka sestava redka in pragmatično imenujemo "" dolomit "" tiste kamnine, ki se pri preperevanju obnašajo podobno kot dolomit, čeprav je vsebnost minerala d. daleč manjša od norme. Primarni dolomit nastane neposredno s sedimentacij o v posebnih razmerah. Večina dolomitov je sekundarnih. Nastanejo z dolomitizacijo v času zgodnje ali pome diageneze. Pri dolomitizaciji se zaradi zmanjšanja prostornine v kamnini pojavi 1015 % por, zato je zelo izpostavljen Zogovicevemu efektu. Zato deluje dolomit v gotovih razmerah kot kraška, v drugih pa kot nekraška kamnina. kamnina sedimentacij"
eforacijski rov,izraz za,freatični rov,,"eforacijski rov - Opuščen opisen izraz za freatični rov. Izpeljan je iz pojma eforacija, ki nima fizikalne osnove."
površinski kras,,,,"eksokras - Skupnost vseh kraških oblik, ki nastanejo na stiku med kraško kamnin o in ozračjem. Sinonim je površinski kras."
eksokras,,,,"eksokras - Skupnost vseh kraških oblik, ki nastanejo na stiku med kraško kamnin o in ozračjem. Sinonim je površinski kras."
podzemski kras,,,,"endokras - Skupnost vseh kraških oblik, ki nastanejo v neprežeti in prežeti coni. Sinonim je podzemski kras."
endokras,,,,"endokras - Skupnost vseh kraških oblik, ki nastanejo v neprežeti in prežeti coni. Sinonim je podzemski kras."
epikras,,,površinskemu|eksokras|podpovršinskemu,"epikras - Skupnost vseh kraških oblik, ki nastanejo na stiku med kraško kamnino in tajno odejo, sem pa šteje tudi eksokras. Približno ustreza površinskemu in podpovršinskemu krasu."
epikraška voda,,Vodno telo,,"epikraška voda - Vodno telo, ki naj bi po večjih padavinah nastalo v tleh tik nad zakraselo kamnino. Padavinska voda naj bi se zbrala že v tem območju in v neprežeto cono vtekala v obliki posameznih curkov. Zato naj bi bile vse jame neprežete cone do neke mere invazijske. V Sloveniji epikraška voda doslej ni bila ugotovljena, pa tudi večina votlin neprežete cone ni invazijskih."
epikraška voda,,Vodno telo,,"epikraška voda - Vodno telo, ki naj bi po večjih padavinah nastalo v tleh tik nad zakraselo kamnino. Padavinska voda naj bi se zbrala že v tem območju in v neprežeto cono vtekala v obliki posameznih curkov. Zato naj bi bile vse jame neprežete cone do neke mere invazijske. V Sloveniji epikraška voda doslej ni bila ugotovljena, pa tudi večina votlin neprežete cone ni invazijskih."
kalcifikacija,,,,kalcifikacija: Zamenjava primarnih trdnih snovi v živalskih ali rastlinskih ostankih s kalcijevim karbonatom. V slovenski kraški literaturi često prepojitev snovi s kalcijevim karbonatom.
kalcitna žila,,,,"kalcitna žila: Tanka, nekaj milimetrov ali cm debela plast rekristaliziranega apnenca svetle barve, ki navadno moli iz jamske stene ali stropa za nekaj milimetrov, pa tudi centimetrov. Tudi kalcitno rebro ali kalcitna pola."
kalcitno rebro,,,,"kalcitna žila: Tanka, nekaj milimetrov ali cm debela plast rekristaliziranega apnenca svetle barve, ki navadno moli iz jamske stene ali stropa za nekaj milimetrov, pa tudi centimetrov. Tudi kalcitno rebro ali kalcitna pola."
kalcitna pola,,,,"kalcitna žila: Tanka, nekaj milimetrov ali cm debela plast rekristaliziranega apnenca svetle barve, ki navadno moli iz jamske stene ali stropa za nekaj milimetrov, pa tudi centimetrov. Tudi kalcitno rebro ali kalcitna pola."
kamin,,Odprtina,,"kamin: Odprtina v jamskem stropu, ki ji običajno ne vidimo konca."
kanal,,jamski rov,,kanal: Nedostopen jamski rov v freatični coni; tudi dostopen enovit jamski rov brez bregov.
kapelica,,niša,,"kapelica: Večja niša ali zaokrožena, bogato zakapana votlinica."
karbonatna kamnina,,Usedlina,,"karbonatna kamnina: Usedlina, ki jo v glavnem sestavljajo soli ogljikove kisline. Na Dinarskem krasu sta apnenec in dolomit najbolj razširjeni karbonatni kamnini, na katerih se razvija karbonatni kras. Dinarskem krasu"
kaverna,,jama,,"kaverna: Umetna jama, napravljena cesto v vojne namene."
kevderc,,jamo,,"kevderc: Ljudsko ime za manjšo jamo, ki jo sestavlja ena sama manjša votlina."
Klastokras,,Kras,,"Klastokras: Kras v klastičnih kamninah (produ, konglomeratu, grušču breči, pesku, peščenjaku in pod.)."
koliševka,,kotanja,,"koliševka, koleševka: Več deset metrov globoka in široka kotanja, običajno s skalnim, prepadnim pobočjem, z vidnim dnom. Po prevladujočem naziranju je udornega postanka. Ljudski izraz na Notranjskem, kjer se javlja tudi ime koleševc."
koleševka,,kotanja,,"koliševka, koleševka: Več deset metrov globoka in široka kotanja, običajno s skalnim, prepadnim pobočjem, z vidnim dnom. Po prevladujočem naziranju je udornega postanka. Ljudski izraz na Notranjskem, kjer se javlja tudi ime koleševc."
kolks,,vzpetina,,"kolks, kovk: Oblika fosilnega krasa. Kopasta holmasta vzpetina, nastala v osnovi domnevno v terciarni dobi."
kovk,,vzpetina,,"kolks, kovk: Oblika fosilnega krasa. Kopasta holmasta vzpetina, nastala v osnovi domnevno v terciarni dobi."
kondenzacijska voda,,Voda,,"kondenzacijska voda: Voda, ki se zaradi kondenzacije nabira v kapljicah na jamskih stenah ali stropu, navadno na mestu mešanja toplejšega in hladnejšega zraka."
konta,,globel,,"konta: Uvala. Visokogorska uvala. Glaciokraška globel, več deset ali sto metrov dolga in široka, običajno skledaste oblike. Mnogokrat širša kot globlja. Ljudsko ime v Julijskih Alpah, kjer je zelo pogosta."
Konvakuacija,,Širjenje,,Konvakuacija: Širjenje votline (rova) zaradi izpraznjenja jamskih sedimentov. Nastala votlina je konvakuacijska votlina.
korozija,,,,"korozija: V krasoslovju kemično ali v manjši meri fizikalno raztapljanje kraške kamnine, večji del s posredovanjem vode, ki vsebuje ogljikovo kislino. Tudi odnašanje raztopljenih snovi."
glavni rov,,Rov,,"glavni rov: Rov, ki predstavlja hrbtenico jamskega sistema."
slepi rov,,Rov,,"slepi rov: Rov, ki se slepo konča."
stranski rov,,Rov,,"stranski rov: Rov, ki se cepi od glavnega rova ali od dvorane."
zvezni rov,,Rov,,"zvezni rov: Rov, ki povezuje dve ali več votlin."
eforacijski rov,,Jamski rov,,"eforacijski rov: Jamski rov z značilno obliko, ki je nastala s pretokom vode pod pritiskom (tlakom)."
gravitacijski rov,,Jamski rov,,"gravitacijski rov:. Jamski rov značilne oblike, ki je nastal s pretokom vode s prosto (nepritisnjeno) gladino - z gravitacijskim tokom. Prim. gravitacijski prečni profil."
sadra,,,,"sadra: V slovenščini ni ustaljeno razlikovanje med dvema pojmoma: brezvodni kalcijev sulfat - anhidrit, CaSO4, ki z vodo prehaja v sadro - kalcijev hidrosulfat (CaSO4. 2H2O). Obe odkladnini sta laže topljivi od apnenca. V slednji se razvija sadreni - gipsni kras."
samotar,,skala,,"samotar: Osamljena, izrazita skala na kraškem površju. V jami tudi osamljeni kapnik."
sifon,,Odsek rova,pritočni sifon|obdobni sifon|kolenast sifon|odtočni|trajni,"sifon: Odsek rova, kjer sega skalni strop v vodo. Do stropa z vodo zalit del rova, ki loči skupaj spadajoče jamske dele. Cep v rovu. Glede na trajnost ločimo trajni in obdobni sifon. Po obliki je kolenast sifon, po smeri pretoka odtočni in pritočni sifon (glede na opazovalca). V tuji literaturi tudi ledeni, ilovnati sifon, in pod."
sifonsko jezero,,kotanja,,sifonsko jezero: Vecja kotanja stoječe vode v sifonskem koritu.
sifonski zapirac,,,,"sifonski zapirac: Del stropa, ki moli v sifon."
siga,,Odkladnina,,"siga: Odkladnina kalcijevega karbonata iz zasičene jamske vode, ki se zrači. Am. pomeni sinter odkladnino mineralne vode!"
sigova tvorba,,Jamski sediment,koralaste|čvetacne|gomoljaste,"sigova tvorba: Jamski sediment iz sige, nastal iz tekoče ali mirujoče vode. Glede na podobnost z rastlinami ločimo koralaste, čvetacne ali karfiolaste, gomoljaste itd. tvorbe."
kalcitni mehur,,Mehur,,"kalcitni mehur: Mehur s kalcitno skorjo, nastal v stoječi jamski vodi."
Udornice,so,površinske kraške oblike,,"Udornice so površinske kraške oblike, ki nastanejo s podiranjem stropa v podzemnih jamah z aktivnim vodnim tokom, ko se zniža gladina podzemne vode (Stepišnik, 2006)."
Udornice,so,kraške globeli,,"Udornice so kraške globeli, ki nastanejo z udori stropov nad podzemnimi votlinami."
Udornice,so,kraške globeli,,"Udornice so zaprte kraške globeli različnih dimenzij in oblik, ki so nastale z udori stropov nad podzemnimi votlinami. različnih"
Udornice,so,kraške kotanje,,"Udornice so večje kraške kotanje, ki so nastale zaradi rušenja stropa, zato imajo strma pobočja."
Udornice,so,površinske kraške oblike,,"Udornice so površinske kraške oblike, ki so nastale s spelogenetskimi procesi (Mihevc, 2009)."
Udornice,so,površinska reliefna oblika,,"Udornice so izrazita površinska reliefna oblika, ki pa ima svoj izvor v podzemnem dogajanju."
Udornice,so,površinske kraške globeli,,"Udornice so površinske kraške globeli različnih oblik in velikosti, katerih nastanek povezujemo s točkastim vertikalnim odnašanjem kamnine v podzemlje, bodisi z nenadnimi udori nad jamskimi prostori, bodisi s postopnim odnašanjem kamnine nad aktivnimi jamskimi rovi (Stepišnik, 2001). različnih"
Udornice,so,globeli,,Udornice so zaprte centrične globeli na krasu.
kraško polje,sta značilna|je za|bistvena,,,"Za kraška polja sta značilna sklenjen obod nad razmeroma uravnanim obsežnim dnom in kraška hidrologija. Slovenska kraška terminologija (cit. Gams, 2004) opredeljuje, da je za kraško polje bistvena najmanj pol kilometra široka uravnava z višjim obodom."
kraška polja,sta značilna|je za|bistvena,,,"Za kraška polja sta značilna sklenjen obod nad razmeroma uravnanim obsežnim dnom in kraška hidrologija. Slovenska kraška terminologija (cit. Gams, 2004) opredeljuje, da je za kraško polje bistvena najmanj pol kilometra široka uravnava z višjim obodom."
Jama,je,korozijska razpoka,,"Jama je korozijska razpoka s premerom večjim od 5 – 15 milimetrov (Williams, 1989; cv: Hribernik, 2005)."
Jame,so,podzemni kanali,,"Jame so podzemni kanali, ki jih je izoblikovala tekoča voda s procesom korozije."
so,,podzemni kanali,,"Jame so podzemni kanali, ki jih je naredila skozi kras tekoča voda."
Jame,,podzemni kanali,,"Jame so podzemni kanali, ki jih je naredila skozi kras tekoča voda."
brezstropa jama,imenujemo,jame,,Zaključni stadij razvoja jame imenujemo brezstropa jama.
kemična denudacija,imenujemo,Odnašanje raztopljenih karbonatov,,Odnašanje raztopljenih karbonatov globlje v vodonosnik imenujemo kraška ali kemična denudacija.
kraška,imenujemo,Odnašanje raztopljenih karbonatov,,Odnašanje raztopljenih karbonatov globlje v vodonosnik imenujemo kraška ali kemična denudacija.
Jame brez stropa,so,jame,,"Jame brez stropa so stare jame, ki so zaradi znižanja in razčlenjevanja kraškega površja razkrite ali presekane. zaradi znižanja in razčlenjevanja kraškega površja"
Jama brez stropa,je,kraška jama,,"Jama brez stropa je stara kraška jama, ki jo je denudacijsko spuščanje površja razgalilo na površje in lahko vsebuje alohtone ter / ali avtohtone sedimente."
Kal,je,kotanja,,"Kal je plitva kotanja na kraških tleh, kjer se zaradi nepropustnega dna in pobočij zbira deževnica. zaradi nepropustnega dna in pobočij"
Speleogeneza,je,,,Speleogeneza je razlaga izvora in nastanka jam.
vrtača,je pomenila,manjšo globel,,"Beseda vrtača je bila nekdaj domnevno živa slovenska ljudska beseda, ki je pomenila manjšo globel."
Sufozija,je,proces,,Sufozija je proces spiranja gradiva izpod ruše ali krovnih usedlin s pomočjo tekoče vode.
Kras,je,ozemlje,podzemeljske oblike|površinske,"Kras je ozemlje, kjer vlada zaradi poklinske prepustnosti kamnine podzemeljsko, kraško, pretakanje vode, učinkovito kemično raztapljanje kamnin in kjer so lahko razvite tudi značilne površinske in podzemeljske oblike."
Viskogorski kras,imenuje,kras,,"Viskogorski kras imenuje kras nad gozdno mejo, ki je širši kot izraza nivalni ali glacialni kras, ki pomenita samo kraško površje, ki ga je izoblikoval sneg oziroma ledenik."
Kontaktni kras,je,tip oblikovanosti in delovanja površja,,"Kontaktni kras je poseben tip oblikovanosti in delovanja površja, ki je na območjih, kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno."
Morfogeneza reliktnih vršajev,,,,Morfogeneza reliktnih vršajev je posledica popolne ali delne prekinitve dotoka vodnih tokov in nanašanja flišne naplavine na območje vršajev.
psevdovršaji,imenuje,Vršaje,,"Vršaje na krasu, ki nimajo aktivnega procesa sedimentacije rečnih nanosov, imenuje psevdovršaji."
parageneze,,,,Vzrok parageneze je zasipavanje dna rova s sedimenti in iztiskanje toka ter s tem tudi korozijskega procesa pod strop rova.
uvale,so,kraških globeli,,"Naslednja večja skupina kraških globeli so uvale, bodisi dolaste ali vrtačaste, ki po stari Cvijićevi (1918) opredelitvi tvorijo v genetskem pogledu prehod od vrtač h kraškim poljem kot najvišjo obliko razvoja kraških globeli."
Kontaktni kras,je,tip oblikovanosti in delovanja površja,,"Kontaktni kras je poseben tip oblikovanosti in delovanja površja, ki je na območjih, kjer vode pritekajo iz fluvialnega geomorfnega sistema v kraškega ali obratno."
psevdovršaji,imenuje,Vršaje,,"Vršaje na krasu, ki nimajo aktivnega procesa sedimentacije rečnih nanosov, imenuje psevdovršaji."
Vrtača,je,depresijska oblika,,"Vrtača je depresijska oblika, navadno globoka več metrov in je bolj široka kot globoka."
korozija,imenujemo,Kemično preperevanje,,Kemično preperevanje oziroma raztapljanje kraških kamnin imenujemo korozija.
korozije,,,,"Posledica korozije je prevotljenost podzemlja z jamami, na površju pa se oblikujejo različne površinske oblike, za katere je pomembna kombinacija dobro topnih kamnin, njihova razpokanost in zadostna količina meteorne vode."
korozijsko uravnavanje,imenujemo,Proces,,"Proces, ki povzroča nastanek uravnav, imenujemo korozijsko uravnavanje (ang. corrosional planation) ter vključuje kombinacijo vertikalnega raztapljanja s padavinami, bočne korozije morfološko vzpetih delov, korozije pod naplavino ter zadenjske rečne erozije."
Reliktni vršaji,so,oblike kontaktnega krasa,,"Reliktni vršaji so značilne oblike kontaktnega krasa, ki nastanejo s postopno denudacijo flišne naplavine in kemično denudacijo karbonatne podlage na območjih vršajev."
Oblika udornic,,,,"Oblika udornic je rezultat ravnovesja med različnimi procesi v udornici, ki oblikujejo udornice v dinamičnem kraškem površju."
vrtače,so,reliefne oblika,,Najpogostejše reliefne oblika na območju so vrtače.
kraške krnice,imenujemo,Ledeniške krnice,,"Ledeniške krnice, ki so dodatno poglobljene zaradi zakrasevanja, imenujemo kraške krnice."
Kraška krnica,je,reliefna oblika,,"Kraška krnica je značilna reliefna oblika za Južne Alpe in Dinarsko gorstvo, kjer jo na južnem delu Dinarskega gorstva krajevno imenujejo do, na severnem delu pa navadno konta."
udornice,,,,"Nastanek in razporeditev večjih globeli, ki jih slovenska strokovna literatura prav tako imenuje udornice, sta vezana na specifične hidrološke procese na območjih koncentriranih podzemskih tokov, nihanja piezometričnega nivoja v podzemlju, na večjo agresivnost ali erozivnost vodnih tokov ali kombinacije teh dejavnikov."
Preoblikovanje udornic,,,,Preoblikovanje udornic je rezultat součinkovanja mnogih geomorfnih procesov.
poroznost,,Delež praznega prostora,,poroznost - Delež praznega prostora v določeni prostomini kamnine. v določeni prostomini kamnine
porušena cona,,Območje,,"porušena cona - Območje tektonsko pretrtih kamnin, največkrat med dvema prelomoma ter na zunanji strani zdrobljene cone."
pospešena korozija,,korozija,,"pospešena korozija - Krajevno učinkovitejša korozija, katere učinki se pokažejo kot izrazite površinske ali podzemske reliefue oblike."
preboj,,Trenutek,,"preboj - Trenutek, ko vzdolž celotne sekvence od ponora do izvira laminarni tok preide v turbulentnega."
prebojni čas,,,,prebojni čas - Čas med začetjem in prebojem.
prevajanje,,speleogenetska faza,,prevajanje - speleogenetska faza ko je paragenetski prag prekoračen.
prežeta cona,,Območje speleogenetskega prostora,,prežeta cona - Območje speleogenetskega prostora pod gladino podtalnice. Prevaja s soseščine doteklo freatično vodo in zbira krajevne dotoke padavinske vode skozi neprežeto cono.
