TERM,CATEGORY
kraško pokrajino,C. Geome
fosilni kras,C. Geome
Kras,C. Geome
paleokras,C. Geome
morski požiralniki,A.3 Hydrological form
morski mlini,A.3 Hydrological form
morska voda,D.1 Abiotic
požiralnik,A.3 Hydrological form
obali,D.1 Abiotic
Ravnovesna meja,D.3 Property
masna bilanca,D.3 Property
nadmorski višini,D.3 Property
meja,D.3 Property
ledeniku,D.1 Abiotic
akumulacija,B.3 Addition
ablacija,B.2 Loss
model stopinjskih dni,E.2 Method
metoda,E.2 Method
količino,D.3 Property
akumulacije,B.3 Addition
ledenikov,D.1 Abiotic
podzemnih prostorov,A.2 Underground landform
kukavo,A.1 Surface landform
udornice,A.1 Surface landform
koliševk,A.1 Surface landform
Topografske razvodnice,D.1 Abiotic
poligonalen vzorec,D.3 Property
poligonalni kras,C. Geome
vrtač,A.1 Surface landform
kras,C. Geome
Nagnjenost gladine vode,D.3 Property
hidravlični gradient,D.3 Property
hidravličnega potenciala,D.3 Property
hidravličnega potenciala,D.3 Property
vektor,D.3 Property
kraško polje,A.1 Surface landform
kraškem reliefu,C. Geome
depresijo,D.1 Abiotic
jamske paleolitske postaje,A.2 Underground landform
Jame,A.2 Underground landform
Zatrpano brezno,A.2 Underground landform
klastičnimi sedimenti,D.1 Abiotic
brezno,A.2 Underground landform
gruščem,D.1 Abiotic
prodom,D.1 Abiotic
ilovico,D.1 Abiotic
Vršaje,A.1 Surface landform
krasu,C. Geome
sedimentacije,B.3 Addition
psevdovršaji,A.1 Surface landform
kemična denudacija,B.4 Transformation
uravnotežena pobočja,A.1 Surface landform
Območja,D.1 Abiotic
ravnovesje,D.3 Property
sil,D.3 Property
delujejo,B. Process
Ravnovesna meja ( RM ) ledenikov,D.3 Property
nadmorska višina,D.3 Property
ledenikih,D.1 Abiotic
akumulacija,B.3 Addition
ablaciji,B.2 Loss
strukturo Zemljine notranjosti,D.3 Property
Morfostrukturna analiza,E.2 Method
pristopov,E.2 Method
reliefom,D.1 Abiotic
jamska postaja,A.2 Underground landform
jamsko nahajališce,A.2 Underground landform
predzgodovinskega človeka,D.2 Biotic
Jama,A.2 Underground landform
jamski človek,D.2 Biotic
jame,A.2 Underground landform
pribežališce,D.1 Abiotic
bivališce,D.1 Abiotic
jamski biser,A.2 Underground landform
kapljajoča voda,D.1 Abiotic
pizolit,A.2 Underground landform
kamen,D.1 Abiotic
sige,D.1 Abiotic
jamski kataster,E.1 Instrument
kraških jam,A.2 Underground landform
seznam,E.1 Instrument
jamski načrt,E.1 Instrument
meritev,B. Process
Jamski podor,B.1 Movement
jamski steni,D.1 Abiotic
Podor,B.1 Movement
skalovja,D.1 Abiotic
stropu,D.1 Abiotic
končni podor,B.1 Movement
Podor,B.1 Movement
jame,A.2 Underground landform
prehod,D.1 Abiotic
jamski udor,B.1 Movement
jamski prostor,A.2 Underground landform
Udor,B.1 Movement
površje,D.1 Abiotic
jamski rov,A.2 Underground landform
jame,A.2 Underground landform
jamski sediment,D.1 Abiotic
Sediment,D.1 Abiotic
jami,A.2 Underground landform
jamski sistem,A.2 Underground landform
jamsko okno,A.2 Underground landform
jamskem stropu,A.2 Underground landform
Odprtina,D.1 Abiotic
rdeca zemlja,D.1 Abiotic
terra rossa,D.1 Abiotic
mediteranski kras,C. Geome
jerina,D.1 Abiotic
zemlja,D.1 Abiotic
karbonatov,D.1 Abiotic
submediteranski,C. Geome
vodna kotanja,D.1 Abiotic
kal,A.3 Hydrological form
vrtača,A.1 Surface landform
kalcijev karbonat CaCO3,D.1 Abiotic
kalcit,D.1 Abiotic
Mineral,D.1 Abiotic
apnenca,D.1 Abiotic
trdnih snovi,D.1 Abiotic
rastlinskih ostankih,D.2 Biotic
kalcijevim karbonatom,D.1 Abiotic
kalcijevim karbonatom,D.1 Abiotic
kalcifikacija,B.4 Transformation
živalskih,D.2 Biotic
kalcitna žila,A.2 Underground landform
rekristaliziranega apnenca,D.1 Abiotic
jamske stene,A.2 Underground landform
kalcitno rebro,A.2 Underground landform
kalcitna pola,A.2 Underground landform
plast,D.1 Abiotic
stropa,A.2 Underground landform
jamskem stropu,A.2 Underground landform
kamin,A.2 Underground landform
Odprtina,D.1 Abiotic
jamski rov,A.2 Underground landform
freatični coni,C. Geome
kanal,A.2 Underground landform
kapelica,A.2 Underground landform
niša,A.2 Underground landform
votlinica,D.1 Abiotic
karbonatna kamnina,D.1 Abiotic
ogljikove kisline,D.1 Abiotic
Dinarskem krasu,C. Geome
karbonatni kras,C. Geome
Dinarskem krasu,D.3.1 Geolocation
Usedlina,D.1 Abiotic
apnenec,D.1 Abiotic
dolomit,D.1 Abiotic
kaverna,A.2 Underground landform
kevderc,A.2 Underground landform
jamo,A.2 Underground landform
votlina,D.1 Abiotic
klastičnih kamninah,D.1 Abiotic
Klastokras,C. Geome
Kras,C. Geome
konglomeratu,D.1 Abiotic
pesku,D.1 Abiotic
peščenjaku,D.1 Abiotic
udornega postanka,B.1 Movement
koliševka,A.1 Surface landform
koleševka,A.1 Surface landform
kotanja,D.1 Abiotic
fosilnega krasa,C. Geome
terciarni dobi,D.3 Property
kolks,A.1 Surface landform
kovk,A.1 Surface landform
vzpetina,D.1 Abiotic
kondenzacijska voda,A.3 Hydrological form
jamskih stenah,A.2 Underground landform
Voda,D.1 Abiotic
kondenzacije,B.4 Transformation
stropu,A.2 Underground landform
konta,A.1 Surface landform
Uvala,A.1 Surface landform
Širjenje votline,B.4 Transformation
konvakuacijska votlina,A.2 Underground landform
Konvakuacija,B.4 Transformation
ogljikovo kislino,D.1 Abiotic
korozija,B.2 Loss
raztapljanje,B.2 Loss
vode,D.1 Abiotic
odnašanje,B.2 Loss
dolasta uvala,A.1 Surface landform
vdolbina,D.1 Abiotic
vrtačasta uvala,A.1 Surface landform
vrtače,A.1 Surface landform
viseča suha dolina,A.1 Surface landform
suha dolina,A.1 Surface landform
krasu,C. Geome
pobočju,D.1 Abiotic
vetrnica,A.2 Underground landform
Jama,A.2 Underground landform
tropskega krasa,C. Geome
kraških polj,A.1 Surface landform
Vorfluter,D.3 Property
Vorfluterniveau,D.3 Property
Nivo,D.3 Property
kraškem podzemlju,C. Geome
votlikavost,D.3 Property
kavernoznost,D.3 Property
Delež,D.3 Property
votline,D.1 Abiotic
votlina,D.1 Abiotic
podzemeljski prostor,D.1 Abiotic
votlina,D.1 Abiotic
Beli Krajini,D.3.1 Geolocation
vrtrača,A.1 Surface landform
Sloveniji,D.3.1 Geolocation
dolina,D.1 Abiotic
skledasta vrtača,A.1 Surface landform
lijakasta vrtača,A.1 Surface landform
dna,D.1 Abiotic
pobočja,D.1 Abiotic
kotlasta vrtača,A.1 Surface landform
stene,D.1 Abiotic
dno,D.1 Abiotic
vodnjakasta vrtača,A.1 Surface landform
vrtača,A.1 Surface landform
stenami,D.1 Abiotic
aluvialna vrtača,A.1 Surface landform
Vrtača,A.1 Surface landform
skalna vrtača,A.1 Surface landform
Vrtača,A.1 Surface landform
dno,D.1 Abiotic
pobočje,D.1 Abiotic
srednejevropski kras,D.3.1 Geolocation
kras Jure,D.3.1 Geolocation
moravski tip,C. Geome
suhimi dolinami,A.1 Surface landform
Kras,C. Geome
reliefu,D.1 Abiotic
površju,D.1 Abiotic
mediteranski kras,C. Geome
sredozemski kras,C. Geome
sredozemske klime,D.3 Property
kras,C. Geome
Sredozemlju,D.3.1 Geolocation
kras,C. Geome
subnivalni kras,C. Geome
subarktičnem pasu,C. Geome
nivalnim krasom,C. Geome
gozdnati pas,C. Geome
glacialnih dobah,D.1 Abiotic
nivalni kras,C. Geome
Kras,C. Geome
višinskem,C. Geome
sneg,D.1 Abiotic
skopni,B.2 Loss
poletje,D.1 Abiotic
pas,D.1 Abiotic
subpolarni ( subarktični ) klimi,D.3 Property
subpolarni kras,C. Geome
subarktični kras,C. Geome
Kras,C. Geome
tropski kras,C. Geome
tropski klimi,C. Geome
Kras,C. Geome
Kegelkarst,C. Geome
vzpetine,D.1 Abiotic
stogi,D.1 Abiotic
stolpi,D.1 Abiotic
goli kras,C. Geome
goli kras,C. Geome
Kras,C. Geome
površje,D.1 Abiotic
ozemlje,D.1 Abiotic
zelenja,D.2 Biotic
ozemlje,D.1 Abiotic
zelenja,D.2 Biotic
pokriti kras,C. Geome
Kras,C. Geome
površje,D.1 Abiotic
zemlja,D.1 Abiotic
preperelina,D.1 Abiotic
polgoli kras,C. Geome
polpokriti kras,C. Geome
kraške površine,D.1 Abiotic
pokritim krasom,C. Geome
Kras,C. Geome
gole,D.1 Abiotic
golim,C. Geome
laštasti kras,C. Geome
visokogorskega krasa,C. Geome
golega,C. Geome
lašti,A.1 Surface landform
čokati kras,C. Geome
Polpokriti kras,C. Geome
površje,D.1 Abiotic
kamni,D.1 Abiotic
kozavi kras,C. Geome
Kras,C. Geome
vrtačami,A.1 Surface landform
poligonalni kras,C. Geome
kraške kotanje,A.1 Surface landform
tropskem krasu,C. Geome
Kras,C. Geome
zraščanjem,B.1 Movement
vrtač,A.1 Surface landform
prepok,D.1 Abiotic
fluvialni proces,B.4 Transformation
kraških polj,A.1 Surface landform
kraška polja,A.1 Surface landform
suhe doline,A.1 Surface landform
Notranjskega podolja,D.3.1 Geolocation
Fluviokras,C. Geome
Kras,C. Geome
površje,D.1 Abiotic
erozija,B.2 Loss
denudacija,B.2 Loss
korozija,B.2 Loss
kras,C. Geome
podolijl,A.1 Surface landform
Kras,C. Geome
podolja,A.1 Surface landform
površja,D.1 Abiotic
rebrasti kras,C. Geome
Polgoli kras,C. Geome
površje,D.1 Abiotic
kamni,D.1 Abiotic
skladov,D.1 Abiotic
stolpasti kras,C. Geome
tropskega krasa,C. Geome
vzpetinami,D.1 Abiotic
stolpom,D.1 Abiotic
piramidam,D.1 Abiotic
Skalni previs,D.1 Abiotic
abri,A.1 Surface landform
človek,D.2 Biotic
Poljama,A.1 Surface landform
spodmol,A.1 Surface landform
previs,D.1 Abiotic
agresivna voda,D.1 Abiotic
Voda,D.1 Abiotic
raztapljati,B.2 Loss
kamnino,D.1 Abiotic
korodirati,B.2 Loss
alogena voda,D.1 Abiotic
kraško površje,C. Geome
Voda,D.1 Abiotic
podzemlje,C. Geome
Sedimentna kamnina,D.1 Abiotic
kalcijevega karbonata,D.1 Abiotic
magnezijevega karbonata,D.1 Abiotic
dolomitizirani apnenec,D.1 Abiotic
apneniški dolomit,D.1 Abiotic
apnenec,D.1 Abiotic
apnenec,D.1 Abiotic
zrnavosti,D.3 Property
drobnozrnati,D.1 Abiotic
mikriti,D.1 Abiotic
debelozrnati,D.1 Abiotic
spariti,D.1 Abiotic
kamnina,D.1 Abiotic
antropospeleologija,E.2 Method
Veda,E.2 Method
človekom,D.2 Biotic
jamo,A.2 Underground landform
veda,E.2 Method
pračloveku,D.2 Biotic
Kalcijev karbonat,D.1 Abiotic
aragonit,D.1 Abiotic
kalcit,D.1 Abiotic
kristalizira,B.4 Transformation
stroncija,D.1 Abiotic
jamah,A.2 Underground landform
kristalov,D.1 Abiotic
artefakt,D.1 Abiotic
orodja,D.1 Abiotic
kamna,D.1 Abiotic
kosti,D.1 Abiotic
"kemičnimi , biološkimi in fizikalnimi sredstvi",E.1 Instrument
barvanje kraške vode,E.2 Method
sledenje,E.2 Method
Določevanje,E.2 Method
vode,D.1 Abiotic
obarvanje,E.2 Method
iztok,D.1 Abiotic
določevanje,E.2 Method
živih bitjih,D.2 Biotic
biospeleologija,E.2 Method
Znanost,E.2 Method
jamah,A.2 Underground landform
podzemlju,C. Geome
aluminijevih hidroksidov,D.1 Abiotic
boksit,D.1 Abiotic
Usedlina,D.1 Abiotic
ruda,D.1 Abiotic
preperevanja,B.2 Loss
apnenca,D.1 Abiotic
tropski,D.1 Abiotic
klimi,D.3 Property
brezno,A.2 Underground landform
votlina,D.1 Abiotic
Slovenije,D.3.1 Geolocation
jama,A.2 Underground landform
ponorno brezno,A.2 Underground landform
požiralno brezno,A.2 Underground landform
Brezno,A.2 Underground landform
voda,D.1 Abiotic
izvirno brezno,A.3 Hydrological form
voda,D.1 Abiotic
vodokazno brezno,A.2 Underground landform
vodna gladina,D.3 Property
kraške vode,D.1 Abiotic
Brezno,A.2 Underground landform
gladina,D.3 Property
vode,D.1 Abiotic
lijakasto brezno,A.2 Underground landform
lijaku,D.1 Abiotic
injekcijska zavesa,E.2 Method
kraškem podzemlju,C. Geome
kraških poljih,A.1 Surface landform
jamskih podorov,B.1 Movement
rušenja skalovja,B.1 Movement
skladovnem odlomu,B.4 Transformation
blokovni odlom,B.4 Transformation
Inkazija,B.4 Transformation
Preoblikovanje,B.4 Transformation
podzemeljska votlina,D.1 Abiotic
kraška jama,A.2 Underground landform
jama,A.2 Underground landform
vodna jama,A.2 Underground landform
vodni tok,D.1 Abiotic
Jama,A.2 Underground landform
suha jama,A.2 Underground landform
Jama,A.2 Underground landform
izvirna jama,A.2 Underground landform
Jama,A.2 Underground landform
potok,D.1 Abiotic
reka,D.1 Abiotic
morska jama,A.2 Underground landform
abrazijska jama,A.2 Underground landform
morske gladine,D.3 Property
morska voda,D.1 Abiotic
Modra špilja,D.3.1 Geolocation
Grotta azzurra,D.3.1 Geolocation
obali,D.1 Abiotic
abrazije,B.2 Loss
snežna jama,A.2 Underground landform
strmim pobočjem,D.1 Abiotic
Jama,A.2 Underground landform
sneg,D.1 Abiotic
plazilci,D.2 Biotic
ledena jama,A.2 Underground landform
ledene gmote,D.1 Abiotic
ledenica,A.2 Underground landform
Jama,A.2 Underground landform
kristalna jama,A.2 Underground landform
sigova tvorba,A.2 Underground landform
Jama,A.2 Underground landform
kristali,D.1 Abiotic
kapniška jama,A.2 Underground landform
Jama,A.2 Underground landform
kapniki,A.2 Underground landform
aragonitna jama,A.2 Underground landform
Jama,A.2 Underground landform
kapniki,A.2 Underground landform
ježki,A.2 Underground landform
aragonita,D.1 Abiotic
erozijska jama,A.2 Underground landform
tekoče vode,D.1 Abiotic
Jama,A.2 Underground landform
erozijo,B.2 Loss
korozijska jama,A.2 Underground landform
korozijskim procesom,B.4 Transformation
mrtva jama,A.2 Underground landform
akumulacijski procesi,B.3 Addition
Jama,A.2 Underground landform
evakuacijski,B.2 Loss
Udornice,A.1 Surface landform
podiranjem,B.1 Movement
jamah,A.2 Underground landform
kraške globeli,A.1 Surface landform
Udornice,A.1 Surface landform
udori,B.1 Movement
votlinami,D.1 Abiotic
kraške globeli,A.1 Surface landform
Udornice,A.1 Surface landform
udori,B.1 Movement
kraške kotanje,A.1 Surface landform
Udornice,A.1 Surface landform
rušenja,B.1 Movement
spelogenetskimi procesi,B. Process
Udornice,A.1 Surface landform
podzemnem dogajanju,B. Process
Udornice,A.1 Surface landform
kraške globeli,A.1 Surface landform
jamskimi prostori,D.1 Abiotic
jamskimi rovi,D.1 Abiotic
Udornice,A.1 Surface landform
odnašanjem,B.1 Movement
podzemlje,C. Geome
udori,B.1 Movement
odnašanjem,B.1 Movement
globeli,D.1 Abiotic
Udornice,A.1 Surface landform
kraška polja,A.1 Surface landform
kraška hidrologija,D.3 Property
kraško polje,A.1 Surface landform
obod,D.1 Abiotic
uravnava,D.1 Abiotic
razpoka,D.1 Abiotic
Jama,A.2 Underground landform
kanali,D.1 Abiotic
tekoča voda,D.1 Abiotic
procesom korozije,B. Process
Jame,A.2 Underground landform
kanali,D.1 Abiotic
tekoča voda,D.1 Abiotic
Jame,A.2 Underground landform
kras,C. Geome
sekundarno trdno fazo,D.3 Property
trdne faze,D.3 Property
speleofakt,A.2 Underground landform
struktura,D.1 Abiotic
nadomeščanja,B.4 Transformation
tekočo,D.3 Property
tekočo,D.3 Property
speleogeni,A.2 Underground landform
speleotemi,A.2 Underground landform
matične kamnine,D.1 Abiotic
Kraška votlina,A.2 Underground landform
speleogen,A.2 Underground landform
Speleofakt,A.2 Underground landform
odnašanjem,B.2 Loss
procesov,B. Process
speleogenetska faza,D.3 Property
hidrodinamske razmere,D.3 Property
svežnju,A.2 Underground landform
kanalih,A.2 Underground landform
oblikovanje,B.4 Transformation
speleogenetski prostor,C. Geome
kraške votline,A.2 Underground landform
masiva,D.1 Abiotic
speleološki objekt,A.2 Underground landform
kraško votlino,A.2 Underground landform
speleološki objekt,A.2 Underground landform
jamo,A.2 Underground landform
predmet,D.1 Abiotic
speleologije,D.3 Property
trdno fazo,D.3 Property
kraško votlino,A.2 Underground landform
speleotem,A.2 Underground landform
Produkt,D.1 Abiotic
dovaja,B.3 Addition
speleogen,A.2 Underground landform
siga,D.1 Abiotic
tunelski rov,A.2 Underground landform
epifreatični coni,C. Geome
alogenih tokov,D.1 Abiotic
avtigenem okolju,D.1 Abiotic
Rov,A.2 Underground landform
predor,D.1 Abiotic
ponori,A.3 Hydrological form
efekta,D.1 Abiotic
turbulentni tok,D.3 Property
paragenetskega praga,D.1 Abiotic
pretakanja,B.1 Movement
tekočine,D.1 Abiotic
tokovnice,D.1 Abiotic
hitrostih,D.1 Abiotic
kanalih,D.1 Abiotic
preboja,D.1 Abiotic
laminaren tok,D.3 Property
organske snovi,D.1 Abiotic
začetje,D.3 Property
faza,D.3 Property
kanala,D.1 Abiotic
leziki,D.1 Abiotic
skladoma,D.1 Abiotic
pelitov,D.1 Abiotic
pirita,D.1 Abiotic
diageneze,B.4 Transformation
začetni horizont,D.1 Abiotic
oblične ploskve,D.1 Abiotic
Friar's Hole,D.3.1 Geolocation
Ploskev,D.1 Abiotic
skladovnici,D.1 Abiotic
lezike,D.1 Abiotic
jamah,A.2 Underground landform
Škocjanske,D.3.1 Geolocation
Najdena,D.3.1 Geolocation
jamskih kanalov,A.2 Underground landform
zajeda,D.1 Abiotic
polvotlina,A.2 Underground landform
steni,D.1 Abiotic
zbirni kanali,D.1 Abiotic
neprežete cone,C. Geome
Kanali,A.2 Underground landform
vodo,D.1 Abiotic
curke,D.1 Abiotic
oblikujejo,B.4 Transformation
kamine,D.1 Abiotic
epikrasom,C. Geome
spužvasti,D.3 Property
anastomozni,D.3 Property
zgodnjediagenetski kras,C. Geome
sparitni kalcit,D.1 Abiotic
morskih grebenih,D.1 Abiotic
Zgodnjediagenetski kras,C. Geome
glineni material,D.1 Abiotic
apnenca,D.1 Abiotic
Votline,A.2 Underground landform
material,D.1 Abiotic
blato,D.1 Abiotic
korozijo,B.4 Transformation
Kras,C. Geome
breče,D.1 Abiotic
porušenjem,B.1 Movement
jam,A.2 Underground landform
raztapljanjem,B.4 Transformation
leče,D.1 Abiotic
haloklinale,D.1 Abiotic
diageneze,B.4 Transformation
atolih,D.1 Abiotic
grebenih,D.1 Abiotic
Zogovičev efekt,D.3 Property
dolomita,D.1 Abiotic
kamnine,D.1 Abiotic
raztaplja,B.2 Loss
dolomitizacije,B.4 Transformation
apnenca,D.1 Abiotic
neodpornosti,D.3 Property
gobasti balvani,A.1 Surface landform
kraške mize,A.1 Surface landform
apneniško podlago,D.1 Abiotic
ledeni dobi,D.3 Property
zaščitili,D.3 Property
dežjem,D.1 Abiotic
korozijo,B.4 Transformation
Jame,A.2 Underground landform
bivališča,D.1 Abiotic
votline,A.2 Underground landform
lisičina,A.2 Underground landform
brlog,A.2 Underground landform
rupa,A.2 Underground landform
luknja,A.2 Underground landform
kevderc,A.2 Underground landform
frlinka,A.2 Underground landform
jazbina,A.2 Underground landform
polšna,A.2 Underground landform
kamra,A.2 Underground landform
skedenj,A.2 Underground landform
jama,A.2 Underground landform
votlino,A.2 Underground landform
lijakastemu breznu,A.2 Underground landform
zvonasto brezno,A.2 Underground landform
lijakasto kotanjo,D.1 Abiotic
vrtačo,A.1 Surface landform
kotlasto,D.1 Abiotic
apnencu,D.1 Abiotic
širine,D.3 Property
globino,D.3 Property
Umetno mlako,D.1 Abiotic
kal,D.1 Abiotic
lokev,D.1 Abiotic
lokva,D.1 Abiotic
epifreatične cone,C. Geome
piezometrična gladina,D.3 Property
gladina vode,D.3 Property
vode,D.1 Abiotic
epifreatična cona,C. Geome
kraškim geomorfnim sistemom,C. Geome
Kontaktni kras,C. Geome
fluvialnim,C. Geome
vodoravne jame,A.2 Underground landform
parageneze,B. Process
jame,A.2 Underground landform
Siga,A.2 Underground landform
usedlina,D.1 Abiotic
kalcijevega karbonata,D.1 Abiotic
Ponvice,A.2 Underground landform
pregrade,D.1 Abiotic
radioaktivni žlahtni plin,D.1 Abiotic
žlahtni plin,D.1 Abiotic
Radon,D.1 Abiotic
vonja,D.3 Property
barve,D.3 Property
Speleogeneza,B. Process
nastajanja,B.3 Addition
razvoja,B.4 Transformation
izginjanja,B.2 Loss
jam,A.2 Underground landform
glavni rov,A.2 Underground landform
jamskega sistema,A.2 Underground landform
Rov,A.2 Underground landform
slepi rov,A.2 Underground landform
Rov,A.2 Underground landform
stranski rov,A.2 Underground landform
glavnega rova,A.2 Underground landform
Rov,A.2 Underground landform
dvorane,A.2 Underground landform
zvezni rov,A.2 Underground landform
Rov,A.2 Underground landform
votlin,A.2 Underground landform
eforacijski rov,A.2 Underground landform
Jamski rov,A.2 Underground landform
pretokom vode,B.1 Movement
gravitacijski rov,A.2 Underground landform
Jamski rov,A.2 Underground landform
pretokom vode,B.1 Movement
gravitacijskim tokom,B.1 Movement
požiralnike,A.3 Hydrological form
brezvodni kalcijev sulfat - anhidrit,D.1 Abiotic
kalcijev hidrosulfat,D.1 Abiotic
gipsni kras,C. Geome
sadra,D.1 Abiotic
sadreni,C. Geome
kraškem površju,C. Geome
samotar,A.1 Surface landform
skala,D.1 Abiotic
jami,A.2 Underground landform
obdobni sifon,A.3 Hydrological form
kolenast sifon,A.3 Hydrological form
pritočni sifon,A.3 Hydrological form
sifon,A.3 Hydrological form
vodo,D.1 Abiotic
trajni,A.3 Hydrological form
odtočni,A.3 Hydrological form
sifonsko jezero,A.3 Hydrological form
kotanja,D.1 Abiotic
sifonski zapirac,A.2 Underground landform
sifon,A.3 Hydrological form
kalcijevega karbonata,D.1 Abiotic
siga,D.1 Abiotic
Odkladnina,B.3 Addition
vode,D.1 Abiotic
sigova tvorba,A.2 Underground landform
Jamski sediment,D.1 Abiotic
sige,D.1 Abiotic
kalcitni mehur,A.2 Underground landform
vodi,D.1 Abiotic
jamsko brezno,A.2 Underground landform
jami,A.2 Underground landform
zvezno brezno,A.2 Underground landform
jame,A.2 Underground landform
vode,D.1 Abiotic
krasu,C. Geome
vodnjak,D.1 Abiotic
stenami,D.1 Abiotic
dnom,D.1 Abiotic
strehe,D.1 Abiotic
kapnica,D.1 Abiotic
črvičaste tvorbe,A.2 Underground landform
hieroglifi,A.2 Underground landform
proge,D.1 Abiotic
lise,D.1 Abiotic
pege,D.1 Abiotic
ekskrementom,D.1 Abiotic
stenah,D.1 Abiotic
stropu,D.1 Abiotic
egutacija,B. Process
kapljajoče,B.1 Movement
vode,D.1 Abiotic
jamah,A.2 Underground landform
dolbenje,B.2 Loss
kapnice,D.1 Abiotic
sigo,D.1 Abiotic
skalo,D.1 Abiotic
strop,D.1 Abiotic
dekalcifikacija,B.2 Loss
Odstranjevanje,B.2 Loss
izluževanje,B.2 Loss
izpiranje,B.2 Loss
kalcija,D.1 Abiotic
odstranjevanje,B.2 Loss
kalcija,D.1 Abiotic
predmeta,D.1 Abiotic
prsti,D.1 Abiotic
delana škavna,A.1 Surface landform
Krasu,D.3.1 Geolocation
škavno,A.1 Surface landform
škavnico,A.1 Surface landform
vodo,D.1 Abiotic
drobnice,D.2 Biotic
ovac,D.2 Biotic
škavnica,A.1 Surface landform
Diaklaza,D.1 Abiotic
Razpoka,D.1 Abiotic
kamnine,D.1 Abiotic
kraškega podzemlja,C. Geome
dihalnik,A.1 Surface landform
odprtina,D.1 Abiotic
brezna,A.2 Underground landform
zrak,D.1 Abiotic
luknja,D.1 Abiotic
podzemlja,C. Geome
Dimnica,A.2 Underground landform
Jama,A.2 Underground landform
meglo,D.1 Abiotic
zraka,D.1 Abiotic
dimnik,A.2 Underground landform
rov,D.1 Abiotic
stropu,D.1 Abiotic
površjem,D.1 Abiotic
dinamična jama,A.2 Underground landform
klimodinamična jama,A.2 Underground landform
zunanjim zrakom,D.1 Abiotic
Jama,A.2 Underground landform
vhoda,D.1 Abiotic
zrakom,D.1 Abiotic
suha dolinica,A.1 Surface landform
dolomitiziranih apnencih,D.1 Abiotic
Dolek,A.1 Surface landform
strmine,D.1 Abiotic
pobočju,D.1 Abiotic
dolomitih,D.1 Abiotic
magnezijev karbonat ( MgCO3 ),D.1 Abiotic
kalcijevega karbonata,D.1 Abiotic
apneniški dolomit,D.1 Abiotic
dolomitski apnenec,D.1 Abiotic
magnezijev karbonat,D.1 Abiotic
dolomit,D.1 Abiotic
Usedlina,D.1 Abiotic
kalcita,D.1 Abiotic
krušljivosti,D.3 Property
grintovec,D.1 Abiotic
magnezijevega,D.1 Abiotic
dolomit,D.1 Abiotic
Dinarskem krasu,D.3.1 Geolocation
suho dolino,A.1 Surface landform
kraško polje,A.1 Surface landform
suha dolina,A.1 Surface landform
kraško polje,A.1 Surface landform
dol,A.1 Surface landform
vdolbine,D.1 Abiotic
kraška dolina,A.1 Surface landform
dolina,A.1 Surface landform
vrtačo,A.1 Surface landform
prenikajoča voda,A.3 Hydrological form
pronicajoča voda,A.3 Hydrological form
aeracijski coni,C. Geome
skalne gmote,D.1 Abiotic
jamskega stropa,A.2 Underground landform
vodni curek,A.3 Hydrological form
globinskih žil,A.3 Hydrological form
voda,D.1 Abiotic
kapnica,A.3 Hydrological form
aeracijski ( vadozni ) coni,C. Geome
viseča voda,A.3 Hydrological form
navzdolžnega prenikanja,B.1 Movement
vododržni vložek,D.1 Abiotic
voda,D.1 Abiotic
kotanjah,A.2 Underground landform
upadu,B.2 Loss
prenikanja,B.1 Movement
piezometrični nivo,D.3 Property
vodna gladina,D.1 Abiotic
kraškem podzemlju,C. Geome
veznih posod,A.2 Underground landform
piezometer,D.3 Property
ploskev,D.1 Abiotic
gladina kraške vode,D.3 Property
kraška voda,D.1 Abiotic
slepih kanalih,A.3 Hydrological form
Piezometrični nivo,D.3 Property
nivo,D.3 Property
pretaka,B.1 Movement
izvirom,D.1 Abiotic
stoji,B. Process
oscilirata,B.1 Movement
vodostaja,D.3 Property
Območje osciliranja,C. Geome
vlažna cona,A.3 Hydrological form
gravitacijski vodni tok,A.3 Hydrological form
gravitacijska voda,A.3 Hydrological form
vodni tok,D.1 Abiotic
kraškem podzemlju,C. Geome
pretaka,B.1 Movement
gravitacijsko,D.3 Property
kanalih,A.2 Underground landform
freatična cona,C. Geome
hidrografska cona,C. Geome
tlačno pretakanje,B.1 Movement
voda,D.1 Abiotic
zapolnjuje,B.3 Addition
votline,A.2 Underground landform
freatična voda,A.3 Hydrological form
Kraška voda,D.1 Abiotic
freatični coni,C. Geome
piezometričnim nivojem,D.3 Property
Zapolnjuje,B.3 Addition
votline,A.2 Underground landform
ujeta voda,A.3 Hydrological form
freatični coni,C. Geome
Voda,D.1 Abiotic
kanalih,A.2 Underground landform
zajezena kraška voda,A.3 Hydrological form
globoki freatični coni,A.3 Hydrological form
kraška voda,D.1 Abiotic
piezometričnim nivojem,D.3 Property
vodoneprepustne kamnine,D.1 Abiotic
zapolnjuje,B.3 Addition
votline,A.2 Underground landform
podzemeljski vodni tok,A.3 Hydrological form
hidrogeološki izolator,D.1 Abiotic
Neprepustna kamnina,D.1 Abiotic
kraškem ozemlju,C. Geome
vložka,D.1 Abiotic
razdvaja,B. Process
zajezuje,B. Process
hladna jama,A.2 Underground landform
žepaste oblike,D.3 Property
zimski hlad,D.3 Property
Hladnica,A.2 Underground landform
Jama,A.2 Underground landform
hladna,D.3 Property
jamski rov,A.2 Underground landform
hodnik,A.2 Underground landform
hoja,B. Process
grič na ravnini,D.1 Abiotic
korozijsko-erozijsko-denudacijski ostanek,D.3 Property
višjega reliefa,D.1 Abiotic
