DEFINIENDUM,DEFINITOR,GENUS,SPECIES,SENTENCE
helictite,,speleothem,,"helictite - a speleothem, which at one or more stages of its growth changes its axis from the vertical to give a curving or angular form."
hydrology,,scientific study,,"hydrology - the scientific study of the nature, distribution and behaviour of water."
ice cave,,cave,,ice cave - a cave with perennial ice in it.
inflow cave,,cave,,inflow cave - a cave into which a stream enters or is known to have entered formerly but which cannot be followed downstream to the surface.
karren,,the minor forms of karst,,karren - the minor forms of karst as a result of solution of rock on the surface or underground.
karst,,tereain,,karst - tereain with special landforms and drainage characteristics on account of greater solubility of certain rocks in natural waters than is common.
karst window,,depression,,"karst window - a dosed depression, not a polje, which has a stream flowing across its bottom."
keyhole,,passage or opening,,"keyhole - a small passage or opening in a cave, which is round above and narrow below."
lava-cave,,cave,,"lava-cave - a cave in a lava flow; usually a tube or tunnel formed by flow of liquid lava through a solidified mass, or by roofing of an open channel of flowing lava."
limestone,,sedimentary rock,,limestone - a sedimentary rock consisting mainly of calcium carbonate cac03 •
live cave,,cave,,live cave - a cave containing a stream or active speleothems.marble limestone recrystallized and hardened by pressure and heat.
meander niche,,part of a cave,,meander niche - a hemispherically roofed part of a cave formed by a stream meandering and cutting down at the same time.
moonmilk,,speleothem,,"moonmilk - a soft, white plastic speleothem consisting of calcite, hydrocalcite, hydromagnesite or huntite."
natural arch,,arch of rock,,natural arch - an arch of rock formed by weathering.
natural bridge,,bridge,,natural bridge - a bridge of rock spanning a ravine or valley and formed by erosive agents.
Jelar Breccia,is a,carbonate rock,,"The Jelar Breccia is a massive, thick-bedded carbonate rock, comprised predominantly of angular, poorly sorted debris."
Smaller relief features,are,,collapsed dolines|dry valleys|uvalas|dolines|caves,"Smaller relief features are uvalas, dolines, dry valleys, collapsed dolines, and caves."
Karren,a common term used for,dissolution features,,Karren is a common term used for dissolution features on exposed soluble rock surfaces. rock
rillenkarren,,,,Characteristic form of corrosion is rillenkarren.
Karst poljes,are,depressions,,Karst poljes are the largest flat-floored enclosed depressions in karst.
Uvalas,are,karst depressions,,"Uvalas are large, km-scale closed karst depressions of elongated or irregular plan form."
uvala,is a,depression,,"The word “ uvala ” is a common toponym in the Dinaric karst, always denoting a large depression."
cave roof collapse,is a,process,,The cave roof collapse is a slow process that proceeds by the breaking of the walls and ceiling until equilibrium is established on the slopes of the doline. collapse
Caves,are,karst drainage system,,Caves are active or relict parts of the karst drainage system.
dissolution of rock,is,process,,The dissolution of rock is the decisive process in the formation of karst. dissolution
Shilin,is a type of,pinnacle karst,,Shilin is a type of pinnacle karst formed on a plateau of gently dipping limestone (Knez & Slabe 2002).
Stone forest,refers to a,karst landscape,,"Stone forest refers to a particular karst landscape, composed of a group of densely distributed limestone columns standing on an undulating karst plateau."
travertine,,deposit,,"travertine - compact calcium carbonate deposit, often banded, precipitated from spring, river or lake water. cf. tufa."
tube,,cave passage,,"tube - a cave passage of smooth surface, and elliptical or nearly circular in cross-section."
tufa,,calcium carbonate,,"tufa - spongy or vesicular calcium carbonate deposited from spring, river or lake waters."
twilight zone,,cave,,twilight zone - the part of a cave to which daylight penetrates.
uvala,,depression,,uvala - a complex dosed depression with several lesser depressions within its rim.
vadose zone,,zone,,vadose zone - the zone where voids in the rock are partly filled with air and through which water descends under gravity.
vauclusian spring,,spring,,"vauclusian spring - a spring rising up a deep, steeply inclined, waterfilled passage into a small surface pool."
vermiculation,,,,"vermiculation - pattern of thin, worm-shaped coatings of day or silt on cave surfaces."
water table,,,,"water table - the surface between phreatic water, which completely fills voids in the rock, and ground air, which partially fills higher voids. water"
water tracing,,,,water tracing - determination of water connection between points of stream disappearance or of soil water seepage and points of reappearance on the surface or underground.
well,,hole,,well - a deep rounded hole in a cave floor or on the surface in karst.
active cave,,Cave,,active cave: Cave containing a running stream.
active cave,,Cave,,active cave: Cave in which speleothems are growing. Compare live cave.
aggressive water,,Water,,"aggressive water: Water having the ability to dissolve rocks. In the context of limestone and dolomite, this term refers especially to water containing dissolved carbon dioxide or, rarely, other acids."
anastomosis,,,,"anastomosis: A network of tubular passages or holes in a cave or in a solution - sculptured rock. A complex of many irregular and repeatedly connected passages. Synonym, labryrinth."
anthodite,,cave formation,,"anthodite: A cave formation composed of feathery or radiating masses of long needlelike crystals of gypsum or aragonite, which radiate ortward from a common base. See also cave flower. feathery or radiating long needlelike"
apron,,mass of flowstone,,apron: A smooth bulging mass of flowstone covering sloping projections from walls of caves or limestone cliffs.
aquifer,,ground-water reservoir,,aquifer: A ground-water reservoir. Pervious rock that is completely saturated and will yield water to a well or spring.
aragonite,,mineral,,"aragonite: A mineral composed of calcium carbonate, CaCO2, like calcite but differing in crystal form."
pinnacle karst,,landscape,,"arete and pinnacle karst: A landscape of naked reticulated saw-topped ridges having almost vertical slopes and a relief of as much as 120 meters. The ridges rise above forest-covered corridors and depressions. Found in New Guinea at elevations of 2,000 meters and more."
arete,,landscape,,"arete and pinnacle karst: A landscape of naked reticulated saw-topped ridges having almost vertical slopes and a relief of as much as 120 meters. The ridges rise above forest-covered corridors and depressions. Found in New Guinea at elevations of 2,000 meters and more."
backflooding,,rising water level,,backflooding: Temporarily rising water level in a cave caused downstream passage being too small to pass an abnormally high discharge. The excavation and reexcavation of some caves is ascribed to the enlarger'ent of a passage at or near the water table by gravity flow alternating with periods of calcite precipitation.
bacon,,flowstone,,"bacon: Thin, elongated, translucent flowstone having parallel colored bands on or projecting from roofs and walls of some caves. See also blanket; curtain; drapery."
balcony,,projection on the wall,,balcony: Any projection on the wall of a cave large enough to support one or more persons.
beachrock,,,,beachrock: A friable to indurated rock consisting of sand grains of various minerals cemented by calcium carbonate; occurs in thin beds dipping seaward at less than 15 °. Also known as beach standstone.
bedding-plane cave,,passage,,"bedding-plane cave: A passage formed along a bedding plane, especially when there is a difference in susceptibility to corrosion in the two beds."
blade,,projection,,"blade: In a cave, a thin sharp projection jutting out from roof, wall, or floor, of which it is an integral part; generally the remains of a partition or bridge."
tecto-karstic hollow,is a,closed basin,,A tecto-karstic hollow is a closed basin that developed inside a tectonic depression that also evolved through karst processes.
Poljes,are,closed depressions,,Poljes are the largest closed depressions observed in the karst terrains. largest closed depressions
polje,as a|defined,karst depression,,"In 1895, Cvijic defined a polje as a large karst depression, with a wide, flat and nearly horizontal floor, completely enclosed between steep slopes."
peripheral polje,is a,depression,,A peripheral polje is a depression fed by a large internal area of impermeable rocks with a centrifugal stream network.
base-level polje,is a,polje,,"A base-level polje is a polje with a floor cut entirely across karst rocks and is affected by the vertical oscillations of the water table; consequently, it is inundated during high-level periods."
littoral cave,meaning a,cave,,"The precise scientific name is littoral cave, meaning a cave formed within the range of tides."
Sea caves,are,caves,,Sea caves are caves that form by wave erosion in coastal areas that contain exposed bedrock.
flank margin caves,are,series of oval rooms,,"The flank margin caves are a series of oval rooms from pore size up to large chambers, which tend to be extensive in the horizontal direction, but limited in the vertical direction, a result of developing in the thinning margin of the freshwater lens (Fig."
Blue holes,are defined as,subsurface voids,,"Blue holes are defined as subsurface voids that are developed in carbonate banks and islands; are open to the Earth ’ s surface; contain tidally-influenced waters of fresh, marine, or mixed chemistry; extend below sea level for a majority of their depth; and may provide access to submerged cave passages."
Limonite,is a generic term that refers to,,amorphous forms of iron oxides and hydroxides|mineral,Limonite is a generic term that refers to both mineral and amorphous forms of iron oxides and hydroxides.
sandstone,is a,rock,,The sandstone is a rock made of cemented quartz sand that is very resistant to erosion.
Karst forms,are,karst features,,Karst forms are surface and subsurface karst features formed mainly by solutional processes of carbonate rocks of the region which are extremely well folded and fractured due to tectonic events. solutional processes
Collapse dolines,are,features,,Collapse dolines are common features of the Dinaric karst and are especially numerous above known large caves.
Karst poljes,are,karst depressions,,"Karst poljes are large karst depressions with flat bottoms, which are the result of solutional processes and karst water drainage."
dry valleys,are,Remnants of old river streams,,"Remnants of old river streams are dry valleys, which lack an active watercourse over all or parts of their length for at least part of the year, because water is lost in karst or is in a much lower position."
breccia,,fragments of rock and / or fossils cemented together,,breccia - angular fragments of rock and / or fossils cemented together or with a matrix of finer sediment. of rock
canopy,,speleothem,,canopy - a compound speleothem consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge.
canyon,,valley,,canyon - a deep valley with steep to vertical walls; in karst frequently formed by a river rising on impervious rocks outside the karst area.
canyon,,cavity,,"canyon - a deep, elongated cavity cut by running water in the roof or floor of a cave or forming a cave passage."
cave,,cavity,,"cave - a natural cavity in rock large enough to be entered by man. it may be water-filled. if it becomes full of ice or sediment and is impenetrable, the term applies but will need qualification."
cave blister,,egg-shell calcite,,cave blister - an almost perfect hemisphere of egg-shell calcite.
cave coral,,speleothems,,"cave coral - very small speleothems consisting of short stalks with bulbous ends, usually occurring in numbers in patches."
cave earth,,,,"cave earth - clay, silt, fine sand and / or humus deposited in a cave."
cave ecology,,study,,"cave ecology - the study of the interaction between cave organisms and their environment, e.g., energy input from surface, climatic influences."
cave fill,,materials,,"cave fill - transported materials such as silt, day, sand and gravel which cover the bedrock floor or partially or wholly block some part of a cave."
cave pearl,,speleothem,,"cave pearl - a smooth, polished and rounded speleothem found in shallow hollows into which water drips."
cave spring,,flow of water,,cave spring - a natural flow of water from rock or sediment inside a cave.
cave system,,collection of caves,,cave system - a collection of caves interconnected by enterable passages or linked hydrologically or a cave with an extensive complex of chambers and passages.
cavern,,chamber,,cavern - a very large chamber within a cave.
cenote,,doline,,"cenote - a partly water-tilled, wall-sided doline."
ceiling tube,,tube,,ceiling tube: A half tube remaining in the ceiling of a cave.
cenote,,well,,cenote: Steep-walled natural well that extends below the water tabl?; generally caused by collapse of a cave roof. Term used only for features in Yucatan. See also natural well.
chalk,,limestone,,"chalk: Soft poorly indurated limestone, generally light in color; commonly composed of the tests of floating microorganisms in a matrix of verv finely crystalline calcite."
chamber,,cavity,,chamber: The largest order of cavity in a cave or cave system; it has considerable length and breadth but not necessarily great height.
chasm,,breach,,"chasm: A deep, fairly narrow breach in the earth's surface; an abyss; a gorge; a deep canyon."
chimney,,shaft,,"chimney: A narrow vertical shaft in the roof of a cave, generally smaller than an aven; a dome pit."
chockstone,,rock,,chockstone: A rock wedged between the walls of a cave passage.
choke,,debris,,choke: Rock debris or cave fill completely blocking a passage.
chute,,channel|trough,,chute: An inclined channel or trough in a cave.
clay fill,,clay,,clay fill: Dry or wet clay that fills a cave passage.
clay filling,,time interval,,"clay filling: According to Bretz, time interval between end of phreatic solution of a cave and beginning of deposition of flowstone."
clint,,Slabs,,"clint: Slabs of limestone, parallel to the bedding, forming a pavement. Widened joints, or grikes, isolate individual clints. Synonym, Flachkarren."
Flachkarren,,Slabs,,"clint: Slabs of limestone, parallel to the bedding, forming a pavement. Widened joints, or grikes, isolate individual clints. Synonym, Flachkarren."
closed depression,,topographic basin,,"closed depression: A general term for any enclosed topographic basin having no external drainage, regardless of origin or size. enclosed"
cockpit,,depression,,cockpit: A star-shaped depression having a conical or slightly concave floor. The surrounding hill slopes are steep and convex. Cockpits are the common type of closed depressions in a Kegelkarst.
cockpit karst,,karst topography,,cockpit karst: Tropical karst topography containing many closed depressions surrounded by conical hills. Divided by French and German geographers into several types depending on shape of hills. See also cone karst; Halbkugel - karst; Kegelkarst; Spitzkegelkarst; tower karst.
rill,,groove,,rill: Small solution groove on surface exposures of limestone; most common in arid or semiarid areas.
Rillenstein,,,,Rillenstein: Microsolution grooves and pitting on rock surface.
rimstone,,,,"rimstone: Calcareous deposits formed around the rims of overflowing basins, especially in caves."
rimstone dam,,,,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
rimstone barrier,,,,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
rimstone barrage,,,,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
gour,,,,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
rimstone pool,,Pool,,rimstone pool: Pool kept in place by a rimstone dam.
rise,,Spring,,rise: Spring rising from fractures in limestone. Point at which an underground stream comes to the surface. in limestone
rock pillar,,,,"rock pillar: A residual isolated mass of bedrock linking the roof or overhanging wall and floor of a cave, in contrast with a column, which is composed of dripstone or flowstone. mass of bedrock"
rock pinnacle,,projection of bedrock,,rock pinnacle: A tall sharp projection of bedrock rising from the floor of a cave.
rock shelter,,cave,,"rock shelter: Shallow cave under an overhanging rock ledge. Many sea caves are rock shelters. Also found in limestone and other rock types where streams have undercut their banks at bends, or where there has been abrasion by blowing sand. Common in tropical areas at places where a secondarily hardened layer of limestone forms a ledge that projects over unindurated limestone."
roof crust,,Flowstone,,"roof crust: Flowstone deposited on ceilings of caves from thin films of water, which have crept over the rock from pore or crack sources."
chamber,,cave,,room: A part of a cave system that is wider than a passage. Synonym: chamber.
room,,cave,,room: A part of a cave system that is wider than a passage. Synonym: chamber.
sand stalagmite,,stalagmite,,sand stalagmite: A stalagmite formed on sand and made of calcite cemented sandstone.
scaling chip,,,,"scaling chip: A thin small rather irregular piece of limestone, commonly crumbly, which has fallen from the ceiling or wall of a eave. A form of cave breakdown. limestone"
scaling plate,,piece of rock,,"scaling plate: A small flat piece of rock of rectangular or polygonal shape, that has fallen to the floor of a cave. A form of cave breakdown in thin-tedded impure limestone cut by closely spaced joints."
scallop,,hollow,,"scallop: Oval hollow having an asymmetric cross section along its main axis. Scallops form patterns on tl e walls of caves and in streambeds and were used by Bretz to determine direction of flow of turbulent water, since they are steeper on the upstream side. Commonly called flutes in America."
sea cave,,cave or cleft,,sea cave: A cave or cleft in a sea cliff eroded by waves or currerts or dissolved by water.
struga,,corridor,,struga: A corridor formed along a bedding plane in karst country.
subjacent karst,,Karst landscape,,subjacent karst: Karst landscape in noncarbonate rocks due to presence of karstified rocks beneath the surface formation.
submarine spring,,offshore emergence,,"submarine spring: Large offshore emergence, generally from cavernous limestone, but in some areas from beds of lava."
subsidence,,,,subsidence: Lowering of the surface of the ground because of removal of support. Caused in karst areas by subterranean solution or collapse of caves.
subterranean river,,Underground stream,,"subterranean river: Underground stream of flowing water, not necessarily large."
sump,,,,"sump: A pool of underground water or point on an underground stream that has a submerged extension, the nature of which has not been determined."
swallow hole,,,,"swallet, swallow hole: A place where water disappears urderground in a limestone region. A swallow hole generally implies water loss in a closed depression or blind valley, whereas a swallet may refer to water loss into alluvium at a streambed, even though there is no depression."
swallet,,,,"swallet, swallow hole: A place where water disappears urderground in a limestone region. A swallow hole generally implies water loss in a closed depression or blind valley, whereas a swallet may refer to water loss into alluvium at a streambed, even though there is no depression."
syngenetic karst,,Karst,,syngenetic karst: Karst developed in eolian calcarenite where lithification of dune sands and productior of karst phenomena occurred simultaneously.
terraced flowstone,,,,terraced flowstone: Shallow rimstone pools on outward-sloping walls.
threshold,,,,threshold: That part of a cave system to which light penetrates in some degree.
through cave,,Cave,,through cave: Cave through which a stream runs from entrance to exit or formerly did so. Synonym: Durchgangshohle.
Durchgangshohle,,Cave,,through cave: Cave through which a stream runs from entrance to exit or formerly did so. Synonym: Durchgangshohle.
torca,,closed depression,,"torca: Large closed depression, more or less circular; a doline."
torricellian chamber,,,,"torricellian chamber: A submerged airfilled chamber of a cave at a pressure below atmospheric pressure, sealed by water, having an air-water surface above that of adjacent free air-water surfaces."
tourelle,,tower,,"tourelle: A little tower; applied to small flat-topped buttes of limestone in karst areas. Contrasted with pitons, which have pointed tops, and with coupoles, which have rounded tops."
tower karst,,Karst,,"tower karst, Turmkarst: Karst topography characterized by isolated limestone hills separated by areas of alluvium or other detrital sand; towers are generally steep-sided forest-covered hills, and many have flat tops."
Turmkarst,,Karst,,"tower karst, Turmkarst: Karst topography characterized by isolated limestone hills separated by areas of alluvium or other detrital sand; towers are generally steep-sided forest-covered hills, and many have flat tops."
glade,,,,glade: Limestone pavement having extensive growth of cedar trees.
grike,,fissure,,"grike, gryke: A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym: Kluftkarren."
Kluftkarren,,fissure,,"grike, gryke: A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym: Kluftkarren."
gryke,,fissure,,"grike, gryke: A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym: Kluftkarren."
grotto,,cave,,"grotto: A small cave, natural or artificial."
grotto,,room,,"grotto: A room, in a cave system, of moderate dimensions but richly decorated."
gulf,,depression,,gulf: Steep-walled closed depression having a flat alluviated bottom; in some gulfs a stream flows across the bottom.
gypsum,,mineral,,gypsum: A mineral composed of hydrous calcium sulfate.
Kugelkarst,,karst,,"Halbkugelkarst: Tropical karst topography containing domeshaped residual hills surrounding depressions, a kind of Kegelkarst. Also called Kugelkarst."
Halbkugelkarst,,karst,,"Halbkugelkarst: Tropical karst topography containing domeshaped residual hills surrounding depressions, a kind of Kegelkarst. Also called Kugelkarst."
half-blind valley,,valley,,half-blind valley: Blind valley in which the stream overflows in floodtirae when the swallow hole can not accep t all the water.
half tube,,,,half tube: Trace of a tube remaining in the roof or wall of a cave.
hall,,chamber,,"hall: In a cave, a lofty chamber which is much longer than it is wide."
hanging blade,,blade,,hanging blade: A blade projecting down from the ceiling.
haystack hill,,hill,,"haystack hill: In the tropics, rounded conical hill of limestone developed as a result of solution. Term being replaced by mogote."
mogote,,hill,,"haystack hill: In the tropics, rounded conical hill of limestone developed as a result of solution. Term being replaced by mogote."
eccentric stalactite,,,,"helictite: A curved or angular twiglike lateral projection of calcium carbonate having a tiny central canal, found in caves. Synonym: eccentric stalactite."
helictite,,,,"helictite: A curved or angular twiglike lateral projection of calcium carbonate having a tiny central canal, found in caves. Synonym: eccentric stalactite."
heligmite,,stalagmite,,heligmite: An eccentric growing upward from a cave floor or from a shelf in a cave. A curved or angular thin stalagmite.
holokarst,,karst,,"holokarst: Cvijić's term for a karst area like that of the Dinaric Karst of Slovenia. Such areas have bare surfaces on thick deposits of limestone that extend below sea level, well-developed Karren, dolines, uvalas, poljes, deep ponors, and extensive cave systems; they have little or no surface drainage."
Karst inselberg,,hill,,"hum: Karst inselberg. Residual hill of limestone on a fairly level floor, such as the isolated hills of limestone in poljes. In some tropical areas, used loosely as synonym for mogote."
mogote,,hill,,"hum: Karst inselberg. Residual hill of limestone on a fairly level floor, such as the isolated hills of limestone in poljes. In some tropical areas, used loosely as synonym for mogote."
hum,,hill,,"hum: Karst inselberg. Residual hill of limestone on a fairly level floor, such as the isolated hills of limestone in poljes. In some tropical areas, used loosely as synonym for mogote."
ice cave,,cave,,"ice cave: A cave, generally in lava or limestone, in which the average temperature is below 0 ° C., and which ordinarily contains perennial ice. Ice may have the form of stalactites, stalagmites, or flowstone."
Calcretes,are,carbonate deposits,,Calcretes are carbonate deposits forming from groundwater near the water table in arid lands as a result of concentration processes by near-surface evaporation.
marginal cave,,,,"Riedl defined the marginal cave by its position at the sea coast, the presence of brackish water, and the presence of troglobiotic species in it, but he also supposed that the origin of such caves was due to wave action and their gradual loss of connection to the sea."
halocline,is a,layer,,The halocline is a layer where the salinity abruptly changes (sometimes from polyhaline to nearly limnic).
Glaciers,are,sedimentary formations of seasonal snow,,Glaciers are sedimentary formations of seasonal snow that accumulates on the upper elevations of a glacier and buries the previous season ’ s accumulation.
Denuded karst,is,former intrastratal karst,,"Denuded karst is former intrastratal karst that develops where the soluble rock has been almost completely exposed from beneath the cover, but with substantial inheritance of solution porosity from the preceding stages of intrastratal development."
Open karst,is,karst,,"Open karst is karst that commences only after exposure of the soluble rock, without any significant intrastratal karstification."
Gypsum needles,are,"straight , clear crystals",,"Gypsum needles are straight, clear crystals that grow by extrusion from the soil in some caves."
cave cotton,is a,mass of tangled fibers,,"As the name implies, cave cotton is a mass of tangled fibers generally with fiber lengths of a few tens of centimeters but diameters of tens or hundreds of micrometers."
pores,are,the open spaces,,"In porous media aquifers, pores between mineral grains are the open spaces available for the storage of water."
Porosity,is defined as,ratio of the volume of pores,,Porosity is defined as the ratio of the volume of pores to the volume of bulk rock and is usually expressed as a percentage.
Karst springs,are,outlets,,Karst springs are the outlets draining open conduit systems.
Hydrothermal karst,is a,hypogene karst,,Hydrothermal karst is a special case of hypogene karst.
Network caves,are,angular grids of intersecting passages,,Network caves are angular grids of intersecting passages formed by widening of nearly all major fractures within favorable areas of soluble rocks.
thermoindicator,known as,ice stalagmite,,"A particular type of ice stalagmite, known as bamboo or thermoindicator, consists of successions of perfectly transparent ice knobs and narrow sections of opaque ice."
bamboo,known as,ice stalagmite,,"A particular type of ice stalagmite, known as bamboo or thermoindicator, consists of successions of perfectly transparent ice knobs and narrow sections of opaque ice."
Longitudinal rills,are,suites of vertical grooves,,Longitudinal rills / flutes are suites of vertical grooves that develop where a water film flows down a high angle rock face.
flutes,are,suites of vertical grooves,,Longitudinal rills / flutes are suites of vertical grooves that develop where a water film flows down a high angle rock face.
geological processes,,,,"Karst process is a part of geological processes. The latter is defined as the processes of the transformation and movement of the carbon between the lithosphere, the hydrosphere, the atmosphere and the biosphere in the forms of CO3 (mainly CaCO, MgCO), HCO, CO, CH, and (CH O) n (organic carbon)."
Karst springs,are,boundaries or ecotones,,Karst springs are boundaries or ecotones between the subsurface and the surface environments.
carbonate reactions,are,,tufa formation|carbonate formation|calcite dissolution,"In karst regions of the world, the carbonate reactions are calcite dissolution, tufa formation, and carbonate formation."
Gypsum crusts,,,,Gypsum crusts form as corrosion residues and providea substrate for extremely acidic (pH 0 - 1) biofilms known as snottites.
dolomitization,,,,The silicification process is volume conserving while the dolomitization results in a decrease in volume thus enhancing secondary porosity and hydraulic conductivity.
epikarst,is a,permeable boundary,,The epikarst is a permeable boundary between the surface and subsurface environments and can be conceptualized as the vadose critical zone of epigenic karst systems.
hyporheic zone,is a,zone,,"The hyporheic zone is a zone (usually associated with a coupled river - alluvial aquifer system) that has a variable thickness and lateral extent, through which surface water and groundwater exchange and mix. river - alluvial aquifer system"
hyporheic zone,is a,"zone of fluid flux , biogeochemical reactions",,"The hyporheic zone is a zone of fluid flux, biogeochemical reactions, including processing of organic matter, and the flux of animals."
Sand,is a,cave sediment,,"Sand is a cave sediment which was well washed, since it is made up almost exclusively of quartz grains."
Goethite,is a,mineral,,"Goethite is a very frequent mineral created in the oxidation of various iron minerals, but can also be created as a precipitate in marshes and springs."
flowstone,,,,"Various forms of flowstone are the result of dripping, running, trickling, trapped, condensed water etc. It is secreted from water flowing down the walls or the floor in layers,"
Lowland,is a,lower karstified section,,Lowland is a lower karstified section with gently sloping hills.
fluvial karst forms,are,dolines,,Smaller fluvial karst forms (mesoforms) are smaller dolines that can be found particularly on flat parts of land and can amount to several 10 per km2.
mesoforms,are,dolines,,Smaller fluvial karst forms (mesoforms) are smaller dolines that can be found particularly on flat parts of land and can amount to several 10 per km2.
Scallops,are,shallow niches,,"Scallops are shallow niches, up to a few cm long, that are shaped by eddies. eddies"
shaft,,passage,,shaft: A vertical passage in a cave.
shakehole,,doline,,"shake, shakehole: Term used mainly by cavers to indicate a doline, especially one formed by subsidence."
shake,,doline,,"shake, shakehole: Term used mainly by cavers to indicate a doline, especially one formed by subsidence."
shake,,Hole,,"shake, shakehole: Hole formed by solution, subsidence, and compaction in loose draft or alluvium overlying beds of limestone."
shakehole,,Hole,,"shake, shakehole: Hole formed by solution, subsidence, and compaction in loose draft or alluvium overlying beds of limestone."
shawl,,curtain,,"shawl: Simple triangular-shaped curtain, sheet. A thin coating of calcium carbonate formed on walls, shelves, benches, and terraces by trickling water."
shield,,speleothem,,shield: A disk-shaped speleothem standing edgewise at a high angle.
sink,,closed depressions,,"sink, sinkhole: General terms for closed depressions. They may be basin, funnel, or cylindrical shaped."
sinkhole,,closed depressions,,"sink, sinkhole: General terms for closed depressions. They may be basin, funnel, or cylindrical shaped."
sinkhole plain,,Plain,,sinkhole plain: Plain on which most of the local relief is due to closed depressions and nearly all drainage is subterranean.
sinkhole pond,,,,"sinkhole pond: Small lake in closed depression in limestone, due to an impervious clay floor or to intersection of depression with the water table."
sinking creek,,stream,,sinking creek: A small stream that disappears underground.
sinter,,mineral precipitate,Siliceous sinter|onyx marble|calcareous sinter|travertine|tufa|fiorite|geyserite,"sinter: A mineral precipitate deposited by a mineral spring, either hot or cold. Siliceous sinter, consisting of silica, is also called geyserite and fiorite; calcareous sinter, consisting of calcium carbonate, is also called tufa, travertine, and onyx marble."
siphon,,cave passage,,"siphon: In speleology, a cave passage in which the ceiling dips below a water surface. water"
slump pit,,hollow,,slump pit: A hollow in the clay fill of a cave floor caused by erosion beneath the fill.
solution pan,,solution basin,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
tinajita,,solution basin,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
panhole,,solution basin,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
Kamenitza,,solution basin,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
Opferkessel,,solution basin,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
solution pipe,,hole,,"solution pipe: A vertical cylindrical hole attributable to solution, often without surface expression, filled with debris, such as sand, clay, rock chips, and bones. Synonym: sand pipe. See also geologic organ."
sotano,,vertical shafts,,"sotano: Term used in Mexico for deep vertical shafts in limestone, which may or may not lead to a cave. deep"
natural well,,shaft,,"natural well: A vertical shaft in limestone, open to the surface and having water at the bottom; similar to a cenote."
network,,,,network: A complex pattern of repeatedly connected passages in a cave system. Synonym: labyrinth.
nip,,,,"nip: An undercutting notch in rock, particularly limestone, along a seacoast between high and low tide levels, produced by erosion or solution."
outflow cave,,Cave,,"outflow cave: Cave from which stream flows out or formerly did so. Synonym, effluent cave."
effluent cave,,Cave,,"outflow cave: Cave from which stream flows out or formerly did so. Synonym, effluent cave."
paleokarst,,,,"paleokarst: A karstified rock or area that has been buried by later sediments; in some places, ancient caves have been completely filled by the later sediments,"
palette,,,,"palette: In a cave, a more or less flat protruding sheet of crystalline calcium carbonate spared during solution of the rock on each side of it. See also blade; shield."
partition,,,,partition: A nearly vertical residual rock mass in a cave. residual
pepino hill,,hill,,pepino hill: Rounded or conical-shaped hill resulting from tropical humid karst action. Term generally replaced in Puerto Rico by mogote.
phreatic water,,Water,,"phreas, phreatic water: Water in the zone of saturation; water below the water table."
phreas,,Water,,"phreas, phreatic water: Water in the zone of saturation; water below the water table."
phreatic zone,,,,"phreatic zone: The region below the water table, in which rock is saturated with water."
pillar,,,,pillar: A column of rock remaining after solution of the surrounding rock. See also rock pillar.
pillar,,,,pillar: A stalactitestalagmite that reaches from roof to floor in a cave; more properly termed a column.
pillar,,stalagmite,,"pillar: A tall thin stalagmite that does not reach the roof of a cave, also pipe. Small cylindrical hole in unconsolidated sediments, caused by removal of fine material by water."
piping,,,,piping: Formation of a passage by water under pressure in the form of conduits through permeable materials when the hydraulic head exceeds a certain critical value.
pit,,hole,,"pit: A deep hole, generally circular in outline, having vertical or nearly vertical walls."
piton,,hill,,piton: Limestone hill having sharply pointed peak.
karst spring,,spring,,karst spring: A spring emerging from karstified limestone.
karst topography,,Topography,,karst topography: Topography dominated by features of solutional origin.
karst valley,,valley,,karst valley: Elongate solution valley.
