DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
slepa dolina,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|A.3 Hydrological form,slepa dolina|Dolina|apnencu|ponori,"slepa dolina: Dolina, ki se slepo končuje na apnencu. Pod strmimi pobočji na koncu so navadno ponori.",,,na apnencu,ponori,,,Dolina,,,se slepo končuje,,,,,,,,,,,,,,,,,,,,,,,,
speleogeneza,B.4 Transformation|A.2 Underground landform|E.2 Method|E.2 Method,speleogeneza|jame|speleologije|speleogeneza,"speleogeneza: Nastanek jame. Tudi tisti del speleologije, ki se bavi s preučevanjem jam. speleogeneza",,,,,Nastanek jame,,,,,,,,,,,,,,ki se bavi s preučevanjem jam,,,,,,,,,,,,,,se bavi s,
speleologija,A.2 Underground landform|C. Geome|E.2 Method|E.2 Method|C. Geome,kraških jamah|kraškem podzemlju|speleologija|jamoslovje|krasu,"speleologija, jamoslovje: V ožjem smislu veda o kraških jamah. V širšem smislu veda o kraškem podzemlju ali krasu.",,,,,,,,,,,,,,,,,,,veda o kraškem podzemlju ali krasu|veda o kraških jamah,,,,,,,,,,,,,,veda o|veda o,
jamoslovje,A.2 Underground landform|C. Geome|E.2 Method|E.2 Method|C. Geome,kraških jamah|kraškem podzemlju|speleologija|jamoslovje|krasu,"speleologija, jamoslovje: V ožjem smislu veda o kraških jamah. V širšem smislu veda o kraškem podzemlju ali krasu.",,,,,,,,,,,,,,,,,,,veda o kraškem podzemlju ali krasu|veda o kraških jamah,,,,,,,,,,,,,,veda o|veda o,
Fizična speleologija,E.2 Method|C. Geome,Fizična speleologija|podzemlju,Fizična speleologija: Ugotavlja fizikalne in kemijske zakonitosti v podzemlju.,,,,,,,,,,,,,,,,,,,Ugotavlja fizikalne in kemijske zakonitosti v podzemlju,,,,,,,,,,,,,,Ugotavlja,
Spodmol,A.1 Surface landform|A.2 Underground landform,Spodmol|jama,Spodmol: Krajša horizontalna jama s širokim vhodom.,,,,,,,jama,,,horizontalna jama s širokim vhodom,,,,,Krajša,,,,,,,,,,,,,,,,,,,
Statična jama,A.2 Underground landform|A.2 Underground landform|E.2 Method|A.2 Underground landform|D.1 Abiotic,Statična jama|klimostatična jama|jamske klimatologije|jamo|zrakom,"Statična jama, klimostatična jama: Izraz je iz jamske klimatologije. Pomeni jamo, ki pozimi in poleti zračno slabo komunicira z zunanjim zrakom in so v njej zračne razmere statične.",,,,,,,jamo,,,,zračno slabo komunicira z zunanjim zrakom in so v njej zračne razmere statične,,,,,,pozimi in poleti,,,,,,,,,,,,,,,,,
klimostatična jama,A.2 Underground landform|A.2 Underground landform|E.2 Method|A.2 Underground landform|D.1 Abiotic,Statična jama|klimostatična jama|jamske klimatologije|jamo|zrakom,"Statična jama, klimostatična jama: Izraz je iz jamske klimatologije. Pomeni jamo, ki pozimi in poleti zračno slabo komunicira z zunanjim zrakom in so v njej zračne razmere statične.",,,,,,,jamo,,,,zračno slabo komunicira z zunanjim zrakom in so v njej zračne razmere statične,,,,,,pozimi in poleti,,,,,,,,,,,,,,,,,
statodinamična jama,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,statodinamična jama|Jama|zrakom,"statodinamična jama: Jama, ki živahno komunicira z zunanjim zrakom v eni sezoni, medtem ko je v ostalem letu statična. komunicira z zunanjim zrakom v eni sezoni, medtem ko je v ostalem letu statična",,,,,,,Jama,,,,"živahno komunicira z zunanjim zrakom v eni sezoni , medtem ko je v ostalem letu statična",,,,,,"komunicira z zunanjim zrakom v eni sezoni , medtem ko je v ostalem letu statična",,,,,,,,,,,,,,,,,
sufozija,B.2 Loss|B.2 Loss|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,sufozija|Spiranje|gmote|ruše|sedimentov|vodi,sufozija: Spiranje gmote izpod ruše ali krovnih sedimentov po tekoči vodi.,,,po tekoči vodi,,,,,,,,,izpod ruše ali krovnih sedimentov,,Spiranje gmote,,,,,,,,po,,,,,izpod,,,,,,,
suha dolina,A.1 Surface landform|A.1 Surface landform|C. Geome,suha dolina|zakrasela dolina|krasu,"suha dolina, zakrasela dolina: Dolinasta oblika na krasu, brez stalnega površinskega vodnega toka. Glede na trajanje toka so trajno in obdobno suhe doline.",,,,,,,,,,Dolinasta oblika,brez stalnega površinskega vodnega toka,na krasu,,,,,trajno in obdobno suhe doline,,,,,,,,,,na,,,,,,,
zakrasela dolina,A.1 Surface landform|A.1 Surface landform|C. Geome,suha dolina|zakrasela dolina|krasu,"suha dolina, zakrasela dolina: Dolinasta oblika na krasu, brez stalnega površinskega vodnega toka. Glede na trajanje toka so trajno in obdobno suhe doline.",,,,,,,,,,Dolinasta oblika,brez stalnega površinskega vodnega toka,na krasu,,,,,trajno in obdobno suhe doline,,,,,,,,,,na,,,,,,,
delno suha dolina,A.1 Surface landform|D.1 Abiotic,delno suha dolina|vodnim tokom,delno suha dolina: Dolinasta oblika s površinskim vodnim tokom v delu doline.,,,,s površinskim vodnim tokom v delu doline,,,Dolinasta oblika,,,Dolinasta oblika,,,,,,,,,,,,,,,,,,,,,,,,
polsuha dolina,A.1 Surface landform|A.1 Surface landform,polsuha dolina|Suha dolina,"polsuha dolina: Suha dolina, v kateri se občasno pojavlja površinski vodni tok.",,,,v kateri se občasno pojavlja površinski vodni tok,,,Suha dolina,,,,,,,,,,,,,,,,v kateri,,,,,,,,,,,
suhi zid,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,suhi zid|kraški zid|malto|cementom|njiv|vinogradov|kamenja,"suhi zid, kraški zid: Zid iz kamnov, ki niso vezani z malto ali s cementom. Za kraško pokrajino značilen zid ob mejah parcel, ob poteh ali kot škarpa na spodnji strani njiv in vinogradov, ki so ga sezidali iz otrebljenega kamenja. So eno -, dvo - ali večredni.",,,"iz kamnov , ki niso vezani z malto ali s cementom",,,,Zid,,ki so ga sezidali iz otrebljenega kamenja,,,"ob mejah parcel , ob poteh ali kot škarpa na spodnji strani njiv in vinogradov",,,,,,,,,,,,,,,,,,,,,,
kraški zid,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,suhi zid|kraški zid|malto|cementom|njiv|vinogradov|kamenja,"suhi zid, kraški zid: Zid iz kamnov, ki niso vezani z malto ali s cementom. Za kraško pokrajino značilen zid ob mejah parcel, ob poteh ali kot škarpa na spodnji strani njiv in vinogradov, ki so ga sezidali iz otrebljenega kamenja. So eno -, dvo - ali večredni.",,,"iz kamnov , ki niso vezani z malto ali s cementom",,,,Zid,,ki so ga sezidali iz otrebljenega kamenja,,,"ob mejah parcel , ob poteh ali kot škarpa na spodnji strani njiv in vinogradov",,,,,,,,,,,,,,,,,,,,,,
sušica,D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form|B.1 Movement,Vodni tok|sušica|šica|presiha,"sušica, šica: Vodni tok, ki ob nizki vodi presiha.",,,,,,,Vodni tok,,,,,,,,,,ki ob nizki vodi presiha,,,,,,,,,,,,,,,,,
šica,D.1 Abiotic|A.3 Hydrological form|A.3 Hydrological form|B.1 Movement,Vodni tok|sušica|šica|presiha,"sušica, šica: Vodni tok, ki ob nizki vodi presiha.",,,,,,,Vodni tok,,,,,,,,,,ki ob nizki vodi presiha,,,,,,,,,,,,,,,,,
kraško pokrajino,C. Geome,kraško pokrajino,Celokupnost oblik nekega kraškega področja imenujemo kraško pokrajino.,,,,,,imenujemo,oblik nekega kraškega področja,,,,,,,,,,,,,,,,,,,,,,,,,,,
fosilni kras,C. Geome|C. Geome|C. Geome,fosilni kras|Kras|paleokras,"Kras, ki ni nastal v današnjih razmerah, navadno imenujemo fosilni kras ali tudi paleokras.",,,,,,imenujemo,Kras,,,,,,,,,,ki ni nastal v današnjih razmerah,,,,,,,,,,,,,,,,,
paleokras,C. Geome|C. Geome|C. Geome,fosilni kras|Kras|paleokras,"Kras, ki ni nastal v današnjih razmerah, navadno imenujemo fosilni kras ali tudi paleokras.",,,,,,imenujemo,Kras,,,,,,,,,,ki ni nastal v današnjih razmerah,,,,,,,,,,,,,,,,,
morski požiralniki,A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic,morski požiralniki|morski mlini|morska voda|požiralnik|obali,"Posebno zanimanje vzbujajo tako imenovani morski požiralniki, ki jih imenujejo tudi morski mlini morska voda, ki teče v požiralnik na obali, ponekod namreč žene mlinsko kolo.",,,,,,,,,"morska voda , ki teče v požiralnik na obali , ponekod namreč žene mlinsko kolo",,,,,,,,,,,,,,,,,,,,,,,,,
morski mlini,A.3 Hydrological form|A.3 Hydrological form|D.1 Abiotic|A.3 Hydrological form|D.1 Abiotic,morski požiralniki|morski mlini|morska voda|požiralnik|obali,"Posebno zanimanje vzbujajo tako imenovani morski požiralniki, ki jih imenujejo tudi morski mlini morska voda, ki teče v požiralnik na obali, ponekod namreč žene mlinsko kolo.",,,,,,,,,"morska voda , ki teče v požiralnik na obali , ponekod namreč žene mlinsko kolo",,,,,,,,,,,,,,,,,,,,,,,,,
Ravnovesna meja,D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.1 Abiotic|B.3 Addition|B.2 Loss,Ravnovesna meja|masna bilanca|nadmorski višini|meja|ledeniku|akumulacija|ablacija,"Ravnovesna meja je navidezna meja na ledeniku, vzdolž katere je masna bilanca enaka nič (Porter, 2000); nahaja se na nadmorski višini, na kateri sta akumulacija in ablacija ledu v ravnovesju (Benn, Evans, 1998).",,,,,"navidezna meja na ledeniku , vzdolž katere je masna bilanca enaka nič",je,meja,,,,,"nahaja se na nadmorski višini , na kateri sta akumulacija in ablacija ledu v ravnovesju",,,,,,,,,,,,,,,nahaja se na,,,,,,,
model stopinjskih dni,E.2 Method|E.2 Method|D.3 Property|B.3 Addition|D.1 Abiotic,model stopinjskih dni|metoda|količino|akumulacije|ledenikov,"Poenostavljen model stopinjskih dni (ang. simple degree-day model) je metoda, s katero izračunamo količino akumulacije, ki je potrebna za ohranjanje ledenikov, posredno pa izračunamo tudi količino padavin v času poledenitve. s katero izračunamo količino akumulacije, ki je potrebna za ohranjanje ledenikov posredno pa izračunamo tudi količino padavin v času poledenitve",,,,,,je,metoda,,,,,,,,,"s katero izračunamo količino akumulacije , ki je potrebna za ohranjanje ledenikov , posredno pa izračunamo tudi količino padavin v času poledenitve .|s katero izračunamo količino akumulacije , ki je potrebna za ohranjanje ledenikov|posredno pa izračunamo tudi količino padavin v času poledenitve",,,,,,,,,,,,izračunamo|izračunamo,,,,,,
kukavo,A.2 Underground landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,podzemnih prostorov|kukavo|udornice|koliševk,"Habič je s kukavo poimenoval udornice, ki imajo v dnu dostop do podzemnih prostorov injih ločil od koliševk, ki so brez dostopa do podzemnih prostorov (Stepišnik, 2006). poimenoval",,,,,,je|poimenoval,poimenoval|udornice,,,"ločil od koliševk , ki so brez dostopa do podzemnih prostorov|ki imajo v dnu dostop do podzemnih prostorov",,,,,,,,,,,,,,,ki imajo,,,,,,,,,
poligonalni kras,D.1 Abiotic|D.3 Property|C. Geome|A.1 Surface landform|C. Geome,Topografske razvodnice|poligonalen vzorec|poligonalni kras|vrtač|kras,"Topografske razvodnice vrtač imajo poligonalen vzorec in tak kras, se imenuje tudi poligonalni kras (Williams, 2004). se imenuje Topografske razvodnice vrtač imajo poligonalen vzorec",,,,,Topografske razvodnice vrtač imajo poligonalen vzorec in tak kras,se imenuje tudi|se imenuje,kras,,,Topografske razvodnice vrtač imajo poligonalen vzorec,,,,,,,,,,,,,,,,,,,,,,,,
Nagnjenost gladine vode,D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property,Nagnjenost gladine vode|hidravlični gradient|hidravličnega potenciala|hidravličnega potenciala|vektor,"Nagnjenost gladine vode je hidravlični gradient, ki je vektor, katerega dolžina je enaka spremembi hidravličnega potenciala na enoto dolžine in ima smer proti največjemu naraščanju hidravličnega potenciala.",,,,,,je,hidravlični gradient,,,,,,,,,"hidravlični gradient , ki je vektor , katerega dolžina je enaka spremembi hidravličnega potenciala na enoto dolžine in ima smer proti največjemu naraščanju hidravličnega potenciala",,,,,,,,,,,,,,,,,,
kraško polje,A.1 Surface landform|C. Geome|D.1 Abiotic,kraško polje|kraškem reliefu|depresijo,Ford (2007) definira kraško polje kot dolgo in zaprto depresijo z ravnim dnom v kraškem reliefu.,,,,,,definira|kot,depresijo,,,z ravnim dnom|zaprto,,v kraškem reliefu,,,dolgo,,,,,,,,,,z,,v,,,,,,,
jamske paleolitske postaje,A.2 Underground landform|A.2 Underground landform,jamske paleolitske postaje|Jame,Jame s sledovi bivanja v paleolitu so jamske paleolitske postaje.,,,,,,so,Jame,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zatrpano brezno,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,Zatrpano brezno|klastičnimi sedimenti|brezno|gruščem|prodom|ilovico,"Zatrpano brezno je brezno, pretežno zapolnjeno s klastičnimi sedimenti (Radinja, 1967, b), to je gruščem, prodom, ilovico ipd.",,,,"pretežno zapolnjeno s klastičnimi sedimenti ( Radinja , 1967 , b ) , to je gruščem , prodom , ilovico ipd",,je,brezno,,,,,,,,,,,,,,,,pretežno zapolnjeno s,,,,,,,,,,,
psevdovršaji,A.1 Surface landform|C. Geome|B.3 Addition|A.1 Surface landform,Vršaje|krasu|sedimentacije|psevdovršaji,"Vršaje na krasu, ki nimajo aktivnega procesa sedimentacije rečnih nanosov na svojem površju, imenuje psevdovršaji.",,,,,,imenuje,Vršaje,ki nimajo aktivnega procesa sedimentacije rečnih nanosov,,,,na svojem površju|na krasu,,,,,,,,,,,,,,,na|na,,,,,,,
uravnotežena pobočja,B.4 Transformation|A.1 Surface landform|D.1 Abiotic|D.3 Property|D.3 Property|B. Process,kemična denudacija|uravnotežena pobočja|Območja|ravnovesje|sil|delujejo,"Območja, kjer pobočni procesi niso več prisotni in na njih prevladuje kemična denudacija, v nadaljevanju imenujem uravnotežena pobočja, saj se na njih vzpostavi ravnovesje med intenziteto sil, ki delujejo na maso vzporedno s pobočjem navzdol, in silami, ki zavirajo to premikanje.",,,,,,imenujem,Območja,"se na njih vzpostavi ravnovesje med intenziteto sil , ki delujejo na maso vzporedno s pobočjem navzdol , in silami , ki zavirajo to premikanje",,,kjer pobočni procesi niso več prisotni in na njih prevladuje kemična denudacija,,,,,,,,,,,,,,,,,,,,,,,
Ravnovesna meja ( RM ) ledenikov,D.3 Property|D.3 Property|D.1 Abiotic|B.3 Addition|B.2 Loss,Ravnovesna meja ( RM ) ledenikov|nadmorska višina|ledenikih|akumulacija|ablaciji,"Ravnovesna meja (RM) ledenikov na ledenikih je povprečna nadmorska višina, kjer je gledano za obdobje enega leta akumulacija snega enaka njegovi ablaciji.",,,,,kjer je gledano za obdobje enega leta akumulacija snega enaka njegovi ablaciji,je,nadmorska višina,,,,,na ledenikih,,,,,,,,,,,,,,,na,,,,,,,
Morfostrukturna analiza,D.3 Property|E.2 Method|E.2 Method|D.1 Abiotic,strukturo Zemljine notranjosti|Morfostrukturna analiza|pristopov|reliefom,"Morfostrukturna analiza je skupek metodičnih pristopov, katerih cilj je pojasniti neposredne ali posredne povezave med današnjim reliefom in strukturo Zemljine notranjosti. neposredne ali posredne povezave med današnjim reliefom in strukturo Zemljine notranjosti",,,,,,je,metodičnih pristopov,,,,cilj je pojasniti neposredne ali posredne povezave med današnjim reliefom in strukturo Zemljine notranjosti,,,,,,,,neposredne ali posredne povezave med današnjim reliefom in strukturo Zemljine notranjosti,,,,,,,cilj je,,,,,,,povezave,
jamska postaja,A.2 Underground landform|A.2 Underground landform|D.2 Biotic|A.2 Underground landform,jamska postaja|jamsko nahajališce|predzgodovinskega človeka|Jama,"jamska postaja, jamsko nahajališce: Jama, v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka. Jame s sledovi bivanja v paleolitu so jamske paleolitske postaje. Drug pomen za jamsko postajo: meteorološka postaja v jami.",,,,v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka,,,Jama,,,,,,,,,,,,,,,,v kateri so,,,,,,,,,,,
jamsko nahajališce,A.2 Underground landform|A.2 Underground landform|D.2 Biotic|A.2 Underground landform,jamska postaja|jamsko nahajališce|predzgodovinskega človeka|Jama,"jamska postaja, jamsko nahajališce: Jama, v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka. Jame s sledovi bivanja v paleolitu so jamske paleolitske postaje. Drug pomen za jamsko postajo: meteorološka postaja v jami.",,,,v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka,,,Jama,,,,,,,,,,,,,,,,v kateri so,,,,,,,,,,,
jamski človek,D.2 Biotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,jamski človek|jame|pribežališce|bivališce,"jamski človek: Predzgodovinski (paleolitski, neolitski) človek, ki je izkoriščal jame kot pribežališce ali bivališce.",,,,,,,"Predzgodovinski ( paleolitski , neolitski ) človek",,,,ki je izkoriščal jame kot pribežališce ali bivališce,,,,,,,,,,,,,,,je izkoriščal,,,,,,,,
jamski biser,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,jamski biser|kapljajoča voda|pizolit|kamen|sige,"jamski biser, pizolit: Droben obrušen kamen ali delček sige, ki ga v mirujoči vodi obrača in brusi nanj kapljajoča voda in (ali) debeli s koncentričnimi skorjami sige.",,,,,,,,,obrača in brusi nanj kapljajoča voda in ( ali ) debeli s koncentričnimi skorjami sige,obrušen kamen|delček sige,,v mirujoči vodi,,,Droben,,,,,,,,,,,,,,,,,,,
pizolit,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic,jamski biser|kapljajoča voda|pizolit|kamen|sige,"jamski biser, pizolit: Droben obrušen kamen ali delček sige, ki ga v mirujoči vodi obrača in brusi nanj kapljajoča voda in (ali) debeli s koncentričnimi skorjami sige.",,,,,,,,,obrača in brusi nanj kapljajoča voda in ( ali ) debeli s koncentričnimi skorjami sige,obrušen kamen|delček sige,,v mirujoči vodi,,,Droben,,,,,,,,,,,,,,,,,,,
jamski kataster,E.1 Instrument|A.2 Underground landform|E.1 Instrument,jamski kataster|kraških jam|seznam,"jamski kataster: Urejen seznam kraških jam, tudi urejena dokumentacija o raziskanih jamah. Kataster navadno vodijo jamarske ali jamoslovne organizacije.",,,,,,,seznam,,,,,,,,,dokumentacija o raziskanih jamah,,,,,,,,,,,,,,,,,,
jamski načrt,E.1 Instrument|B. Process,jamski načrt|meritev,"jamski načrt: Načrt ali profil jame, izdelan na osnovi meritev.",,,,,,,,,izdelan na osnovi meritev,,,,,,,Načrt ali profil jame,,,,,na osnovi,,,,,,,,,,,,,
Jamski podor,B.1 Movement|D.1 Abiotic|B.1 Movement|D.1 Abiotic|D.1 Abiotic,Jamski podor|jamski steni|Podor|skalovja|stropu,Jamski podor (podor): Podor skalovja v jamski steni ali stropu.,,,,,,,Podor,,,,,v jamski steni ali stropu,,,,,,,,,,,,,,,v,,,,,,,
končni podor,B.1 Movement|B.1 Movement|A.2 Underground landform|D.1 Abiotic,končni podor|Podor|jame|prehod,"končni podor: Podor, ki na koncu jame onemogoča prehod.",,,,,,,Podor,,,,ki na koncu jame onemogoča prehod,,,,,,,,,,,,,,,onemogoča,,,,,,,,
jamski udor,B.1 Movement|A.2 Underground landform|B.1 Movement|D.1 Abiotic,jamski udor|jamski prostor|Udor|površje,"jamski udor: Udor, s katerim se jamski prostor odpre na površje.",,,,,,,Udor,,,,,,,s katerim se jamski prostor odpre na površje,,,,,,,,,,,,,,,,,,,,
jamski rov,A.2 Underground landform|A.2 Underground landform,jamski rov|jame,"jamski rov: Del jame, ki je mnogo bolj razvita veni smeri.",,,,,,,jame,,,ki je mnogo bolj razvita veni smeri,,,,,,,,,,,,,,,,,,,,,,,,
jamski sediment,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,jamski sediment|Sediment|jami,"jamski sediment: Sediment v jami, avtohtonega ali alohtonega porekla (kot npr. jamska ilovica – gl. jamska ilovica, siga, pesek itd.)",,,,,,,Sediment,,avtohtonega ali alohtonega porekla,,,v jami,,,,,,,,,porekla,,,,,,v,,,,,,,
jamski sistem,A.2 Underground landform,jamski sistem,jamski sistem: Razvejan in povezan splet jamskih prostorov večjih dimenzij.,,,,,,,,,,Razvejan in povezan splet jamskih prostorov,,,,,večjih dimenzij,,,,,,,,,,,,,,,,,,,
jamsko okno,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,jamsko okno|jamskem stropu|Odprtina,"jamsko okno: Odprtina v jamskem stropu, skozi katero seva nebo.",,,,,,,Odprtina,,,,skozi katero seva nebo,v jamskem stropu,,,,,,,,,,,,,,,v,,,,,,,
rdeca zemlja,D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome,rdeca zemlja|terra rossa|mediteranski kras|jerina|zemlja|karbonatov|submediteranski,"jerina, rdeca zemlja, terra rossa: Rdečkasta zemlja, ki je po prevladujočem naziranju v glavnem netopni ostanek karbonatov. Značilna za submediteranski in mediteranski kras.",,,,,,,zemlja,,v glavnem netopni ostanek karbonatov,Rdečkasta,,Značilna za submediteranski in mediteranski kras,,,,,,,,,ostanek,,,,,,,,,,,,,
terra rossa,D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome,rdeca zemlja|terra rossa|mediteranski kras|jerina|zemlja|karbonatov|submediteranski,"jerina, rdeca zemlja, terra rossa: Rdečkasta zemlja, ki je po prevladujočem naziranju v glavnem netopni ostanek karbonatov. Značilna za submediteranski in mediteranski kras.",,,,,,,zemlja,,v glavnem netopni ostanek karbonatov,Rdečkasta,,Značilna za submediteranski in mediteranski kras,,,,,,,,,ostanek,,,,,,,,,,,,,
jerina,D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome,rdeca zemlja|terra rossa|mediteranski kras|jerina|zemlja|karbonatov|submediteranski,"jerina, rdeca zemlja, terra rossa: Rdečkasta zemlja, ki je po prevladujočem naziranju v glavnem netopni ostanek karbonatov. Značilna za submediteranski in mediteranski kras.",,,,,,,zemlja,,v glavnem netopni ostanek karbonatov,Rdečkasta,,Značilna za submediteranski in mediteranski kras,,,,,,,,,ostanek,,,,,,,,,,,,,
kal,D.1 Abiotic|A.3 Hydrological form|A.1 Surface landform,vodna kotanja|kal|vrtača,"kal: Večja vodna kotanja, navadno trajno ali vsaj večji del leta z vodo napolnjena vrtača z nepropustnim dnom. To je redko prirodno nepropustno; navadno je pa tako šele po posegu človeka.",,,,z vodo napolnjena,,,vodna kotanja,z nepropustnim dnom,,vrtača,,,,,Večja,,navadno trajno ali vsaj večji del leta,,,,,,napolnjena,,,,,,,,,,,
kalcit,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,kalcijev karbonat CaCO3|kalcit|Mineral|apnenca,"kalcit: Mineral, kalcijev karbonat CaCO3, ki kristalizira heksagonalno; osnovno gradivo apnenca.",,,,,,,Mineral,,,ki kristalizira heksagonalno,osnovno gradivo apnenca,,,,,,,,,,,,,,,,,,,,,,,
kalcifikacija,D.1 Abiotic|D.2 Biotic|D.1 Abiotic|D.1 Abiotic|B.4 Transformation|D.2 Biotic,trdnih snovi|rastlinskih ostankih|kalcijevim karbonatom|kalcijevim karbonatom|kalcifikacija|živalskih,kalcifikacija: Zamenjava primarnih trdnih snovi v živalskih ali rastlinskih ostankih s kalcijevim karbonatom. V slovenski kraški literaturi često prepojitev snovi s kalcijevim karbonatom.,,,,,Zamenjava primarnih trdnih snovi v živalskih ali rastlinskih ostankih s kalcijevim karbonatom|prepojitev snovi s kalcijevim karbonatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalcitna žila,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,kalcitna žila|rekristaliziranega apnenca|jamske stene|kalcitno rebro|kalcitna pola|plast|stropa,"kalcitna žila: Tanka, nekaj milimetrov ali cm debela plast rekristaliziranega apnenca svetle barve, ki navadno moli iz jamske stene ali stropa za nekaj milimetrov, pa tudi centimetrov. Tudi kalcitno rebro ali kalcitna pola.",,,rekristaliziranega apnenca,,,,,svetle barve,,,,"ki navadno moli iz jamske stene ali stropa za nekaj milimetrov , pa tudi centimetrov",,,"Tanka , nekaj milimetrov ali cm debela",,,,,,,,,,,,moli iz,,,,,milimetrov,,
kalcitno rebro,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,kalcitna žila|rekristaliziranega apnenca|jamske stene|kalcitno rebro|kalcitna pola|plast|stropa,"kalcitna žila: Tanka, nekaj milimetrov ali cm debela plast rekristaliziranega apnenca svetle barve, ki navadno moli iz jamske stene ali stropa za nekaj milimetrov, pa tudi centimetrov. Tudi kalcitno rebro ali kalcitna pola.",,,rekristaliziranega apnenca,,,,,svetle barve,,,,"ki navadno moli iz jamske stene ali stropa za nekaj milimetrov , pa tudi centimetrov",,,"Tanka , nekaj milimetrov ali cm debela",,,,,,,,,,,,moli iz,,,,,milimetrov,,
kalcitna pola,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,kalcitna žila|rekristaliziranega apnenca|jamske stene|kalcitno rebro|kalcitna pola|plast|stropa,"kalcitna žila: Tanka, nekaj milimetrov ali cm debela plast rekristaliziranega apnenca svetle barve, ki navadno moli iz jamske stene ali stropa za nekaj milimetrov, pa tudi centimetrov. Tudi kalcitno rebro ali kalcitna pola.",,,rekristaliziranega apnenca,,,,,svetle barve,,,,"ki navadno moli iz jamske stene ali stropa za nekaj milimetrov , pa tudi centimetrov",,,"Tanka , nekaj milimetrov ali cm debela",,,,,,,,,,,,moli iz,,,,,milimetrov,,
kamin,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,jamskem stropu|kamin|Odprtina,"kamin: Odprtina v jamskem stropu, ki ji običajno ne vidimo konca.",,,,,,,Odprtina,,,,,v jamskem stropu,,,ji običajno ne vidimo konca,,,,,,,,,,,,v,,,,,,,
kanal,A.2 Underground landform|C. Geome|A.2 Underground landform,jamski rov|freatični coni|kanal,kanal: Nedostopen jamski rov v freatični coni; tudi dostopen enovit jamski rov brez bregov.,,,,,,,jamski rov,Nedostopen,,,,v freatični coni,,,,,,,,,,,,,,,,,,,,,,
kapelica,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,kapelica|niša|votlinica,"kapelica: Večja niša ali zaokrožena, bogato zakapana votlinica.",,,,,,,niša,,,bogato zakapana votlinica|zaokrožena,,,,,Večja,,,,,,,,,,,,,,,,,,,
