REL_LABEL,REL_TOK,REL_FRAME
CONTAINS,"pretežno zapolnjeno s klastičnimi sedimenti ( Radinja , 1967 , b ) , to je gruščem , prodom , ilovico ipd",pretežno zapolnjeno s
HAS_ATTRIBUTE,ki nimajo aktivnega procesa sedimentacije rečnih nanosov,
HAS_LOCATION,na svojem površju,na
HAS_LOCATION,na krasu,na
HAS_ATTRIBUTE,"se na njih vzpostavi ravnovesje med intenziteto sil , ki delujejo na maso vzporedno s pobočjem navzdol , in silami , ki zavirajo to premikanje",
HAS_FUNCTION,kjer pobočni procesi niso več prisotni in na njih prevladuje kemična denudacija,
DEFINED_AS,kjer je gledano za obdobje enega leta akumulacija snega enaka njegovi ablaciji,
HAS_LOCATION,na ledenikih,na
HAS_FUNCTION,cilj je pojasniti neposredne ali posredne povezave med današnjim reliefom in strukturo Zemljine notranjosti,povezave|cilj je
STUDIES,neposredne ali posredne povezave med današnjim reliefom in strukturo Zemljine notranjosti,||||||||||
CONTAINS,v kateri so najdeni sledovi zadrževanja predzgodovinskega človeka,v kateri so
HAS_FUNCTION,ki je izkoriščal jame kot pribežališce ali bivališce,je izkoriščal
HAS_FORM,obrušen kamen,
HAS_CAUSE,obrača in brusi nanj kapljajoča voda in ( ali ) debeli s koncentričnimi skorjami sige,
HAS_LOCATION,v mirujoči vodi,
HAS_FORM,delček sige,
HAS_SIZE,Droben,
MEASURES,dokumentacija o raziskanih jamah,
HAS_CAUSE,izdelan na osnovi meritev,na osnovi
MEASURES,Načrt ali profil jame,
HAS_LOCATION,v jamski steni ali stropu,v
HAS_FUNCTION,ki na koncu jame onemogoča prehod,onemogoča
HAS_RESULT,s katerim se jamski prostor odpre na površje,
HAS_FORM,ki je mnogo bolj razvita veni smeri,
HAS_CAUSE,avtohtonega ali alohtonega porekla,porekla
HAS_LOCATION,v jami,v
HAS_FORM,Razvejan in povezan splet jamskih prostorov,
HAS_SIZE,večjih dimenzij,
HAS_FUNCTION,skozi katero seva nebo,
HAS_LOCATION,v jamskem stropu,v
HAS_LOCATION,Značilna za submediteranski in mediteranski kras,
HAS_FORM,Rdečkasta,
HAS_CAUSE,v glavnem netopni ostanek karbonatov,ostanek
HAS_FORM,vrtača,
CONTAINS,z vodo napolnjena,napolnjena
HAS_ATTRIBUTE,z nepropustnim dnom,
HAS_SIZE,Večja,
OCCURS_IN_TIME,navadno trajno ali vsaj večji del leta,
HAS_FUNCTION,osnovno gradivo apnenca,
HAS_FORM,ki kristalizira heksagonalno,
DEFINED_AS,prepojitev snovi s kalcijevim karbonatom,
DEFINED_AS,Zamenjava primarnih trdnih snovi v živalskih ali rastlinskih ostankih s kalcijevim karbonatom,
HAS_SIZE,"Tanka , nekaj milimetrov ali cm debela",milimetrov
HAS_ATTRIBUTE,svetle barve,
COMPOSITION_MEDIUM,rekristaliziranega apnenca,
HAS_LOCATION,"ki navadno moli iz jamske stene ali stropa za nekaj milimetrov , pa tudi centimetrov",moli iz
HAS_LOCATION,v jamskem stropu,v
HAS_SIZE,ji običajno ne vidimo konca,
HAS_ATTRIBUTE,Nedostopen,
HAS_LOCATION,v freatični coni,
HAS_FORM,bogato zakapana votlinica,
HAS_SIZE,Večja,
HAS_FORM,zaokrožena,
COMPOSITION_MEDIUM,ki jo v glavnem sestavljajo soli ogljikove kisline,ki jo v glavnem sestavljajo
HAS_FUNCTION,napravljena cesto v vojne namene,
HAS_SIZE,manjšo,
HAS_FORM,ki jo sestavlja ena sama manjša votlina,ki jo sestavlja
COMPOSITION_MEDIUM,v klastičnih kamninah,v
HAS_CAUSE,je udornega postanka,
HAS_FORM,"običajno s skalnim , prepadnim pobočjem , z vidnim dnom",
HAS_SIZE,Več deset metrov globoka in široka,metrov
OCCURS_IN_TIME,nastala v osnovi domnevno v terciarni dobi,nastala v
HAS_FORM,Kopasta holmasta,
HAS_LOCATION,Oblika fosilnega krasa,
HAS_LOCATION,"na jamskih stenah ali stropu , navadno na mestu mešanja toplejšega in hladnejšega zraka",na mestu
HAS_CAUSE,ki se zaradi kondenzacije nabira v kapljicah,
HAS_LOCATION,Glaciokraška,
HAS_FORM,običajno skledaste oblike,oblike
HAS_FORM,Mnogokrat širša kot globlja,
HAS_SIZE,več deset ali sto metrov dolga in široka,metrov
HAS_CAUSE,Širjenje votline ( rova ) zaradi izpraznjenja jamskih sedimentov,
HAS_RESULT,konvakuacijska votlina,
HAS_CAUSE,"s posredovanjem vode , ki vsebuje ogljikovo kislino",s posredovanjem
DEFINED_AS,odnašanje raztopljenih snovi,
DEFINED_AS,kemično ali v manjši meri fizikalno raztapljanje kraške kamnine,
HAS_FORM,podolgovata,
HAS_FORM,dolu podobna,podobna
CONTAINS,Sestavljajo jo zraščene razsežne vrtače,Sestavljajo jo
HAS_FORM,ki se kot odsekana končuje na pobočju,
HAS_LOCATION,Na krasu,Na
HAS_FUNCTION,iz katere stalno ali obdobno piha,iz katere
DEFINED_AS,"Nivo površinske kraške vode , ki ga določuje morska ali jezerska gladina v zaledju",
DEFINED_AS,"Delež , ki odpade na votline",
HAS_LOCATION,v kraškem podzemlju,v
HAS_FORM,podzemeljski prostor,
HAS_SIZE,Večji,
HAS_FORM,in je bolj široka kot globoka,
HAS_SIZE,navadno globoka več metrov,globoka
HAS_FORM,V prečnem profilu je podobna skledi .,je podobna
HAS_FORM,pobočja pa se navzgor odpirajo,
HAS_FORM,Je brez ravnega dna,brez
HAS_FORM,Ima strme stene,Ima
HAS_FORM,in ravnejše dno,
HAS_SIZE,Globoka,
HAS_FORM,s strmimi stenami,s
HAS_CAUSE,nastala v naplavinah,nastala v
COMPOSITION_MEDIUM,katere dno in pobočje je skalnato,
HAS_LOCATION,na planotastem nizkem reliefu,na
CONTAINS,z redkimi drugimi kraškimi pojavi na površju,z
CONTAINS,s suhimi dolinami,s
HAS_CAUSE,ki nastaja v pogojih sredozemske klime,ki nastaja v
HAS_POSITION,v Sredozemlju in v njegovem obodu,v|v
HAS_CAUSE,sneg kot očitni morfogenetski dejavnik,morfogenetski dejavnik
HAS_LOCATION,v višinskem ali subarktičnem pasu,
HAS_LOCATION,pod nivalnim krasom,pod
HAS_CAUSE,kjer je v glacialnih dobah nastal nivalni kras,kjer je
OCCURS_IN_TIME,skopni le čez poletje,
HAS_CAUSE,nastal v subpolarni ( subarktični ) klimi,nastal v
HAS_CAUSE,nastal v trajno ali sezonsko vlažni tropski klimi,nastal v
CONTAINS,"Značilne zanj so strme vzpetine ( stogi , stolpi )",Značilne
DEFINED_AS,ozemlje brez zelenja ali kamnito ozemlje brez zelenja,
COMPOSITION_MEDIUM,katerega površje je po veliki večini kamnito,
COMPOSITION_MEDIUM,katerega površje po veliki večini pokriva zemlja oz . preperelina,pokriva
CONTAINS,se prepletajo gole in pokrite kraške površine,
DEFINED_AS,Prehodna oblika med golim in pokritim krasom,
CONTAINS,kjer so lašti ( gl . lašt ) značilne površinske oblike,značilne|so
HAS_FORM,"kjer molijo na površje čokati kamni , visoki do enega metra in več",kjer molijo na površje
CONTAINS,s tako gostimi vrtačami,
HAS_ATTRIBUTE,"da spominja na kožo človeka , ki je prebolel koze",
HAS_FORM,"kjer so kraške kotanje , nastale z zraščanjem vrtač , iz zraka vidne kot poligonalna mreža",
HAS_CAUSE,Pogojen je s “ parketnim ” razporedom tektonskih prepok,Pogojen je
HAS_LOCATION,Pogost v tropskem krasu,v
HAS_CAUSE,"katerega površje je izoblikoval fluvialni proces ( erozija , denudacija )",je izoblikoval
CONTAINS,kras kraških polj in podolijl,
CONTAINS,kjer so kraška polja in povezane suhe doline - podolja - poglavitne kraške značilnosti površja,
HAS_FORM,kjer molijo na površje podolgovati kamni rebraste oblike do enega metra in več,molijo na površje
COMPOSITION_MEDIUM,cela odpornejših skladov,
CONTAINS,"z značilnimi , do 100 in več metrov visokimi vzpetinami , podobnimi stolpom oziroma vitkim piramidam",z značilnimi
HAS_FORM,s širokim portalom,
HAS_FUNCTION,ki ga je lahko izkoriščal človek za zavetje,ga je lahko izkoriščal
CONTAINS,"ki vsebuje nevezano ogljikovo , humozno , dušikovo ali druge kisline",vsebuje
HAS_FUNCTION,ki je sposobna korodirati,je sposobna
HAS_FUNCTION,je še sposobna raztapljati karbonatno kamnino,je še sposobna
COMPOSITION_MEDIUM,sestavljena pretežno iz kalcijevega karbonata,sestavljena pretežno iz
STUDIES,V ožjem smislu veda o jamskem pračloveku,
STUDIES,ki preučuje zveze med človekom in jamo,preučuje
HAS_FORM,V naših jamah običajno nastopa v obliki igličastih kristalov,v obliki
COMPOSITION_MEDIUM,Navadno vsebuje manjšo primes stroncija SrCO3,Navadno vsebuje
HAS_FORM,le da kristalizira rombično,
COMPOSITION_MEDIUM,iste sestave kot kalcit,iste sestave kot
COMPOSITION_MEDIUM,iz kamna ali kosti,iz
DEFINED_AS,Kos predhistoričnega orodja,
HAS_CAUSE,"V ožjem smislu obarvanje ponirajoče vode z namenom , da bi ugotovili njen ponovni iztok",
DEFINED_AS,"vsako določevanje podzemeljskih vodnih zvez s kemičnimi , biološkimi in fizikalnimi sredstvi",
DEFINED_AS,Določevanje sklenjenosti kraške vode,
STUDIES,"o živih bitjih v jamah , v širšem smislu v podzemlju sploh .",
HAS_LOCATION,v jamah,|
HAS_LOCATION,v podzemlju,|
COMPOSITION_MEDIUM,sestavljena v pretežni meri iz aluminijevih hidroksidov,sestavljena v pretežni meri iz
HAS_LOCATION,v vlažni tropski ali subtropski klimi,v
HAS_CAUSE,Ta aluminijeva ruda je rezultat preperevanja apnenca,je rezultat
HAS_FORM,"ki se ji ne vidi dna , “ brez dna ”",
HAS_FORM,bolj globoka kot široka,
HAS_FORM,Navpična ali strma,
HAS_FUNCTION,v katerega ponika voda,v katerega ponika
HAS_FUNCTION,Iz njega voda izvira,
HAS_FUNCTION,v katerem vodna gladina koleba skladno s širšo gladino ( nivojem ) kraške vode in je zato njen kazalec,koleba skladno s
HAS_FORM,Je podobno lijaku in se navzdol oži,Je podobno
HAS_FUNCTION,"v katerem z uvajanjem posebne gmote zapolnijo votline v kraškem podzemlju in ga napravijo neprepustnega , da preprečuje vodni odtok iz vodnega bazena .",
HAS_FORM,Navpični sloj,
HAS_CAUSE,zaradi jamskih podorov in drugih oblik rušenja skalovja,zaradi
HAS_FORM,pretežno horizontalna podzemeljska votlina,
HAS_FUNCTION,prehodna,
HAS_FORM,vodoravna ali navpična,
CONTAINS,jo v velji meri zapolnjuje stojela voda,
HAS_FUNCTION,ki ima stalni ali obdobni vodni tok,
HAS_FUNCTION,"brez stalnega ali obdobnega vodnega toka , ne glede na prenikajočo vodo",
HAS_FUNCTION,iz katere teče potok ali reka,
HAS_POSITION,Modra špilja na Biševu,
CONTAINS,tako da jo delno ali v celoti zaliva morska voda,
HAS_POSITION,Grotta azzurra pri Capriju,
HAS_CAUSE,nastala na obali zaradi abrazije,zaradi|nastala
HAS_LOCATION,Leži na obali v nivoju morske gladine,Leži na
OCCURS_IN_TIME,se dolgo v poletje zadržuje v jamo zapadli sneg,
HAS_LOCATION,Cesto se odpira pod strmim pobočjem,
CONTAINS,sneg,
HAS_CAUSE,Zato lahko priteka pozimi vanjo hladnejši zunanji zrak,Zato
HAS_FORM,Navadno je žepaste oblike tipa hladnice,oblike
CONTAINS,njej se velji del leta ali trajno zadržujejo ledene gmote,zadržujejo
HAS_FORM,z vhodom iznad glavne votline,
HAS_FORM,žepaste oblike,
CONTAINS,kjer se javljajo na oko vidni kristali kot pomembna sigova tvorba,
CONTAINS,za katero so kapniki značilen množični pojav,
CONTAINS,"tvorbami ( kapniki , ježki ipd . ) iz aragonita",
HAS_CAUSE,nastala pretežno z mehaničnim delovanjem tekoče vode ( erozijo ),nastala pretežno z
HAS_CAUSE,Nastala pretežno s korozijskim procesom,Nastala pretežno s
HAS_FUNCTION,kjer ne delujejo niti evakuacijski niti akumulacijski procesi,
HAS_CAUSE,nastanejo s podiranjem stropa,nastanejo s
HAS_LOCATION,površinske,
OCCURS_IN_TIME,se zniža gladina podzemne vode,se zniža
HAS_LOCATION,v podzemnih jamah z aktivnim vodnim tokom,v
HAS_CAUSE,nastanejo z udori stropov,nastanejo z
HAS_LOCATION,nad podzemnimi votlinami,nad
HAS_SIZE,različnih dimenzij,
HAS_FORM,oblik,
HAS_CAUSE,so nastale z udori stropov,so nastale z
HAS_FORM,zaprte,
HAS_LOCATION,nad podzemnimi votlinami,nad
HAS_FORM,različnih,
HAS_CAUSE,so nastale zaradi rušenja stropa,so nastale zaradi
AFFECTS,zato imajo strma pobočja,
HAS_SIZE,večje,
HAS_LOCATION,površinske,
HAS_CAUSE,so nastale s spelogenetskimi procesi,so nastale s
HAS_CAUSE,ima svoj izvor v podzemnem dogajanju,ima svoj izvor v
HAS_LOCATION,površinska,
HAS_SIZE,velikosti,
HAS_FORM,različnih oblik,
HAS_SIZE,različnih,
HAS_CAUSE,"nastanek povezujemo s točkastim vertikalnim odnašanjem kamnine v podzemlje , bodisi z nenadnimi udori nad jamskimi prostori , bodisi s postopnim odnašanjem kamnine nad aktivnimi jamskimi rovi",bodisi z|bodisi s
HAS_LOCATION,na krasu,na
HAS_FORM,zaprte,
HAS_FORM,centrične,
HAS_ATTRIBUTE,kraška hidrologija,
HAS_FORM,sklenjen obod nad razmeroma uravnanim obsežnim dnom,
HAS_FORM,najmanj pol kilometra široka uravnava z višjim obodom,
HAS_CAUSE,korozijska,
HAS_SIZE,s premerom večjim od 5 – 15 milimetrov,s premerom
HAS_CAUSE,jih je izoblikovala tekoča voda s procesom korozije,jih je izoblikovala
HAS_LOCATION,podzemni,
HAS_LOCATION,podzemni,
HAS_CAUSE,jih je naredila skozi kras tekoča voda,jih je naredila
HAS_CAUSE,"nastala kot neposredna ali posredna posledica nadomeščanja trdne faze s tekočo in posledično lete s tekočo , plinasto ali sekundarno trdno fazo",nastala kot
HAS_CAUSE,"ki nastane z odnašanjem matične kamnine , ob delovanju procesov , kijih definiramo kot kraške",nastane z
HAS_CAUSE,"v katerem vladajo v svežnju oz . kanalih stalne hidrodinamske razmere , na katere se oblikovanje kanala odziva na značilen način",
HAS_FUNCTION,v katerem lahko nastanejo ali so že nastale kraške votline,
DEFINED_AS,"Sinonim za individualno , človeku prehodno kraško votlino , modrejši izraz ja jamo",
DEFINED_AS,"Produkt kateregakoli procesa , ki dovaja trdno fazo v kraško votlino in nadomešča speleogen",
HAS_LOCATION,v epifreatični coni,v
HAS_FORM,ki po obliki spominja na predor,po obliki spominja na
HAS_CAUSE,"Nastane za ponori večjih alogenih tokov , v manjšem obsegu kot učinek Gospo­daričevega efekta v avtigenem okolju",Nastane
HAS_FORM,pri katerem se tokovnice prepletajo,
HAS_FORM,Vrtinčast,
HAS_CAUSE,"To se dogaja pri hitrostih , večjih od 10 · 3 m / s",To se dogaja
HAS_LOCATION,Navadno se pojavi v kanalih večjih od 51 O mm,Navadno se pojavi v
HAS_ATTRIBUTE,"Turbulentni tok traja od preboja do paragenetskega praga , pa tudi onkraj njega",traja od
DEFINED_AS,način pretakanja tekočine,
OCCURS_IN_TIME,"Kaže , da se začetje mnogokrat izvrši že v času diageneze",izvrši že v času
DEFINED_AS,"Najzgodnejša speleogenetska faza , ko se "" zapiše "" prihodnji potek kanala ( ov )",
HAS_CAUSE,"Bistveni faktorji začetja še niso povsem znani , zdi pa se , da odločajo večje liološke razlike med skladoma ( transbedding contrast ) , navzočnost pelitov ali navzočnost pirita oz . organske snovi",odločajo
HAS_LOCATION,Praviloma se začetje odvije ob leziki,ob
HAS_FUNCTION,"Tedaj nastane med časom / krajem , kjer doslej ni bilo speleogenetske aktivnosti , laminaren tok",Tedaj nastane
HAS_FUNCTION,kjer se lahko ( ali se je že ) izvrši ( lo ) začetje,izvrši
HAS_FORM,"Terenske raziskave kažejo , da so to jasno določljive lezike , redkeje oblične ploskve",
HAS_LOCATION,v kamninski skladovnici,v
HAS_LOCATION,v navpični steni,v
HAS_FORM,ki nima povezave z mrežo jamskih kanalov,
HAS_LOCATION,med dvema plastema oziroma znotraj plasti,med|znotraj
HAS_CAUSE,Predvsem korozijska,
HAS_LOCATION,v zgornjem delu neprežete cone,
HAS_FORM,Ob stiku z epikrasom so zbirni kanali večkrat spužvasti ( anastomozni ),
HAS_SIZE,manjših dimenzij,
HAS_FUNCTION,"Še razpršeno preniklo ( padavinsko ) vodo zbirajo v večje curke , ki lahko prosto padejo in oblikujejo kamine",zbirajo
HAS_CAUSE,z raztapljanjem ( korozijo ) povsem ali delno strjenega apnenca,
HAS_LOCATION,Zgodnjediagenetski kras nastane vrh sladkovodne leče oz . vzdolž haloklinale v morskih grebenih in atolih,vzdolž|nastane vrh
OCCURS_IN_TIME,nastane v času zgodnje diageneze,
CONTAINS,"Votline zapolni mlajši karbonatni material ( karbonatno blato ) , sparitni kalcit ( kokardne teksture ) , glineni material , pa tudi breče , ki nastanejo s porušenjem stropov teh jam",
HAS_CAUSE,To je lahko posledica nepopolne dolomitizacije apnenca ali pa mehanske neodpornosti dolomita na tektonske poškodbe,je lahko posledica
HAS_CAUSE,"Lastnost dolomita ( kamnine ) , da se v gotovih razmerah ne raztaplja frontalno , temveč parcialno",
HAS_RESULT,po zadnji ledeni dobi sčasoma relativno dvignili nad okolico,
HAS_FUNCTION,so zaščitili apneniško podlago pod sabo pred dežjem in korozijo in,
CONTAINS,"vil , divjih žena , ajdov , velikanov , pritlikavcev , divjakov in podobno",
HAS_FORM,Manjše votline,
HAS_FORM,vodoravno votlino,
HAS_FORM,ki se poglablja navzdol,
HAS_FORM,ki se širi navzdol,
HAS_FORM,kotlasto ali lijakasto,
COMPOSITION_MEDIUM,v apnencu,v
HAS_SIZE,s premerom do enega kilometra širine in globino od nekaj do več sto metrov,s premerom
MEASURES,katastrofalno visoke vode,
MEASURES,spodnjo pa določa gladina vode ob izredni suši,določa
DEFINED_AS,Pas med najvišjo in najnižjo piezometrično vodno gladino,
HAS_LOCATION,je območje aktivnega hidrološkega stika med fluvialnim in kraškim geomorfnim sistemom,
HAS_FORM,vodoravne,
HAS_LOCATION,približno na višini gladine podzemne vode,približno na
HAS_FORM,daljše,
HAS_CAUSE,Rezultat parageneze so,Rezultat
COMPOSITION_MEDIUM,iz kalcijevega karbonata,iz
HAS_SIZE,velike od nekaj milimetrov do nekaj metrov,velike
HAS_ATTRIBUTE,brez vonja in barve,brez
DEFINED_AS,"je proces nastajanja , razvoja in izginjanja jam",
HAS_FUNCTION,predstavlja hrbtenico jamskega sistema,
HAS_FORM,se slepo konča,
HAS_FORM,ki se cepi od glavnega rova ali od dvorane,se cepi od
HAS_FUNCTION,povezuje dve ali več votlin,povezuje
HAS_FORM,značilno obliko,
HAS_CAUSE,je nastala s pretokom vode pod pritiskom ( tlakom ),nastala
HAS_FORM,značilne oblike,
HAS_CAUSE,ki je nastal s pretokom vode s prosto ( nepritisnjeno ) gladino - z gravitacijskim tokom,je nastal s
HAS_LOCATION,na kraškem površju,na
HAS_FORM,"Osamljena , izrazita skala",
HAS_FUNCTION,loči skupaj spadajoče jamske dele,loči
HAS_LOCATION,kjer sega skalni strop v vodo,kjer sega
HAS_LOCATION,v sifonskem koritu,v
HAS_SIZE,Vecja,
CONTAINS,stoječe vode,
HAS_FORM,"Del stropa , ki moli v sifon",ki moli v
COMPOSITION_MEDIUM,kalcijevega karbonata iz zasičene jamske vode,
HAS_ATTRIBUTE,ki se zrači,
HAS_CAUSE,nastal iz tekoče ali mirujoče vode,nastal iz
COMPOSITION_MEDIUM,iz sige,iz
COMPOSITION_MEDIUM,s kalcitno skorjo,
HAS_CAUSE,nastal v stoječi jamski vodi,nastal v
HAS_LOCATION,Odpira se v jami,v
DEFINED_AS,na krasu navadno pokrit vodnjak,
HAS_FUNCTION,Povezuje dva dela jame,Povezuje
HAS_FUNCTION,v katerega se steka voda s strehe ( kapnica ),v katerega se steka
HAS_FUNCTION,Večji rezervoar pitne vode,
HAS_FORM,s cementnimi stenami in dnom,s
HAS_LOCATION,na jamskih stenah ali stropu,na
COMPOSITION_MEDIUM,Pretežno ilovnate,
HAS_FORM,"Delijo jih tudi na točkaste , pasaste , leopardaste , tigraste itd .",
HAS_FORM,"proge , lise , pege in druge razkrojene oblike",
HAS_FORM,podobne črvičastim ekskrementom,podobne
DEFINED_AS,Delovanje kapljajoče vode,
HAS_CAUSE,dolbenje kapnice v sigo ali skalo,
HAS_LOCATION,V jamah,V
HAS_CAUSE,odstranjevanje kalcija iz predmeta ali prsti,
HAS_FORM,pri čemer se zunanja oblika gmote ne izpremeni,
DEFINED_AS,"Odstranjevanje ( izluževanje ) , izpiranje kalcija",
HAS_FUNCTION,"ki so jo zaprli , da bi držala vodo za napajanje drobnice ( ovac )",da bi držala
HAS_SIZE,pomeni meter ali bolj široko,
HAS_FORM,odprto,
HAS_FORM,"ki seka več skladov kamnine , ki obakraj nje niso premaknjeni",
DEFINED_AS,Ozka,
HAS_FUNCTION,iz katerega piha pozimi topel zrak iz kraškega podzemlja,iz katerega piha
HAS_FORM,Opazen je zlasti kot luknja ali kopno mesto v snežni odeji,
HAS_CAUSE,ki nastaja ob določenem vremenu zaradi mešanja hladnejšega zunanjega in toplejšega jamskega zraka,ki nastaja
CONTAINS,z meglo ob vhodu,z
HAS_FORM,Ožji,
HAS_LOCATION,v jamskem stropu,v
HAS_FORM,ki ima zvezo s površjem,
HAS_ATTRIBUTE,ki je vse leto dobro prezračena,
CONTAINS,"Navadno ima dva vhoda v neenaki višini , kar omogoča prepih vse leto",
HAS_FUNCTION,ker vse leto živahno komunicira z zunanjim zrakom,živahno komunicira z
HAS_FORM,navadno v smeri največje strmine na pobočju,navadno v smeri
HAS_FORM,odprta,
COMPOSITION_MEDIUM,pogosta zlasti na dolomitih in dolomitiziranih apnencih,
HAS_SIZE,Plitva,
HAS_SIZE,do nekaj metrov globoka,
COMPOSITION_MEDIUM,"ki jo sestavlja magnezijev karbonat ( MgCO3 ) , navadno s primesjo kalcita",ki jo sestavlja
HAS_ATTRIBUTE,Zaradi krušljivosti ga ponekod imenujejo tudi grintovec,
DEFINED_AS,"za različne površinske vdolbine ( suho dolino , kraško polje ) na Dinarskem krasu",||
HAS_POSITION,Lj . na Dinarskem krasu,
DEFINED_AS,Je internacionalni termin za vrtačo,
HAS_ATTRIBUTE,kaplja z jamskega stropa,
HAS_ATTRIBUTE,počasi premika skozi vodoprepustne skalne gmote,
HAS_LOCATION,v aeracijski coni,v
HAS_LOCATION,je ujeta v kotanjah,
HAS_CAUSE,jo je od navzdolžnega prenikanja odklonil vododržni vložek,
OCCURS_IN_TIME,po upadu vodne gladine,po
DEFINED_AS,Je vsakokratna predpostavljena ploskev,
HAS_LOCATION,v kraškem podzemlju v sistemu veznih posod,v|v
DEFINED_AS,"nivo , od katerega se pretežno vodoravno in prosto pretaka kraška voda proti izvirom ali stoji ( stoječa voda ) v slepih kanalih",
HAS_CAUSE,oscilirata v odvisnosti od vodostaja,v odvisnosti od
HAS_ATTRIBUTE,vlažna,
OCCURS_IN_TIME,periodično,
HAS_FUNCTION,ne sega do stropa in ima prosto gladino,
HAS_CAUSE,se pretaka gravitacijsko,
HAS_LOCATION,v kanalih,
HAS_LOCATION,v kraškem podzemlju,
CONTAINS,v kateri voda trajno zapolnjuje votline,v kateri
HAS_CAUSE,prevladuje pa tlačno pretakanje,
HAS_FUNCTION,Zapolnjuje votline,Zapolnjuje
HAS_LOCATION,v freatični coni,v
HAS_LOCATION,pod piezometričnim nivojem ( nivojem kraške vode,pod
HAS_FUNCTION,stagnira v slepih ali nepovezanih kanalih,
HAS_LOCATION,v freatični coni,v
HAS_LOCATION,v globoki freatični coni,v
HAS_FUNCTION,zapolnjuje vodoprehodne votline pod piezometričnim nivojem,
HAS_FUNCTION,ki razdvaja porečji ali zajezuje podzemeljski vodni tok,razdvaja|zajezuje
HAS_FORM,v obliki vložka,v obliki
HAS_LOCATION,v kraškem ozemlju,v
HAS_FUNCTION,Neprepustna,
HAS_FUNCTION,tako da se v njej zadržuje zimski hlad,zadržuje
HAS_ATTRIBUTE,nadpovprečno hladna,
OCCURS_IN_TIME,poleti,
HAS_CAUSE,ker je žepaste oblike,
HAS_FORM,z enim vhodom iznad votline,
HAS_ATTRIBUTE,po katerem je hoja razmeroma lahka,
HAS_SIZE,enakomerno širok,
HAS_SIZE,visok,
HAS_FORM,osamljeno vzpetinico,
HAS_FORM,grič na ravnini,
HAS_LOCATION,na dnu kraškega polja,na dnu
HAS_ATTRIBUTE,osamljen,
HAS_CAUSE,korozijsko-erozijsko-denudacijski ostanek višjega reliefa,
HAS_LOCATION,v ilovnatem jamskem dnu,
HAS_SIZE,Nekaj centimetrov ali decimetrov visoke,visoke
HAS_CAUSE,ki jih je izdelala kapljajoča voda,ki jih je izdelala
HAS_CAUSE,zaradi vplivov talne odeje v sedanjosti ali preteklosti .,zaradi
HAS_FORM,z zaobljenimi žlebovi in vmesnimi hrbti,
HAS_FORM,Z neprepustnimi sedimenti prekrita,prekrita
HAS_ATTRIBUTE,ki ni v skladu s procesi v novem okolju .,
CONTAINS,gosto s škrapljami posejano,
HAS_FORM,"Zvegano , kraškemu površju podobno",podobno
HAS_LOCATION,"v vrhnjem sloju nad trajno zmrlo podlago ( permafrostom , merzloto ) .",
HAS_LOCATION,na stalno zmrznjenih tleh ( permafrostu ),na
HAS_CAUSE,nastaja zaradi neenakomernega sezonskega odtajanja in zmrzovanja vode,nastaja zaradi
DEFINED_AS,količina raztopljenih soli v enem litru vode,
DEFINED_AS,vsota kalcijevih in magnezijevih ionov v enem litru vode .,
DEFINED_AS,"delež magnezijevih in kalcijevih ionov , ki so vezani na ogljikovo kislino",
HAS_FUNCTION,za varno oranje,za
DEFINED_AS,Odbijanje in odstranjevanje kamnov,
HAS_LOCATION,na travnih površinah v gladini prsti,na
HAS_LOCATION,na ornih zemljiščih v globini lemeža,na
HAS_FUNCTION,za košnjo,za
HAS_LOCATION,ki živi le v podzemlju,v
HAS_LOCATION,ki živi obdobno na zemeljskem površju ( npr . netopir,na
HAS_LOCATION,"se v jamo samo zateče , biva v njej le obdobno",v
CONTAINS,s tekočo vodo na dnu,s
HAS_FORM,Udorna vrtača,
HAS_CAUSE,z očitno udornim nastankom,nastankom|z
HAS_LOCATION,nad votlino,nad
HAS_CAUSE,da je nastala ali se poglobila z ugrezanjem,je nastala
HAS_LOCATION,v sipkih sedimentih,
HAS_FORM,depresija,
HAS_SIZE,manjša,
HAS_FORM,Skledasta,
HAS_SIZE,navadno manjša od kraškega polja in večja od vrtače,manjša od|večja od
HAS_FORM,"z neravnim , običajno z vrtacami razčlenjenim dnom",
HAS_CAUSE,pod vplivom organizmov,pod vplivom
HAS_CAUSE,"mešanice temperaturno ali kemično neenakih vod , ki je postala po mešanju ponovno agresivna",
HAS_RESULT,ki jih poglablja,
HAS_LOCATION,značilna za prepustna dna kraških polj in slepih dolin,značilna za
HAS_CAUSE,"ki nastane zaradi premikanja vode skozi aluvialno odejo , bogato z ogljikovim dioksidom",nastane zaradi
COMPOSITION_MEDIUM,karbonatne podlage,
COMPOSITION_MEDIUM,karbonatne kamnine,
HAS_LOCATION,neposredno pod prstjo,neposredno pod
COMPOSITION_MEDIUM,karbonatne kamnine,
HAS_RESULT,"Robna korozija razširja kraška polja , slepe doline , vrtače in druge kotanje z naplavljenim dnom",razširja
HAS_LOCATION,ob robu neprepustne naplavine,ob robu
HAS_RESULT,zaradi katere so stene kotanj ali kraških polj na kraju ponikanja korozijsko izpodžrte,zaradi katere so
HAS_RESULT,enakomerno znižuje površje,znižuje
HAS_ATTRIBUTE,ki enakomerno učinkuje na površje,
HAS_RESULT,ustvarja gladke skalne ploskve,ustvarja
HAS_RESULT,lahko ustvarja kotanje,ustvarja
