TERM,CATEGORY
voids,D.1 Abiotic
water tracing,E.2 Method
cave floor,A.2 Underground landform
hole,D.1 Abiotic
well,A.3 Hydrological form
karst,C. Geome
running stream,D.1 Abiotic
active cave,A.2 Underground landform
Cave,A.2 Underground landform
active cave,A.2 Underground landform
live cave,A.2 Underground landform
Cave,A.2 Underground landform
speleothems,A.2 Underground landform
aggressive water,D.1 Abiotic
carbon dioxide,D.1 Abiotic
limestone,D.1 Abiotic
rocks,D.1 Abiotic
dissolve,B.4 Transformation
acids,D.1 Abiotic
Water,D.1 Abiotic
dolomite,D.1 Abiotic
solution - sculptured rock,A.1 Surface landform
tubular passages,D.1 Abiotic
holes,D.1 Abiotic
anastomosis,A.2 Underground landform
network,D.3 Property
passages,D.1 Abiotic
cave,A.2 Underground landform
labryrinth,D.1 Abiotic
cave flower,A.2 Underground landform
cave formation,A.2 Underground landform
aragonite,D.1 Abiotic
anthodite,A.2 Underground landform
gypsum,D.1 Abiotic
masses,D.1 Abiotic
crystals,D.1 Abiotic
limestone cliffs,A.1 Surface landform
apron,D.1 Abiotic
flowstone,D.1 Abiotic
caves,A.2 Underground landform
rock,D.1 Abiotic
ground-water,D.1 Abiotic
spring,D.1 Abiotic
well,D.1 Abiotic
aquifer,C. Geome
water,D.1 Abiotic
reservoir,D.1 Abiotic
calcium carbonate,D.1 Abiotic
aragonite,D.1 Abiotic
mineral,D.1 Abiotic
CaCO2,D.1 Abiotic
pinnacle karst,C. Geome
New Guinea,D.3.1 Geolocation
relief,D.1 Abiotic
ridges,D.1 Abiotic
corridors,D.1 Abiotic
slopes,D.1 Abiotic
landscape,D.1 Abiotic
arete,C. Geome
depressions,A.1 Surface landform
water level,D.3 Property
rising,B.3 Addition
cave,A.2 Underground landform
backflooding,B. Process
discharge,D.1 Abiotic
passage,D.1 Abiotic
flowstone,D.1 Abiotic
caves,D.1 Abiotic
roofs,D.1 Abiotic
walls,D.1 Abiotic
drapery,A.2 Underground landform
bands,D.1 Abiotic
bacon,A.2 Underground landform
curtain,A.2 Underground landform
blanket,A.2 Underground landform
projection,D.1 Abiotic
persons,D.2 Biotic
balcony,A.2 Underground landform
cave,A.2 Underground landform
wall,D.1 Abiotic
sand grains,D.1 Abiotic
beach standstone,D.1 Abiotic
calcium carbonate,D.1 Abiotic
minerals,D.1 Abiotic
rock,D.1 Abiotic
beds,D.1 Abiotic
beachrock,D.1 Abiotic
bedding plane,D.1 Abiotic
bedding-plane cave,A.2 Underground landform
beds,D.1 Abiotic
corrosion,B.4 Transformation
passage,A.2 Underground landform
cave,A.2 Underground landform
floor,D.1 Abiotic
bridge,D.3 Property
blade,A.2 Underground landform
projection,D.1 Abiotic
roof,D.1 Abiotic
partition,D.3 Property
wall,D.1 Abiotic
tectonic depression,D.1 Abiotic
karst processes,B. Process
tecto-karstic hollow,A.1 Surface landform
basin,D.1 Abiotic
closed depressions,A.1 Surface landform
karst terrains,C. Geome
Poljes,A.1 Surface landform
steep slopes,D.1 Abiotic
karst depression,A.1 Surface landform
polje,A.1 Surface landform
centrifugal stream network,A.3 Hydrological form
peripheral polje,A.1 Surface landform
impermeable rocks,D.1 Abiotic
depression,A.1 Surface landform
vertical oscillations,B.1 Movement
base-level polje,A.1 Surface landform
water table,D.1 Abiotic
karst rocks,D.1 Abiotic
inundated,B.4 Transformation
polje,A.1 Surface landform
littoral cave,A.2 Underground landform
tides,D.1 Abiotic
cave,A.2 Underground landform
wave erosion,B.2 Loss
coastal areas,C. Geome
Sea caves,A.2 Underground landform
exposed bedrock,D.1 Abiotic
caves,A.2 Underground landform
flank margin caves,A.2 Underground landform
oval rooms,A.2 Underground landform
freshwater lens,D.1 Abiotic
thinning margin,D.3 Property
chambers,A.2 Underground landform
Earth ’ s surface,C. Geome
Blue holes,A.2 Underground landform
subsurface voids,A.2 Underground landform
cave passages,A.2 Underground landform
tidally-influenced waters,D.1 Abiotic
iron oxides,D.1 Abiotic
hydroxides,D.1 Abiotic
Limonite,D.1 Abiotic
quartz sand,D.1 Abiotic
sandstone,D.1 Abiotic
erosion,B.2 Loss
rock,D.1 Abiotic
solutional processes,B.2 Loss
solutional processes,B.4 Transformation
Karst forms,A. Landform
carbonate rocks,D.1 Abiotic
Dinaric karst,D.3.1 Geolocation
Collapse dolines,A.1 Surface landform
caves,A.2 Underground landform
karst water drainage,B.1 Movement
solutional processes,B.2 Loss
Karst poljes,A.1 Surface landform
depressions,A.1 Surface landform
old river streams,D.1 Abiotic
dry valleys,A.1 Surface landform
karst,C. Geome
sediment,D.1 Abiotic
breccia,D.1 Abiotic
rock,D.1 Abiotic
canopy,A.2 Underground landform
flowstone,D.1 Abiotic
speleothem,A.2 Underground landform
stalactites,A.2 Underground landform
karst area,C. Geome
canyon,A.1 Surface landform
karst,C. Geome
valley,D.1 Abiotic
river,D.1 Abiotic
rocks,D.1 Abiotic
cave passage,A.2 Underground landform
water,D.1 Abiotic
canyon,A.2 Underground landform
roof,D.1 Abiotic
cave,A.2 Underground landform
rock,D.1 Abiotic
cavity,D.1 Abiotic
cave,A.2 Underground landform
sediment,D.1 Abiotic
cave blister,A.2 Underground landform
calcite,D.1 Abiotic
cave coral,A.2 Underground landform
speleothems,A.2 Underground landform
cave earth,D.1 Abiotic
sand,D.1 Abiotic
cave,A.2 Underground landform
humus,D.1 Abiotic
cave organisms,D.2 Biotic
cave ecology,E.2 Method
climatic influences,D.3 Property
energy,D.3 Property
interaction,B. Process
study,E.2 Method
cave fill,D.1 Abiotic
bedrock floor,D.1 Abiotic
cave,A.2 Underground landform
block,B. Process
sand,D.1 Abiotic
day,D.1 Abiotic
silt,D.1 Abiotic
gravel,D.1 Abiotic
cave pearl,A.2 Underground landform
hollows,D.1 Abiotic
speleothem,A.2 Underground landform
drips,B.1 Movement
water,D.1 Abiotic
cave spring,A.3 Hydrological form
cave,A.2 Underground landform
sediment,D.1 Abiotic
rock,D.1 Abiotic
cave system,A.2 Underground landform
passages,D.1 Abiotic
caves,A.2 Underground landform
chambers,D.1 Abiotic
passages,D.1 Abiotic
cavern,A.2 Underground landform
chamber,D.1 Abiotic
cave,A.2 Underground landform
doline,A.1 Surface landform
cenote,A.1 Surface landform
half tube,D.1 Abiotic
ceiling tube,A.2 Underground landform
cave,A.2 Underground landform
cave roof,D.1 Abiotic
water tabl,D.1 Abiotic
well,D.1 Abiotic
Yucatan,D.3.1 Geolocation
collapse,D.1 Abiotic
cenote,A.1 Surface landform
floating microorganisms,D.2 Biotic
calcite,D.1 Abiotic
chalk,D.1 Abiotic
limestone,D.1 Abiotic
cave system,A.2 Underground landform
cavity,D.1 Abiotic
chamber,A.2 Underground landform
cave,A.2 Underground landform
earth's surface,D.1 Abiotic
gorge,D.1 Abiotic
canyon,A.1 Surface landform
abyss,D.1 Abiotic
chasm,A.1 Surface landform
dome pit,A.2 Underground landform
aven,A.2 Underground landform
chimney,A.2 Underground landform
cave,A.2 Underground landform
shaft,D.1 Abiotic
cave passage,A.2 Underground landform
rock,D.1 Abiotic
chockstone,A.2 Underground landform
cave fill,D.1 Abiotic
Rock debris,D.1 Abiotic
choke,D.1 Abiotic
passage,A.2 Underground landform
cave,A.2 Underground landform
trough,D.1 Abiotic
channel,D.1 Abiotic
chute,A.2 Underground landform
wet clay,D.1 Abiotic
clay fill,D.1 Abiotic
cave passage,A.2 Underground landform
Dry,D.1 Abiotic
deposition of flowstone,B.3 Addition
phreatic solution,B.2 Loss
time interval,D.3 Property
clay filling,B. Process
cave,A.2 Underground landform
clint,A.1 Surface landform
Flachkarren,A.1 Surface landform
bedding,D.1 Abiotic
limestone,D.1 Abiotic
pavement,D.1 Abiotic
topographic basin,D.1 Abiotic
closed depression,A.1 Surface landform
drainage,D.3 Property
closed depressions,A.1 Surface landform
Cockpits,A.1 Surface landform
floor,D.1 Abiotic
depression,D.1 Abiotic
cockpit,A.1 Surface landform
Kegelkarst,C. Geome
Halbkugel - karst,C. Geome
cone karst,C. Geome
tower karst,C. Geome
cockpit karst,C. Geome
karst topography,C. Geome
Spitzkegelkarst,C. Geome
Kegelkarst,C. Geome
hills,D.1 Abiotic
depressions,D.1 Abiotic
semiarid areas,C. Geome
limestone,D.1 Abiotic
arid,C. Geome
rill,A.1 Surface landform
groove,D.1 Abiotic
rock surface,D.1 Abiotic
grooves,D.1 Abiotic
Rillenstein,A.1 Surface landform
pitting,D.1 Abiotic
rimstone,D.1 Abiotic
deposits,D.1 Abiotic
basins,D.1 Abiotic
caves,A.2 Underground landform
rimstone dam,D.1 Abiotic
rimstone barrier,D.1 Abiotic
rimstone barrage,D.1 Abiotic
deposit,D.1 Abiotic
caves,A.2 Underground landform
springs,A.3 Hydrological form
gour,D.1 Abiotic
rimstone pool,A.3 Hydrological form
Pool,D.1 Abiotic
Spring,D.1 Abiotic
rise,A.3 Hydrological form
mass of bedrock,D.1 Abiotic
rock pillar,A.2 Underground landform
cave,A.2 Underground landform
rock pinnacle,A.2 Underground landform
cave,A.2 Underground landform
bedrock,D.1 Abiotic
rock shelter,A.2 Underground landform
streams,D.1 Abiotic
sand,D.1 Abiotic
cave,A.2 Underground landform
abrasion,B.2 Loss
roof crust,A.2 Underground landform
Flowstone,D.1 Abiotic
caves,A.2 Underground landform
water,D.1 Abiotic
cave system,A.2 Underground landform
passage,A.2 Underground landform
chamber,A.2 Underground landform
room,A.2 Underground landform
sand stalagmite,A.2 Underground landform
stalagmite,A.2 Underground landform
sand,D.1 Abiotic
sandstone,D.1 Abiotic
calcite,D.1 Abiotic
scaling chip,D.1 Abiotic
limestone,D.1 Abiotic
eave,A.2 Underground landform
impure limestone,D.1 Abiotic
scaling plate,D.1 Abiotic
rock,D.1 Abiotic
cave,A.2 Underground landform
scallop,A.2 Underground landform
streambeds,D.1 Abiotic
caves,A.2 Underground landform
flutes,A.2 Underground landform
hollow,D.1 Abiotic
sea cave,A.3 Hydrological form
cleft,D.1 Abiotic
cave,A.2 Underground landform
bedding plane,D.1 Abiotic
struga,A.1 Surface landform
corridor,D.1 Abiotic
subjacent karst,C. Geome
noncarbonate rocks,D.1 Abiotic
Karst landscape,C. Geome
beds of lava,D.1 Abiotic
cavernous limestone,D.1 Abiotic
submarine spring,A.3 Hydrological form
emergence,D.1 Abiotic
collapse of caves,B.1 Movement
subterranean solution,B.4 Transformation
subsidence,B.4 Transformation
Lowering,B.4 Transformation
subterranean river,A.3 Hydrological form
stream,D.1 Abiotic
sump,A.2 Underground landform
water loss,D.3 Property
swallow hole,A.3 Hydrological form
swallow hole,A.3 Hydrological form
blind valley,A.1 Surface landform
closed depression,A.1 Surface landform
swallet,A.3 Hydrological form
productior of karst phenomena,B.4 Transformation
eolian calcarenite,D.1 Abiotic
syngenetic karst,C. Geome
lithification,B.4 Transformation
Karst,C. Geome
terraced flowstone,D.1 Abiotic
pools,D.1 Abiotic
cave system,A.2 Underground landform
threshold,D.3 Property
light,D.1 Abiotic
through cave,A.2 Underground landform
Durchgangshohle,A.2 Underground landform
stream,D.1 Abiotic
Cave,A.2 Underground landform
doline .,A.1 Surface landform
closed depression,A.1 Surface landform
torca,A.1 Surface landform
torricellian chamber,A.2 Underground landform
atmospheric pressure,D.1 Abiotic
water,D.1 Abiotic
cave,A.2 Underground landform
chamber,D.1 Abiotic
limestone,D.1 Abiotic
buttes,D.1 Abiotic
tourelle,A.1 Surface landform
pitons,A.1 Surface landform
tower karst,C. Geome
Karst topography,C. Geome
limestone hills,D.1 Abiotic
Turmkarst,C. Geome
cedar trees,D.2 Biotic
Limestone pavement,D.1 Abiotic
glade,A.4 Other
limestone pavement,D.1 Abiotic
solution,B.2 Loss
Kluftkarren,A.1 Surface landform
fissure,D.1 Abiotic
gryke,A.1 Surface landform
grike,A.1 Surface landform
cave,A.2 Underground landform
grotto,A.2 Underground landform
cave system,A.2 Underground landform
grotto,A.2 Underground landform
closed depression,A. Landform
stream,D.1 Abiotic
gulf,A.1 Surface landform
calcium sulfate,D.1 Abiotic
mineral,D.1 Abiotic
gypsum,D.1 Abiotic
Tropical karst topography,C. Geome
Kegelkarst,C. Geome
Halbkugelkarst,C. Geome
depressions,D.1 Abiotic
hills,D.1 Abiotic
Kugelkarst,C. Geome
Blind valley,A.1 Surface landform
swallow hole,A.3 Hydrological form
half-blind valley,A.1 Surface landform
stream,D.1 Abiotic
half tube,A.2 Underground landform
roof,D.1 Abiotic
cave,A.2 Underground landform
hall,A.2 Underground landform
cave,A.2 Underground landform
chamber,A.2 Underground landform
hanging blade,A.2 Underground landform
blade,A.2 Underground landform
haystack hill,A.1 Surface landform
mogote,A.1 Surface landform
hill,D.1 Abiotic
solution,B.2 Loss
calcium carbonate,D.1 Abiotic
eccentric stalactite,A.2 Underground landform
helictite,A.2 Underground landform
heligmite,A.2 Underground landform
stalagmite,A.2 Underground landform
deposits of limestone,D.1 Abiotic
Dinaric Karst,D.3.1 Geolocation
cave systems,A.2 Underground landform
deep ponors,A.3 Hydrological form
bare surfaces,D.1 Abiotic
Karren,A.1 Surface landform
holokarst,C. Geome
poljes,A.1 Surface landform
dolines,A.1 Surface landform
Slovenia,D.3.1 Geolocation
uvalas,A.1 Surface landform
Karst inselberg,A.1 Surface landform
mogote,A.1 Surface landform
limestone,D.1 Abiotic
poljes,A.1 Surface landform
hum,A.1 Surface landform
perennial ice,D.1 Abiotic
ice cave,A.2 Underground landform
lava,D.1 Abiotic
limestone,D.1 Abiotic
near-surface evaporation,B.2 Loss
water table,D.1 Abiotic
carbonate deposits,D.1 Abiotic
arid lands,D.1 Abiotic
groundwater,D.1 Abiotic
Calcretes,D.1 Abiotic
troglobiotic species,D.2 Biotic
wave action,B. Process
sea coast,D.1 Abiotic
marginal cave,A.2 Underground landform
salinity,D.3 Property
limnic,D.3 Property
halocline,D.1 Abiotic
polyhaline,D.3 Property
glacier,D.1 Abiotic
snow,D.1 Abiotic
Glaciers,D.1 Abiotic
buries,B.4 Transformation
solution porosity,D.3 Property
Denuded karst,C. Geome
intrastratal karst,C. Geome
soluble rock,D.1 Abiotic
Open karst,C. Geome
soluble rock,D.1 Abiotic
intrastratal karstification,B.4 Transformation
karst,C. Geome
exposure,B.1 Movement
Gypsum needles,A.1 Surface landform
crystals,D.1 Abiotic
caves,A.2 Underground landform
tens of centimeters,D.3 Property
hundreds of micrometers,D.3 Property
cave cotton,D.1 Abiotic
porous media aquifers,C. Geome
pores,D.1 Abiotic
water,D.1 Abiotic
storage,D.3 Property
bulk rock,D.1 Abiotic
Porosity,D.3 Property
pores,D.1 Abiotic
conduit systems,C. Geome
Karst springs,A.3 Hydrological form
outlets,A. Landform
draining,B.1 Movement
hypogene karst,C. Geome
Hydrothermal karst,C. Geome
soluble rocks,D.1 Abiotic
Network caves,A.2 Underground landform
fractures,D.1 Abiotic
widening,B.4 Transformation
passages,D.1 Abiotic
opaque ice,D.1 Abiotic
ice stalagmite,A.2 Underground landform
ice knobs,D.1 Abiotic
bamboo,A.2 Underground landform
thermoindicator,A.2 Underground landform
Longitudinal rills,A.1 Surface landform
flows down,B.1 Movement
rock face,D.1 Abiotic
water film,D.1 Abiotic
grooves,D.1 Abiotic
flutes,A.1 Surface landform
( CH O ) n,D.1 Abiotic
geological processes,B. Process
Karst process,B. Process
organic carbon,D.1 Abiotic
lithosphere,C. Geome
hydrosphere,C. Geome
HCO,D.1 Abiotic
transformation,B.4 Transformation
CaCO,D.1 Abiotic
atmosphere,C. Geome
CO,D.1 Abiotic
biosphere,C. Geome
CO3,D.1 Abiotic
carbon,D.1 Abiotic
MgCO,D.1 Abiotic
CH,D.1 Abiotic
movement,B.1 Movement
Karst springs,A.3 Hydrological form
ecotones,D.1 Abiotic
boundaries,D.3 Property
calcite dissolution,B.4 Transformation
carbonate reactions,B. Process
carbonate formation,B.4 Transformation
karst regions,C. Geome
tufa formation,B.4 Transformation
Gypsum crusts,A.1 Surface landform
snottites,D.2 Biotic
biofilms,D.2 Biotic
substrate,D.1 Abiotic
corrosion,B.4 Transformation
secondary porosity,B.4 Transformation
hydraulic conductivity,D.3 Property
silicification,B.4 Transformation
volume,D.3 Property
dolomitization,B. Process
epigenic karst systems,C. Geome
vadose critical zone,C. Geome
subsurface environments,D.1 Abiotic
boundary,D.3 Property
epikarst,C. Geome
surface,D.1 Abiotic
river - alluvial aquifer system,C. Geome
river - alluvial aquifer system,A.3 Hydrological form
hyporheic zone,C. Geome
surface water,D.1 Abiotic
lateral extent,D.3 Property
groundwater,D.1 Abiotic
zone,D.1 Abiotic
thickness,D.3 Property
organic matter,D.2 Biotic
hyporheic zone,C. Geome
animals,D.2 Biotic
flux,B.1 Movement
zone,D.1 Abiotic
processing,B. Process
cave sediment,A.4 Other
quartz grains,D.1 Abiotic
Sand,A.4 Other
iron minerals,D.1 Abiotic
springs,D.1 Abiotic
mineral,D.1 Abiotic
precipitate,D.1 Abiotic
oxidation,B.4 Transformation
Goethite,D.1 Abiotic
marshes,D.1 Abiotic
condensed water,D.1 Abiotic
flowstone,D.1 Abiotic
coatings,D.1 Abiotic
canopies,D.1 Abiotic
waterfalls,D.1 Abiotic
karstified section,C. Geome
Lowland,C. Geome
hills,D.1 Abiotic
fluvial karst forms,A.1 Surface landform
land,D.1 Abiotic
mesoforms,A.1 Surface landform
dolines,A.1 Surface landform
shallow niches,D.1 Abiotic
eddies,A.3 Hydrological form
Scallops,A.2 Underground landform
eddies,B.1 Movement
shaft,A.2 Underground landform
passage,D.1 Abiotic
cave,A.2 Underground landform
shake,A.1 Surface landform
shakehole,A.1 Surface landform
doline,A.1 Surface landform
subsidence,B.4 Transformation
shakehole,A.1 Surface landform
shake,A.1 Surface landform
alluvium,D.1 Abiotic
compaction,B.4 Transformation
Hole,D.1 Abiotic
subsidence,B.4 Transformation
solution,B.4 Transformation
water .,D.1 Abiotic
calcium carbonate,D.1 Abiotic
walls,D.1 Abiotic
benches,D.1 Abiotic
shawl,A.2 Underground landform
curtain,A.2 Underground landform
terraces,D.1 Abiotic
sheet,D.1 Abiotic
shield,A.2 Underground landform
speleothem,A.2 Underground landform
closed depressions,A.1 Surface landform
sink,A.1 Surface landform
sinkhole,A.1 Surface landform
closed depressions,A.1 Surface landform
sinkhole plain,C. Geome
drainage,D.3 Property
Plain,D.1 Abiotic
closed depression,A.1 Surface landform
clay floor,D.1 Abiotic
sinkhole pond,A.3 Hydrological form
water table,D.1 Abiotic
depression,A.1 Surface landform
lake,D.1 Abiotic
limestone,D.1 Abiotic
sinking creek,A.3 Hydrological form
stream,D.1 Abiotic
mineral spring,D.1 Abiotic
mineral precipitate,D.1 Abiotic
calcium carbonate,D.1 Abiotic
silica,D.1 Abiotic
sinter,D.1 Abiotic
cave passage,A.2 Underground landform
water surface,D.1 Abiotic
water,D.1 Abiotic
siphon,A.2 Underground landform
ceiling,D.1 Abiotic
cave floor,D.1 Abiotic
slump pit,D.1 Abiotic
hollow,D.1 Abiotic
erosion,B.2 Loss
bare limestone,D.1 Abiotic
solution pan,A.1 Surface landform
Opferkessel,A.1 Surface landform
Kamenitza,A.1 Surface landform
tinajita,A.1 Surface landform
basin,D.1 Abiotic
panhole,A.1 Surface landform
solution pipe,A.1 Surface landform
hole,D.1 Abiotic
solution,B.4 Transformation
debris,D.1 Abiotic
limestone,D.1 Abiotic
shafts,D.1 Abiotic
cave,A.2 Underground landform
sotano,A.2 Underground landform
natural well,A.3 Hydrological form
limestone,D.1 Abiotic
shaft,D.1 Abiotic
cave system,A.2 Underground landform
network,A.2 Underground landform
erosion,B.2 Loss
nip,A.4 Other
solution,B.2 Loss
outflow cave,A.2 Underground landform
effluent cave,A.2 Underground landform
Cave,A.2 Underground landform
rock,D.1 Abiotic
sediments,D.1 Abiotic
paleokarst,C. Geome
calcium carbonate,D.1 Abiotic
solution,B.4 Transformation
palette,A.2 Underground landform
partition,A.2 Underground landform
pepino hill,A.1 Surface landform
karst action,B. Process
hill,D.1 Abiotic
phreatic water,A.3 Hydrological form
phreas,A.3 Hydrological form
water,D.1 Abiotic
phreatic zone,C. Geome
solution,B.2 Loss
pillar,A. Landform
stalactitestalagmite,A.2 Underground landform
column,A.2 Underground landform
pillar,A.2 Underground landform
roof of a cave,A.2 Underground landform
stalagmite,A.2 Underground landform
pillar,A.2 Underground landform
water,D.1 Abiotic
piping,B. Process
pit,A.2 Underground landform
circular,D.3 Property
piton,A.1 Surface landform
karst spring,A.3 Hydrological form
limestone,D.1 Abiotic
karst topography,C. Geome
karst valley,A.1 Surface landform
karst valley,A.1 Surface landform
collapse,B.1 Movement
subterranean river,A.3 Hydrological form
karst window,A.1 Surface landform
karst window,A.1 Surface landform
dolines,A.1 Surface landform
karstification,B.4 Transformation
shafts,A.2 Underground landform
Karren,A.1 Surface landform
caves,A.2 Underground landform
mogotes,A.1 Surface landform
karstland,C. Geome
katavothron,A.1 Surface landform
karst valleys,A.1 Surface landform
Kegelkarst,C. Geome
cave,A.2 Underground landform
keyhole,A.2 Underground landform
cave coral,A.2 Underground landform
Speleothem,A.2 Underground landform
knobstone,A.2 Underground landform
kras,C. Geome
krš,C. Geome
level,A.2 Underground landform
passages,D.1 Abiotic
level,D.3 Property
light hole,A.1 Surface landform
calcium carbonate,D.1 Abiotic
limestone,D.1 Abiotic
cave,A.2 Underground landform
cavity,D.1 Abiotic
chamber,A.2 Underground landform
cave,A.2 Underground landform
fill,D.1 Abiotic
debris,D.1 Abiotic
choke,D.1 Abiotic
column,A.2 Underground landform
speleothem,A.2 Underground landform
bedrock,D.1 Abiotic
stalagmite,A.2 Underground landform
stalactite,A.2 Underground landform
hydrostatic pressure,D.3 Property
stream course,D.1 Abiotic
water,D.1 Abiotic
conduit,A.3 Hydrological form
passage,D.1 Abiotic
wearing away,B.2 Loss
corrosion,B.2 Loss
bedrock,D.1 Abiotic
sediment,D.1 Abiotic
water,D.1 Abiotic
resonant,D.3 Property
speleothem,A.2 Underground landform
curtain,A.2 Underground landform
translucent,D.3 Property
dark zone,D.3 Property
cave,A.2 Underground landform
extracting energy,B. Process
bacteria,D.2 Biotic
decomposers,D.2 Biotic
fungi,D.2 Biotic
"conical ,",D.3 Property
cylindrical,D.3 Property
doline,A.1 Surface landform
draining,B. Process
dish-shaped,D.3 Property
depression,D.1 Abiotic
karst,C. Geome
bowl,D.3 Property
double carbonate,D.1 Abiotic
magnesium,D.1 Abiotic
dolomite,D.1 Abiotic
mineral,D.1 Abiotic
calcium,D.1 Abiotic
salt weathering,B.4 Transformation
hollow,D.1 Abiotic
breakdown,B.1 Movement
dome,A.2 Underground landform
cave,A.2 Underground landform
cave floor,A.2 Underground landform
driphole,A.2 Underground landform
water,D.1 Abiotic
hole,D.1 Abiotic
drips,B.1 Movement
cave,A.2 Underground landform
dripline,A.2 Underground landform
cave roofs,A.2 Underground landform
dripstone,D.1 Abiotic
calcite,D.1 Abiotic
deposit,D.1 Abiotic
dead cave,A.2 Underground landform
dry cave,A.2 Underground landform
cave,A.2 Underground landform
stream,A.3 Hydrological form
movement of sediments,B.1 Movement
Colluvial transport,B.1 Movement
water,D.1 Abiotic
cave,A.2 Underground landform
ceiling,D.1 Abiotic
Stalactites,A.2 Underground landform
Stalagmitic flowstones,A.2 Underground landform
stalactites,A.2 Underground landform
stalagmite,A.2 Underground landform
Soda straws,A.2 Underground landform
axial feeding,B.3 Addition
speleothems,A.2 Underground landform
growth,B.3 Addition
stalactite,A.2 Underground landform
Stalagmites,A.2 Underground landform
surface water,D.1 Abiotic
drainage,B.1 Movement
solution,B.4 Transformation
bedrock,D.1 Abiotic
sinkhole,A.1 Surface landform
swallow holes,A.3 Hydrological form
sinking stream,A.3 Hydrological form
ponors,A.3 Hydrological form
underground channelóin,D.1 Abiotic
stream bed,D.1 Abiotic
Swallow holes,A.3 Hydrological form
sinkholes,A.1 Surface landform
karstic terrain,C. Geome
large plain,D.1 Abiotic
poljes,A.1 Surface landform
polje,A.1 Surface landform
Slovenia,D.3.1 Geolocation
field,D.1 Abiotic
tower,A.1 Surface landform
cone,A.1 Surface landform
piton,A.1 Surface landform
hum,A.1 Surface landform
turm,A.1 Surface landform
mogote,A.1 Surface landform
pepino,A.1 Surface landform
Breccia pipes,A.1 Surface landform
interstratal dissolution,B.2 Loss
gypsum karst,C. Geome
stoping,B.1 Movement
Gypsum tumuli,A.1 Surface landform
hollow domes,D.1 Abiotic
gypsum,D.1 Abiotic
bubbles,A.1 Surface landform
tents,A.1 Surface landform
Clasts,D.1 Abiotic
microrills,A.1 Surface landform
rillensteine,D.1 Abiotic
Solution runnels,A.1 Surface landform
Hortonian channels,D.1 Abiotic
carbonate rocks,D.1 Abiotic
Solution dolines,A.1 Surface landform
"Mount Kaijende , New Guinea",D.3.1 Geolocation
small-scale landform,D.1 Abiotic
Gunung Api,D.3.1 Geolocation
Pinnacle karst,A.1 Surface landform
subtropics,D.3.1 Geolocation
tropics,D.3.1 Geolocation
Mulu,D.3.1 Geolocation
Caves,A.2 Underground landform
sediments,D.1 Abiotic
deposits,D.1 Abiotic
carbonate rock,D.1 Abiotic
vertical openings,D.1 Abiotic
Blue holes,A.2 Underground landform
sea-level fluctuations,B.1 Movement
carbonate deposition,B.3 Addition
Blue holes,A.2 Underground landform
dissolution,B.2 Loss
Earth ’ s surface,D.3.1 Geolocation
carbonate banks,D.1 Abiotic
blue hole,A.2 Underground landform
subsurface voids,D.1 Abiotic
cave passages,A.2 Underground landform
islands,D.1 Abiotic
aqueous solution,D.1 Abiotic
Carbon dioxide,D.1 Abiotic
limestone,D.1 Abiotic
solution,B.2 Loss
solution,B.2 Loss
precipitation,B.3 Addition
speleothems,A.2 Underground landform
carbonate mud,D.1 Abiotic
initially unconsolidated,D.3 Property
compaction,B.4 Transformation
cementation,B.4 Transformation
Diagenesis,B.4 Transformation
debris,D.1 Abiotic
diagenesis,B.4 Transformation
Dolostone,D.1 Abiotic
inflow cave,A.2 Underground landform
influent cave,A.2 Underground landform
Cave,A.2 Underground landform
stream,D.1 Abiotic
abime,A.2 Underground landform
jama,A.2 Underground landform
France,D.3.1 Geolocation
pothole,A.2 Underground landform
England,D.3.1 Geolocation
joint-plane cave,A.2 Underground landform
cavity,D.1 Abiotic
planes,D.1 Abiotic
solution,B.4 Transformation
furrows,D.1 Abiotic
Karren,A.1 Surface landform
Channels,D.1 Abiotic
Karren,A.1 Surface landform
Rillenkarren,A.1 Surface landform
Rinnenkarren,A.1 Surface landform
Karren,A.1 Surface landform
Kluftkarren,A.1 Surface landform
Karren,A.1 Surface landform
Karren,A.1 Surface landform
Spitzkarren,A.1 Surface landform
Meanderkarren,A.1 Surface landform
Karren,A.1 Surface landform
Rundkarren,A.1 Surface landform
Karren,A.1 Surface landform
Fachkarren,A.1 Surface landform
Karren,A.1 Surface landform
Bodenkarren,A.1 Surface landform
Karren,A.1 Surface landform
Karrenfeld,A.1 Surface landform
limestone,D.1 Abiotic
Kegel - karst,C. Geome
Spitz - kegelkarst,C. Geome
tower karst,C. Geome
buried karst,C. Geome
naked karst,C. Geome
exhumed karst,C. Geome
syngenetic karst,C. Geome
cone karst,C. Geome
subjacent karst,C. Geome
covered karst,C. Geome
thermokarst,C. Geome
dissolving,B.4 Transformation
holokarst,C. Geome
paleokarst,C. Geome
Halbkugelkarst,C. Geome
merokarst,C. Geome
microkarst,C. Geome
pseudokarst,C. Geome
karst,C. Geome
karst barre,C. Geome
karst,C. Geome
karst base level,D.1 Abiotic
karstification,B. Process
karst bridge,A.1 Surface landform
karst fens,A.1 Surface landform
karst lake,A.3 Hydrological form
limestone,D.1 Abiotic
water,D.1 Abiotic
karst margin plain,A.1 Surface landform
surface drainage,B.1 Movement
limestone,D.1 Abiotic
plain,D.1 Abiotic
karst plain,A.1 Surface landform
subterranean drainage,B.1 Movement
karst pond,A.3 Hydrological form
