DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
juvenile pattern,D.3 Property|D.1 Abiotic|D.1 Abiotic|B.1 Movement|B.2 Loss,juvenile pattern|soluble rocks|impermeable cover|uplift|removal,The juvenile pattern is a time-controlled pattern that prevails where soluble rocks are exposed by uplift and by removal of any impermeable cover.,,,prevails where soluble rocks are exposed by uplift and by removal of any impermeable cover,,,is a,pattern,time-controlled pattern,,,,,,,,,,,,,,,prevails where,,,,,,,,,,,,
Smaller scale forms in caves,D.3 Property|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,passage diameter|caves|microforms|passage,"Smaller scale forms in caves (microforms) are features much smaller than the passage diameter (Lauritzen & Lundberg, 2000). passage",,,,,,are,features,,,,,,,,smaller than the passage diameter|Smaller scale forms,,,,,,,,,,,,,,,,,,smaller than,,
microforms,D.3 Property|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,passage diameter|caves|microforms|passage,"Smaller scale forms in caves (microforms) are features much smaller than the passage diameter (Lauritzen & Lundberg, 2000). passage",,,,,,are,features,,,,,,,,smaller than the passage diameter|Smaller scale forms,,,,,,,,,,,,,,,,,,smaller than,,
hydrological cycle,B. Process|D.1 Abiotic|D.1 Abiotic,karst formation|solution|ions,"As a consequence, the hydrological cycle provides the primary source of energy for karst formation because water is the solvent that dissolves carbonate rocks and then carries the ions away in solution (Williams P.W., 2004).",,,,,,,,,because water is the solvent that dissolves carbonate rocks and then carries the ions away in solution,,primary source of energy for karst formation,,,,,,,,,,,because,,,,,,,,,,,,,
Hard data,,,"Hard data are defined as long-term, measured time series, typically at a point within a watershed, while soft data are defined as information on individual processes within a budget that may not be directly measured within the study area, generally from literature information.",,,,,"information on individual processes within a budget that may not be directly measured within the study area , generally from literature information|long-term , measured time series , typically at a point within a watershed ,",are defined as|are defined as,"long-term , measured time series|information on individual processes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
soft data,,,"Hard data are defined as long-term, measured time series, typically at a point within a watershed, while soft data are defined as information on individual processes within a budget that may not be directly measured within the study area, generally from literature information.",,,,,"information on individual processes within a budget that may not be directly measured within the study area , generally from literature information|long-term , measured time series , typically at a point within a watershed ,",are defined as|are defined as,"long-term , measured time series|information on individual processes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
step-wise calibration,E.2 Method|B. Process|E.2 Method|D.1 Abiotic,step-wise calibration|hydrologic processes|procedure|streamflow,The step-wise calibration is a procedure that allowed calibrating the different components of the streamflow according to different hydrologic processes underpinning Pagliero et al.,,,,,,is a,procedure,,,,allowed calibrating the different components of the streamflow according to different hydrologic processes,,,,,,,,,,,,,,,,,,,,,,,,
Karst,D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|D.3 Property|C. Geome|D.2 Biotic,chemical composition of water|concentration of suspended particles|water discharge|water levels|temperature|velocity|Karst|microorganisms,"Karst is a very heterogeneous space medium which can be explained only be applying a great number of measurement points and by monitoring and measuring various phenomena: the water levels, water discharge and velocity, chemical composition of water, its temperature, concentration of suspended particles and the microorganisms in water.",,,,,,is a,space medium,,,,,,,,,,,,concentration of suspended particles|chemical composition of water|water levels|water discharge|velocity|microorganisms|temperature,,,,,,,,,,,,,,,,
secondary porosity,D.3 Property|D.1 Abiotic,secondary porosity|carbonate rocks,The term secondary porosity is used for the spaces created in carbonate rocks in the post-petrification period. in the post-petrification period,,,,,,is used for|The term,spaces,,,,,created in carbonate rocks in the post-petrification period,,,,,,in the post-petrification period,,,,,,,,,,,,,,,,,
Gravitational water,C. Geome|B.1 Movement|D.1 Abiotic|D.1 Abiotic|D.3 Property|B.1 Movement,underground system|flows into|Gravitational water|water|gravity|penetrates,"Gravitational water is the water, which due to gravity, penetrates and flows into the underground system.",,,,,,is,water,,"due to gravity , penetrates and flows into the underground system",,,,,,,,,,,,,due to,,,,,,,,,,,,,
Storage coefficient,,,"Storage coefficient, S, is the volume of water released from the prism of a unit cross-sectional area whose height is the total thickness of the aquifer due to change in the piezometric level for 1 m.",,,,,volume of water released from the prism of a unit cross-sectional area whose height is the total thickness of the aquifer due to change in the piezometric level for 1 m,is the,volume of water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specific yield,B. Process|D.3 Property|D.1 Abiotic,change in the water quantity|Specific yield|aquifer,Specific yield is defined as the change in the water quantity in the storage per unit of area of the free surface of the aquifer.,,,,,change in the water quantity in the storage per unit of area of the free surface of the aquifer,is defined as,change in the water quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Permeability,B.1 Movement|D.1 Abiotic|D.1 Abiotic,flow|water|reservoir,"Permeability, K, is the property of rocks forming an underground reservoir, to allow water to flow with an appreciable velocity due to the existence of the pressure gradient.",,,,,"property of rocks forming an underground reservoir , to allow water to flow with an appreciable velocity due to the existence of the pressure gradient",is the,property of rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface karst forms,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,Surface karst forms|dry valleys|sinkholes|poljes|dolines|karren,"Surface karst forms are: karren, sinkholes (dolines), dry valleys and poljes (Vlahovic 1983).",,,,,,are,,,,,,,,,,,,,dry valleys|sinkholes|poljes|karren|dolines,,,,,,,,,,,,,,,,
helictite,A.2 Underground landform|A.2 Underground landform|D.3 Property|B.3 Addition,speleothem|helictite|axis|growth,"helictite - a speleothem, which at one or more stages of its growth changes its axis from the vertical to give a curving or angular form.",,,,,,,speleothem,,,to give a curving or angular form,,,,,,,,which at one or more stages of its growth changes its axis from the vertical,,,,,,,,,,,,,,,,,at one or more stages of
hydrology,E.2 Method|E.2 Method|D.1 Abiotic,scientific study|hydrology|water,"hydrology - the scientific study of the nature, distribution and behaviour of water.",,,,,"scientific study of the nature , distribution and behaviour of water",,scientific study,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cave,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,ice cave|ice|cave,ice cave - a cave with perennial ice in it.,,,,with perennial ice in it,,,cave,,,,,,,,,,,,,,,,,in it|with,,,,,,,,,,,
inflow cave,A.3 Hydrological form|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,inflow cave|stream|cave|surface,inflow cave - a cave into which a stream enters or is known to have entered formerly but which cannot be followed downstream to the surface.,,,,,,,cave,which cannot be followed downstream to the surface,,,into which a stream enters or is known to have entered formerly,,,,,,,,,,,,,,,,,,,,,,,,
karren,D.1 Abiotic|D.1 Abiotic|B.2 Loss|C. Geome,rock|surface|solution|karst,karren - the minor forms of karst as a result of solution of rock on the surface or underground.,,,,,,,the minor forms of karst,,as a result of solution of rock,,,on the surface or underground,,,,,,,,,,as a result of,,,,,,on the,,,,,,,
karst,D.3 Property|D.3 Property|C. Geome|D.1 Abiotic|D.1 Abiotic,drainage|solubility|karst|landforms|tereain,karst - tereain with special landforms and drainage characteristics on account of greater solubility of certain rocks in natural waters than is common.,,,,with special landforms and drainage characteristics,,,tereain,,on account of greater solubility of certain rocks in natural waters than is common,,,,,,,,,,,,,on account of,,,,,,,,,,,,,
karst window,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic,karst window|polje|stream|depression,"karst window - a dosed depression, not a polje, which has a stream flowing across its bottom.",,,,which has a stream flowing across its bottom,,,depression,,,dosed,,,,,,,,,,,,,,which has a,,,,,,,,,,,
keyhole,A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,keyhole|opening|passage|cave,"keyhole - a small passage or opening in a cave, which is round above and narrow below.",,,,,,,passage or opening,,,which is round above and narrow below,,in a cave,,,small,,,,,,,,,,,which is,,in a,,,,,,,
lava-cave,D.3 Property|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|B. Process|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,flow of liquid lava|open channel|lava flow|lava-cave|roofing|tunnel|lava|cave|tube,"lava-cave - a cave in a lava flow; usually a tube or tunnel formed by flow of liquid lava through a solidified mass, or by roofing of an open channel of flowing lava.",,,,,,,cave,,formed by flow of liquid lava through a solidified mass|by roofing of an open channel of flowing lava,usually a tube or tunnel,,in a lava flow,,,,,,,,,,formed by,,,,,,in a,,,,,,,
limestone,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcium carbonate|sedimentary rock|limestone,limestone - a sedimentary rock consisting mainly of calcium carbonate cac03 •,,,consisting mainly of calcium carbonate,,,,sedimentary rock,,,,,,,,,,,,,,,,consisting mainly of,,,,,,,,,,,,
live cave,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,live cave|cave|stream,live cave - a cave containing a stream or active speleothems.marble limestone recrystallized and hardened by pressure and heat.,,,,containing a stream or active speleothems.marble,,,cave,,,,,,,,,,,,,,,,,containing a,,,,,,,,,,,
meander niche,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,meander niche|cave|stream,meander niche - a hemispherically roofed part of a cave formed by a stream meandering and cutting down at the same time.,,,,,,,part of a cave,,formed by a stream meandering and cutting down at the same time,hemispherically roofed part of a cave,,,,,,,,,,,,formed by,,,,,,,,,,,,,
moonmilk,D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,calcite|moonmilk|hydromagnesite|hydrocalcite|huntite|speleothem,"moonmilk - a soft, white plastic speleothem consisting of calcite, hydrocalcite, hydromagnesite or huntite.",,,"consisting of calcite , hydrocalcite , hydromagnesite or huntite",,,,speleothem,,,"soft , white plastic",,,,,,,,,,,,,consisting of,,,,,,,,,,,,
natural arch,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.4 Transformation,natural arch|arch|rock|weathering,natural arch - an arch of rock formed by weathering.,,,,,,,arch of rock,,formed by weathering,,,,,,,,,,,,,formed by,of,,,,,,,,,,,,
natural bridge,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,natural bridge|valley|rock|bridge|ravine,natural bridge - a bridge of rock spanning a ravine or valley and formed by erosive agents.,,,,,,,bridge,,formed by erosive agents,spanning a ravine or valley,,,,,,,,,,,,formed by,,,,spanning a,,,,,,,,,
Jelar Breccia,D.1 Abiotic|D.1 Abiotic,Jelar Breccia|carbonate rock,"The Jelar Breccia is a massive, thick-bedded carbonate rock, comprised predominantly of angular, poorly sorted debris.",,,"comprised predominantly of angular , poorly sorted debris",,,is a,carbonate rock,"massive , thick-bedded carbonate rock",,,,,,,,,,,,,,,comprised predominantly of,,,,,,,,,,,,
Smaller relief features,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|A.2 Underground landform,dry valleys|collapsed dolines|relief features|uvalas|dolines|caves,"Smaller relief features are uvalas, dolines, dry valleys, collapsed dolines, and caves.",,,,,,are,,,,,,,,,,,,,collapsed dolines|dry valleys|dolines|caves|uvalas,,,,,,,,,,,,,,,,
Karren,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform,soluble rock|dissolution features|surfaces rock|Karren,Karren is a common term used for dissolution features on exposed soluble rock surfaces. rock,,,,,,a common term used for,dissolution features,,,,,on exposed soluble rock surfaces,,,,,,,,,,,,,,,,on,,,,,,,
rillenkarren,B.4 Transformation|A.1 Surface landform,corrosion|rillenkarren,Characteristic form of corrosion is rillenkarren.,,,,,,,,,form of corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,
Karst poljes,A.1 Surface landform|D.1 Abiotic|C. Geome,Karst poljes|depressions|karst,Karst poljes are the largest flat-floored enclosed depressions in karst.,,,,,,are,depressions,,,largest flat-floored enclosed depressions,,in karst,,,,,,,,,,,,,,,,in,,,,,,,
Uvalas,A.1 Surface landform|A.1 Surface landform,karst depressions|Uvalas,"Uvalas are large, km-scale closed karst depressions of elongated or irregular plan form.",,,,,,are,karst depressions,,,of elongated or irregular plan form|closed,,,,,large,,,,,,,,,,,of,,,,,,,,,
uvala,D.3.1 Geolocation|D.1 Abiotic|A.1 Surface landform,Dinaric karst|depression|uvala,"The word “ uvala ” is a common toponym in the Dinaric karst, always denoting a large depression.",,,,,,is a,depression,,,denoting a large depression,,,in the Dinaric karst,,,,,,,,,,,,,,,,,,in,,,,
cave roof collapse,B.1 Movement|D.3 Property|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic|B. Process|B.1 Movement|B.1 Movement,cave roof collapse|equilibrium|ceiling|doline|walls|process|breaking|collapse,The cave roof collapse is a slow process that proceeds by the breaking of the walls and ceiling until equilibrium is established on the slopes of the doline. collapse,,proceeds by the breaking of the walls and ceiling,,,,is a,process,,,,,,,until equilibrium is established on the slopes of the doline,,,,,,,,,,,,,,,,,,until,,,
Caves,C. Geome|A.2 Underground landform,karst drainage system|Caves,Caves are active or relict parts of the karst drainage system.,,,,,,are,karst drainage system,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissolution of rock,B.2 Loss|B. Process|B.2 Loss|C. Geome,dissolution of rock|process|dissolution|karst,The dissolution of rock is the decisive process in the formation of karst. dissolution,,,,,,is,process,in the formation of karst,,,,,,,,,,,,,in,,,,,,,,,,,,,,
Shilin,C. Geome|C. Geome|D.1 Abiotic,pinnacle karst|Shilin|limestone,Shilin is a type of pinnacle karst formed on a plateau of gently dipping limestone (Knez & Slabe 2002).,,,,,,is a type of,pinnacle karst,,,,,formed on a plateau of gently dipping limestone,,,,,,,,,,,,,,,,formed on a,,,,,,,
Stone forest,C. Geome|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,karst landscape|karst plateau|limestone columns|Stone forest,"Stone forest refers to a particular karst landscape, composed of a group of densely distributed limestone columns standing on an undulating karst plateau.",,,composed of a group of densely distributed limestone columns,,,refers to a,karst landscape,,,,,standing on an undulating karst plateau,,,,,,,,,,,composed of,,,,,standing on,,,,,,,
travertine,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcium carbonate deposit|lake water|travertine|spring|tufa|river,"travertine - compact calcium carbonate deposit, often banded, precipitated from spring, river or lake water. cf. tufa.",,,calcium carbonate,,,,deposit,compact,"precipitated from spring , river or lake water",banded,,,,,,,,,,,,,,,,,,,,,,,,,
tube,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,cave passage|tube|surface,"tube - a cave passage of smooth surface, and elliptical or nearly circular in cross-section.",,,,,,,cave passage,,,elliptical or nearly circular in cross-section|of smooth surface,,,,,,,,,,,,,,,,,,,,,,,,,
tufa,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,vesicular calcium carbonate|lake waters|spring|tufa|river,"tufa - spongy or vesicular calcium carbonate deposited from spring, river or lake waters.",,,,,spongy or vesicular calcium carbonate,,calcium carbonate,,"from spring , river or lake waters",,,,,,,,,,,,,deposited from,,,,,,,,,,,,,
twilight zone,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,twilight zone|daylight|cave,twilight zone - the part of a cave to which daylight penetrates.,,,,,,,cave,to which daylight penetrates,,,,the part of a cave,,,,,,,,,,,,,,,,the part of a,,,,,,,
uvala,A.1 Surface landform|A.1 Surface landform|A.1 Surface landform,depressions|uvala|depression,uvala - a complex dosed depression with several lesser depressions within its rim.,,,,,,,depression,,,with several lesser depressions within its rim|complex dosed,,,,,,,,,,,,,,,,within its rim,,,,,,,,,
vadose zone,C. Geome|B.1 Movement|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic,vadose zone|descends|zone|rock|voids|air|gravity|water,vadose zone - the zone where voids in the rock are partly filled with air and through which water descends under gravity.,,,,,,,zone,,,,through which water descends under gravity,the zone where voids in the rock are partly filled with air,,,,,,,,,,,,,,,through which,where,,,,,,,
vauclusian spring,A.3 Hydrological form|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,vauclusian spring|spring|pool|passage,"vauclusian spring - a spring rising up a deep, steeply inclined, waterfilled passage into a small surface pool.",,,,,,,spring,,,"rising up a deep , steeply inclined , waterfilled passage into a small surface pool",,,,,,,,,,,,,,,,,,,,,,,,,
vermiculation,D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,cave surfaces|vermiculation|coatings|day|silt,"vermiculation - pattern of thin, worm-shaped coatings of day or silt on cave surfaces.",,,,,,,,,,"pattern of thin , worm-shaped coatings of day",,on cave surfaces,,,,,,,,,,,,,,worm-shaped,,on,,,,,,,
water table,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,ground air|phreatic water|water table|the|water|voids|surface|voids,"water table - the surface between phreatic water, which completely fills voids in the rock, and ground air, which partially fills higher voids. water",,,,,,,,,,,,"between phreatic water , which completely fills voids in the rock , and ground air , which partially fills higher voids",,,,,,,,,,,,,,,,between,,,,,,,
water tracing,E.2 Method,water tracing,water tracing - determination of water connection between points of stream disappearance or of soil water seepage and points of reappearance on the surface or underground.,,,,,,,,,,,,on the surface or underground,,,,,,,,determination of water connection between points of stream disappearance or of soil water seepage and points of reappearance,,,,,determination of,,,on the surface|underground,,,,,,,
well,A.2 Underground landform|D.1 Abiotic|A.3 Hydrological form|C. Geome,cave floor|hole|well|karst,well - a deep rounded hole in a cave floor or on the surface in karst.,,,,,,,hole,,,rounded|deep,,on the surface in karst|in a cave floor,,,,,,,,,,,,,,,,in a|on the,,,,,,,
active cave,D.1 Abiotic|A.2 Underground landform|A.2 Underground landform,running stream|active cave|Cave,active cave: Cave containing a running stream.,,,,,,,Cave,,,,containing a running stream,,,,,,,,,,,,,,,,containing a,,,,,,,,
active cave,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,active cave|live cave|Cave|speleothems,active cave: Cave in which speleothems are growing. Compare live cave.,,,,in which speleothems are growing,,,Cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggressive water,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B.4 Transformation|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,aggressive water|carbon dioxide|limestone|rocks|dissolve|acids|Water|dolomite,"aggressive water: Water having the ability to dissolve rocks. In the context of limestone and dolomite, this term refers especially to water containing dissolved carbon dioxide or, rarely, other acids.",,,,"containing dissolved carbon dioxide or , rarely , other acids",,,Water,,,,having the ability to dissolve rocks,,,,,,,,,,,,,containing,,,having the ability to,,,,,,,,
anastomosis,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.3 Property|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,solution - sculptured rock|tubular passages|holes|anastomosis|network|passages|cave|labryrinth,"anastomosis: A network of tubular passages or holes in a cave or in a solution - sculptured rock. A complex of many irregular and repeatedly connected passages. Synonym, labryrinth.",,,,,A network of tubular passages or holes,,,,,A complex of many irregular and repeatedly connected passages,,in a cave or in a solution - sculptured rock,,,,,,,,,,,,,,,,in a,,,,,,,
anthodite,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,cave flower|cave formation|aragonite|anthodite|gypsum|masses|crystals,"anthodite: A cave formation composed of feathery or radiating masses of long needlelike crystals of gypsum or aragonite, which radiate ortward from a common base. See also cave flower. feathery or radiating long needlelike",,,composed of feathery or radiating masses of long needlelike crystals of gypsum or aragonite,,,,cave formation,,,which radiate ortward from a common base|feathery or radiating|long needlelike,,,,,,,,,,,,,composed of,,,,,,,,,,,,
apron,A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,limestone cliffs|apron|flowstone|caves,apron: A smooth bulging mass of flowstone covering sloping projections from walls of caves or limestone cliffs.,,,mass of flowstone,,,,mass of flowstone,,,smooth,,covering sloping projections from walls of caves or limestone cliffs,,,,,,,,,,,of,,,,,covering,,,,,,,
aquifer,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome|D.1 Abiotic|D.1 Abiotic,rock|ground-water|spring|well|aquifer|water|reservoir,aquifer: A ground-water reservoir. Pervious rock that is completely saturated and will yield water to a well or spring.,,,ground-water,,,,ground-water reservoir,Pervious rock that is completely saturated,,,will yield water to a well or spring,,,,,,,,,,,,,,,,,,,,,,,,
aragonite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcium carbonate|aragonite|mineral|CaCO2,"aragonite: A mineral composed of calcium carbonate, CaCO2, like calcite but differing in crystal form.",,,"composed of calcium carbonate , CaCO2",,,,mineral,,,like calcite but differing in crystal form,,,,,,,,,,,,,composed of,,,,,,,,,,,,
pinnacle karst,C. Geome|D.3.1 Geolocation|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome|A.1 Surface landform,pinnacle karst|New Guinea|relief|ridges|corridors|slopes|landscape|arete|depressions,"arete and pinnacle karst: A landscape of naked reticulated saw-topped ridges having almost vertical slopes and a relief of as much as 120 meters. The ridges rise above forest-covered corridors and depressions. Found in New Guinea at elevations of 2,000 meters and more.",,,,,,,landscape,,,of naked reticulated saw-topped ridges having almost vertical slopes|ridges rise above forest-covered corridors and depressions,,,"Found in New Guinea at elevations of 2,000 meters and more",,a relief of as much as 120 meters,,,,,,,,,,,,,,,,Found in,,of as much as,,
arete,C. Geome|D.3.1 Geolocation|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|C. Geome|A.1 Surface landform,pinnacle karst|New Guinea|relief|ridges|corridors|slopes|landscape|arete|depressions,"arete and pinnacle karst: A landscape of naked reticulated saw-topped ridges having almost vertical slopes and a relief of as much as 120 meters. The ridges rise above forest-covered corridors and depressions. Found in New Guinea at elevations of 2,000 meters and more.",,,,,,,landscape,,,of naked reticulated saw-topped ridges having almost vertical slopes|ridges rise above forest-covered corridors and depressions,,,"Found in New Guinea at elevations of 2,000 meters and more",,a relief of as much as 120 meters,,,,,,,,,,,,,,,,Found in,,of as much as,,
backflooding,D.3 Property|B.3 Addition|A.2 Underground landform|B. Process|D.1 Abiotic|D.1 Abiotic,water level|rising|cave|backflooding|discharge|passage,backflooding: Temporarily rising water level in a cave caused downstream passage being too small to pass an abnormally high discharge. The excavation and reexcavation of some caves is ascribed to the enlarger'ent of a passage at or near the water table by gravity flow alternating with periods of calcite precipitation.,,,,,Temporarily rising water level,,rising water level,,caused downstream passage being too small to pass an abnormally high discharge,,,in a cave,,,,,,,,,,,,,,,,in a,,,,,,,
bacon,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,flowstone|caves|roofs|walls|drapery|bands|bacon|curtain|blanket,"bacon: Thin, elongated, translucent flowstone having parallel colored bands on or projecting from roofs and walls of some caves. See also blanket; curtain; drapery.",,,,having parallel colored bands on,,,flowstone,,,Thin|translucent|elongated,,projecting from roofs and walls of some caves,,,,,,,,,,,,having,,,,projecting from,,,,,,,
balcony,D.1 Abiotic|D.2 Biotic|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,projection|persons|balcony|cave|wall,balcony: Any projection on the wall of a cave large enough to support one or more persons.,,,,,,,projection on the wall,,,,,on the wall of a cave,,,large enough to support one or more persons,,,,,,,,,,,,,,,,,,large enough,,
beachrock,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,sand grains|beach standstone|calcium carbonate|minerals|rock|beds|beachrock,beachrock: A friable to indurated rock consisting of sand grains of various minerals cemented by calcium carbonate; occurs in thin beds dipping seaward at less than 15 °. Also known as beach standstone.,,,consisting of sand grains of various minerals cemented by calcium carbonate,,,,,,,friable to indurated,,occurs in thin beds dipping seaward at less than 15,,,,,,,,,,,cemented by|consisting of,,,,,occurs in,,,,,,,
bedding-plane cave,D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|B.4 Transformation|A.2 Underground landform,bedding plane|bedding-plane cave|beds|corrosion|passage,"bedding-plane cave: A passage formed along a bedding plane, especially when there is a difference in susceptibility to corrosion in the two beds.",,,,,,,passage,,especially when there is a difference in susceptibility to corrosion in the two beds,,,formed along a bedding plane,,,,,,,,,,,,,,,,formed along a,,,,,,,
blade,A.2 Underground landform|D.1 Abiotic|D.3 Property|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|D.3 Property|D.1 Abiotic,cave|floor|bridge|blade|projection|roof|partition|wall,"blade: In a cave, a thin sharp projection jutting out from roof, wall, or floor, of which it is an integral part; generally the remains of a partition or bridge.",,,,,,,projection,,generally the remains of a partition or bridge,of which it is an integral part|thin|sharp,,"jutting out from roof , wall , or floor|In a cave",,,,,,,,,,the remains of a,,,,,,jutting out from|In a,,,,,,,
tecto-karstic hollow,D.1 Abiotic|B. Process|A.1 Surface landform|D.1 Abiotic,tectonic depression|karst processes|tecto-karstic hollow|basin,A tecto-karstic hollow is a closed basin that developed inside a tectonic depression that also evolved through karst processes.,,,,,,is a,closed basin,,evolved through karst processes,closed basin,,inside a tectonic depression,,,,,,,,,,evolved through,,,,,,inside,,,,,,,
Poljes,A.1 Surface landform|C. Geome|A.1 Surface landform,closed depressions|karst terrains|Poljes,Poljes are the largest closed depressions observed in the karst terrains. largest closed depressions,,,,,,are,closed depressions,,,closed depressions,,in the karst terrains,,,the largest closed depressions|largest,,,,,,,,,,,,,in the,,,,,,,
polje,D.1 Abiotic|A.1 Surface landform|A.1 Surface landform,steep slopes|karst depression|polje,"In 1895, Cvijic defined a polje as a large karst depression, with a wide, flat and nearly horizontal floor, completely enclosed between steep slopes.",,,,,,as a|defined,karst depression,,,"with a wide , flat and nearly horizontal floor , completely enclosed between steep slopes",,,,,large,,,,,,,,,,,with a,,,,,,,,,
peripheral polje,A.3 Hydrological form|A.1 Surface landform|D.1 Abiotic|A.1 Surface landform,centrifugal stream network|peripheral polje|impermeable rocks|depression,A peripheral polje is a depression fed by a large internal area of impermeable rocks with a centrifugal stream network.,,,,large internal area of impermeable rocks with a centrifugal stream network,,is a,depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base-level polje,B.1 Movement|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|B.4 Transformation|A.1 Surface landform,vertical oscillations|base-level polje|water table|karst rocks|inundated|polje,"A base-level polje is a polje with a floor cut entirely across karst rocks and is affected by the vertical oscillations of the water table; consequently, it is inundated during high-level periods.",,,,,,is a,polje,affected by the vertical oscillations of the water table,,with a floor cut entirely across karst rocks,,,,,,,,it is inundated during high-level periods,,,,,,,,with a,,,,,,,,,during
littoral cave,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,littoral cave|tides|cave,"The precise scientific name is littoral cave, meaning a cave formed within the range of tides.",,,,,,meaning a,cave,,,,,within the range of tides,,,,,,,,,,,,,,,,within the range of,,,,,,,
